context,sequence_id,model,ridge_id,delta,delta_definition
WITHIN_EUROC,V1_01_easy,TCN,B3_RIDGE_QF_QW,0.0088955726,RMSE_advanced - RMSE_B3_Ridge
WITHIN_EUROC,V1_02_medium,TCN,B3_RIDGE_QF_QW,0.0214144349,RMSE_advanced - RMSE_B3_Ridge
WITHIN_EUROC,V1_03_difficult,TCN,B3_RIDGE_QF_QW,0.0139821757,RMSE_advanced - RMSE_B3_Ridge
WITHIN_EUROC,V2_01_easy,TCN,B3_RIDGE_QF_QW,-0.0208506185,RMSE_advanced - RMSE_B3_Ridge
WITHIN_EUROC,V2_02_medium,TCN,B3_RIDGE_QF_QW,0.009263754,RMSE_advanced - RMSE_B3_Ridge
WITHIN_EUROC,V2_03_difficult,TCN,B3_RIDGE_QF_QW,0.0084385585,RMSE_advanced - RMSE_B3_Ridge
WITHIN_EUROC,V1_01_easy,GRU,B3_RIDGE_QF_QW,0.009404427,RMSE_advanced - RMSE_B3_Ridge
WITHIN_EUROC,V1_02_medium,GRU,B3_RIDGE_QF_QW,0.020222834,RMSE_advanced - RMSE_B3_Ridge
WITHIN_EUROC,V1_03_difficult,GRU,B3_RIDGE_QF_QW,0.0097358283,RMSE_advanced - RMSE_B3_Ridge
WITHIN_EUROC,V2_01_easy,GRU,B3_RIDGE_QF_QW,-0.0287487575,RMSE_advanced - RMSE_B3_Ridge
WITHIN_EUROC,V2_02_medium,GRU,B3_RIDGE_QF_QW,0.0115136146,RMSE_advanced - RMSE_B3_Ridge
WITHIN_EUROC,V2_03_difficult,GRU,B3_RIDGE_QF_QW,-0.0021661285,RMSE_advanced - RMSE_B3_Ridge
WITHIN_EUROC,V1_01_easy,Transformer,B3_RIDGE_QF_QW,0.0177190389,RMSE_advanced - RMSE_B3_Ridge
WITHIN_EUROC,V1_02_medium,Transformer,B3_RIDGE_QF_QW,0.0351686902,RMSE_advanced - RMSE_B3_Ridge
WITHIN_EUROC,V1_03_difficult,Transformer,B3_RIDGE_QF_QW,0.0297393554,RMSE_advanced - RMSE_B3_Ridge
WITHIN_EUROC,V2_01_easy,Transformer,B3_RIDGE_QF_QW,-0.0348354373,RMSE_advanced - RMSE_B3_Ridge
WITHIN_EUROC,V2_02_medium,Transformer,B3_RIDGE_QF_QW,0.0372764565,RMSE_advanced - RMSE_B3_Ridge
WITHIN_EUROC,V2_03_difficult,Transformer,B3_RIDGE_QF_QW,0.0090741397,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,indoor_forward_6_snapdragon,TCN,B3_RIDGE_QF_QW,-0.004011644,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,indoor_forward_9_snapdragon,TCN,B3_RIDGE_QF_QW,0.0010285525,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,indoor_forward_10_snapdragon,TCN,B3_RIDGE_QF_QW,-0.0355198745,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,indoor_45_2_snapdragon,TCN,B3_RIDGE_QF_QW,-0.073736572,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,indoor_45_4_snapdragon,TCN,B3_RIDGE_QF_QW,-0.036813649,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,indoor_45_13_snapdragon,TCN,B3_RIDGE_QF_QW,-0.073412122,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,indoor_45_14_snapdragon,TCN,B3_RIDGE_QF_QW,-0.003140163,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,outdoor_forward_1_snapdragon,TCN,B3_RIDGE_QF_QW,0.041446637,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,indoor_forward_6_snapdragon,GRU,B3_RIDGE_QF_QW,0.129169317,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,indoor_forward_9_snapdragon,GRU,B3_RIDGE_QF_QW,-0.0450878318,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,indoor_forward_10_snapdragon,GRU,B3_RIDGE_QF_QW,-0.0700099172,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,indoor_45_2_snapdragon,GRU,B3_RIDGE_QF_QW,0.026679052,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,indoor_45_4_snapdragon,GRU,B3_RIDGE_QF_QW,0.063746659,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,indoor_45_13_snapdragon,GRU,B3_RIDGE_QF_QW,-0.059412877,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,indoor_45_14_snapdragon,GRU,B3_RIDGE_QF_QW,-0.022677902,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,outdoor_forward_1_snapdragon,GRU,B3_RIDGE_QF_QW,-0.00099808,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,indoor_forward_6_snapdragon,Transformer,B3_RIDGE_QF_QW,-0.036857773,RMSE_advanced - RMSE_B3_Ridge
