context,model,horizon_step,horizon_ms,mean_sequence_rmse,ci_low,ci_high
WITHIN_EUROC,Persistence,1,10,0.4938250224,0.4029993692,0.5804462046
WITHIN_EUROC,Persistence,2,20,0.7773272208,0.6353354298,0.9092796292
WITHIN_EUROC,Persistence,3,30,0.811504833,0.6728777075,0.9423053063
WITHIN_EUROC,Persistence,4,40,0.7575635961,0.6174547592,0.8920017622
WITHIN_EUROC,Persistence,5,50,0.7514938847,0.5904756387,0.9096720324
WITHIN_EUROC,Persistence,6,60,0.7812461404,0.6143495955,0.9484343039
WITHIN_EUROC,Persistence,7,70,0.8396718193,0.6682732522,1.010316383
WITHIN_EUROC,Persistence,8,80,0.906149522,0.7263321006,1.079543484
WITHIN_EUROC,Persistence,9,90,0.9296788064,0.7470990884,1.104984891
WITHIN_EUROC,Persistence,10,100,0.911398473,0.7267335155,1.086910321
WITHIN_EUROC,Persistence,11,110,0.9227102094,0.7374082999,1.100758136
WITHIN_EUROC,Persistence,12,120,0.9667428942,0.771867224,1.145155711
WITHIN_EUROC,Persistence,13,130,0.9852100451,0.7982139813,1.148037885
WITHIN_EUROC,Persistence,14,140,0.9911915153,0.8113466774,1.14355136
WITHIN_EUROC,Persistence,15,150,1.004233687,0.8191135256,1.163927915
WITHIN_EUROC,Persistence,16,160,1.022387904,0.8320553761,1.19247377
WITHIN_EUROC,Persistence,17,170,1.043837376,0.8498191298,1.21387807
WITHIN_EUROC,Persistence,18,180,1.057135146,0.8634338919,1.20580556
WITHIN_EUROC,Persistence,19,190,1.067042637,0.8807947365,1.210027189
WITHIN_EUROC,Persistence,20,200,1.078228258,0.8904211438,1.232069407
WITHIN_EUROC,Source-selected B3 Ridge,1,10,0.1683134946,0.1326712812,0.2038146412
WITHIN_EUROC,Source-selected B3 Ridge,2,20,0.4886928081,0.3851136736,0.5907622275
WITHIN_EUROC,Source-selected B3 Ridge,3,30,0.6493433549,0.5146891283,0.7823612853
WITHIN_EUROC,Source-selected B3 Ridge,4,40,0.6496449858,0.5203666487,0.779396099
WITHIN_EUROC,Source-selected B3 Ridge,5,50,0.6428683595,0.5093923436,0.7761831346
WITHIN_EUROC,Source-selected B3 Ridge,6,60,0.6766761794,0.531700478,0.8189784316
WITHIN_EUROC,Source-selected B3 Ridge,7,70,0.7241041834,0.5684289333,0.873368682
WITHIN_EUROC,Source-selected B3 Ridge,8,80,0.7385914947,0.5891878382,0.8779472578
WITHIN_EUROC,Source-selected B3 Ridge,9,90,0.750623674,0.6035339889,0.8823967156
WITHIN_EUROC,Source-selected B3 Ridge,10,100,0.7532032069,0.6027382727,0.8859774704
WITHIN_EUROC,Source-selected B3 Ridge,11,110,0.7629961346,0.604729789,0.9024419009
WITHIN_EUROC,Source-selected B3 Ridge,12,120,0.7865334116,0.6182563664,0.930576077
WITHIN_EUROC,Source-selected B3 Ridge,13,130,0.7959919476,0.636425947,0.9240789062
WITHIN_EUROC,Source-selected B3 Ridge,14,140,0.7897013876,0.6418383069,0.9053828071
WITHIN_EUROC,Source-selected B3 Ridge,15,150,0.7848433286,0.6402371812,0.9028797605
WITHIN_EUROC,Source-selected B3 Ridge,16,160,0.8006122671,0.6485345631,0.9305131365
WITHIN_EUROC,Source-selected B3 Ridge,17,170,0.8234957384,0.6571003053,0.9540429493
WITHIN_EUROC,Source-selected B3 Ridge,18,180,0.8217365281,0.6598190773,0.9360031754
WITHIN_EUROC,Source-selected B3 Ridge,19,190,0.8150784474,0.6708679215,0.9226485353
WITHIN_EUROC,Source-selected B3 Ridge,20,200,0.8165876144,0.6693111955,0.9345571108
WITHIN_EUROC,TCN,1,10,0.4398936332,0.3667741879,0.5068021485
WITHIN_EUROC,TCN,2,20,0.6285437642,0.5050402715,0.7466136853
WITHIN_EUROC,TCN,3,30,0.6526846804,0.5308726108,0.7707051652
WITHIN_EUROC,TCN,4,40,0.6346797539,0.517819465,0.74461871
WITHIN_EUROC,TCN,5,50,0.6408954851,0.5139813236,0.7650545827
WITHIN_EUROC,TCN,6,60,0.6785942701,0.5401260394,0.8220540183
WITHIN_EUROC,TCN,7,70,0.7163097533,0.5624720643,0.859993913
WITHIN_EUROC,TCN,8,80,0.7393156882,0.58762594,0.8706133473
WITHIN_EUROC,TCN,9,90,0.7393466837,0.6013868724,0.8577995718
WITHIN_EUROC,TCN,10,100,0.7347771891,0.5949901925,0.8584845356
WITHIN_EUROC,TCN,11,110,0.7481352808,0.6016755538,0.8808855437
WITHIN_EUROC,TCN,12,120,0.7812195913,0.6211610128,0.918887731
WITHIN_EUROC,TCN,13,130,0.7957697825,0.6405186565,0.9125361596
WITHIN_EUROC,TCN,14,140,0.7800617707,0.638806747,0.8855033363
WITHIN_EUROC,TCN,15,150,0.784200329,0.6411537854,0.902317147
WITHIN_EUROC,TCN,16,160,0.7998492002,0.650384298,0.9310044039
WITHIN_EUROC,TCN,17,170,0.8174615913,0.656943487,0.9504485044
WITHIN_EUROC,TCN,18,180,0.8248107963,0.6635093597,0.9363136164
WITHIN_EUROC,TCN,19,190,0.8182714028,0.6750984257,0.923419076
WITHIN_EUROC,TCN,20,200,0.8148795116,0.6742682643,0.9307556577
WITHIN_EUROC,GRU,1,10,0.554722765,0.447657657,0.6592618581
WITHIN_EUROC,GRU,2,20,0.6466369825,0.5182254941,0.7711514545
WITHIN_EUROC,GRU,3,30,0.6389637844,0.5168392796,0.7597406425
WITHIN_EUROC,GRU,4,40,0.6178272443,0.5043895387,0.7277134163
WITHIN_EUROC,GRU,5,50,0.6253749502,0.5039440288,0.7393006378
WITHIN_EUROC,GRU,6,60,0.6633829866,0.5314663271,0.792250874
WITHIN_EUROC,GRU,7,70,0.7100972229,0.562975597,0.8406951652
WITHIN_EUROC,GRU,8,80,0.7269728364,0.5837851031,0.8491076127
WITHIN_EUROC,GRU,9,90,0.7221137896,0.5901276797,0.8339756313
WITHIN_EUROC,GRU,10,100,0.7211307851,0.5848960856,0.8373392486
WITHIN_EUROC,GRU,11,110,0.7424453898,0.5995876237,0.8740861919
WITHIN_EUROC,GRU,12,120,0.7756271036,0.6214843974,0.9080495648
WITHIN_EUROC,GRU,13,130,0.7812734904,0.6293101218,0.893444023
WITHIN_EUROC,GRU,14,140,0.7762006189,0.636675161,0.8795259929
WITHIN_EUROC,GRU,15,150,0.7772821984,0.6392790276,0.8939773341
WITHIN_EUROC,GRU,16,160,0.7937688568,0.6476928099,0.9222308912
WITHIN_EUROC,GRU,17,170,0.8182170441,0.6577530357,0.9472051148
WITHIN_EUROC,GRU,18,180,0.8198235225,0.661992431,0.930274511
WITHIN_EUROC,GRU,19,190,0.8130617895,0.6712429922,0.9194723211
WITHIN_EUROC,GRU,20,200,0.8120256645,0.6691274714,0.9287990956
WITHIN_EUROC,Transformer,1,10,0.5844126715,0.4667951815,0.70553061
WITHIN_EUROC,Transformer,2,20,0.6851443796,0.5450107097,0.8095975087
WITHIN_EUROC,Transformer,3,30,0.6793187658,0.5467010712,0.8005010972
WITHIN_EUROC,Transformer,4,40,0.6468996004,0.5312264233,0.7516464039
WITHIN_EUROC,Transformer,5,50,0.6455960778,0.5251986481,0.7573392292
WITHIN_EUROC,Transformer,6,60,0.6740401841,0.5436698863,0.7985626567
WITHIN_EUROC,Transformer,7,70,0.7143838021,0.5667426504,0.8415524716
WITHIN_EUROC,Transformer,8,80,0.7353363285,0.5909353375,0.8511649541
WITHIN_EUROC,Transformer,9,90,0.7345007359,0.5982944297,0.8429876766
WITHIN_EUROC,Transformer,10,100,0.7305006399,0.597958717,0.8449109383
WITHIN_EUROC,Transformer,11,110,0.7489713128,0.6079982697,0.875396609
WITHIN_EUROC,Transformer,12,120,0.7814799029,0.630009381,0.9090321226
WITHIN_EUROC,Transformer,13,130,0.7870684342,0.6359658505,0.8939975915
