context,model,ridge_id,model_rmse,persistence_rmse,skill_vs_persistence,skill_definition
WITHIN_EUROC,Persistence,,0.9169911034,0.9169911034,0,1 - model_RMSE / persistence_RMSE (equal-sequence means)
WITHIN_EUROC,Source-selected B3 Ridge,B3_RIDGE_QF_QW,0.7282562381,0.9169911034,0.2058197343,1 - model_RMSE / persistence_RMSE (equal-sequence means)
WITHIN_EUROC,TCN,,0.7351135509,0.9169911034,0.1983416761,1 - model_RMSE / persistence_RMSE (equal-sequence means)
WITHIN_EUROC,GRU,,0.7315832077,0.9169911034,0.202191597,1 - model_RMSE / persistence_RMSE (equal-sequence means)
WITHIN_EUROC,Transformer,,0.743946612,0.9169911034,0.1887090188,1 - model_RMSE / persistence_RMSE (equal-sequence means)
WITHIN_UZH,Persistence,,2.349272909,2.349272909,0,1 - model_RMSE / persistence_RMSE (equal-sequence means)
WITHIN_UZH,Source-selected B3 Ridge,B3_RIDGE_QF_QW,1.943140653,2.349272909,0.1728757244,1 - model_RMSE / persistence_RMSE (equal-sequence means)
WITHIN_UZH,TCN,,1.920120799,2.349272909,0.1826744388,1 - model_RMSE / persistence_RMSE (equal-sequence means)
WITHIN_UZH,GRU,,1.945816705,2.349272909,0.1717366262,1 - model_RMSE / persistence_RMSE (equal-sequence means)
WITHIN_UZH,Transformer,,1.895225547,2.349272909,0.1932714415,1 - model_RMSE / persistence_RMSE (equal-sequence means)
EUROC_TO_UZH,Persistence,,2.349272909,2.349272909,0,1 - model_RMSE / persistence_RMSE (equal-sequence means)
EUROC_TO_UZH,Source-selected B3 Ridge,B3_RIDGE_QF_QW,2.065149757,2.349272909,0.120940888,1 - model_RMSE / persistence_RMSE (equal-sequence means)
EUROC_TO_UZH,TCN,,2.049908945,2.349272909,0.1274283473,1 - model_RMSE / persistence_RMSE (equal-sequence means)
EUROC_TO_UZH,GRU,,2.080038328,2.349272909,0.1146033649,1 - model_RMSE / persistence_RMSE (equal-sequence means)
EUROC_TO_UZH,Transformer,,2.197584952,2.349272909,0.06456804405,1 - model_RMSE / persistence_RMSE (equal-sequence means)
UZH_TO_EUROC,Persistence,,0.9169911034,0.9169911034,0,1 - model_RMSE / persistence_RMSE (equal-sequence means)
UZH_TO_EUROC,Source-selected B3 Ridge,B3_RIDGE_QF_QW,0.8308037722,0.9169911034,0.09398927742,1 - model_RMSE / persistence_RMSE (equal-sequence means)
UZH_TO_EUROC,TCN,,0.8253822249,0.9169911034,0.09990160004,1 - model_RMSE / persistence_RMSE (equal-sequence means)
UZH_TO_EUROC,GRU,,0.8047074577,0.9169911034,0.1224479117,1 - model_RMSE / persistence_RMSE (equal-sequence means)
UZH_TO_EUROC,Transformer,,0.8168786727,0.9169911034,0.1091749204,1 - model_RMSE / persistence_RMSE (equal-sequence means)
