context,dataset,sequence_id,model,ridge_id,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,n_origins
WITHIN_EUROC,EUROC,V1_01_easy,Persistence,,0.5639882678,0.4047078867,0.4680215359,0.5449944889,0.6620481976,2868
WITHIN_EUROC,EUROC,V1_02_medium,Persistence,,0.7925081888,0.5679561859,0.5695716618,0.736700159,0.9996927157,1666
WITHIN_EUROC,EUROC,V1_03_difficult,Persistence,,0.8383637495,0.6147949478,0.6452296575,0.8193058374,1.046251188,2106
WITHIN_EUROC,EUROC,V2_01_easy,Persistence,,1.130114331,0.6649999003,0.9955112485,1.16941163,1.196955533,2236
WITHIN_EUROC,EUROC,V2_02_medium,Persistence,,1.04142078,0.7314790566,0.8394783686,1.032624619,1.263879894,2305
WITHIN_EUROC,EUROC,V2_03_difficult,Persistence,,1.135551303,0.7558948259,0.9911508357,1.165354104,1.300542021,2293
WITHIN_EUROC,EUROC,V1_01_easy,TCN,,0.4371180845,0.3172963628,0.3984911146,0.4416200501,0.4882482002,2868
WITHIN_EUROC,EUROC,V1_02_medium,TCN,,0.6584689819,0.4712165791,0.5122592629,0.6399227504,0.7695908433,1666
WITHIN_EUROC,EUROC,V1_03_difficult,TCN,,0.6865733646,0.5029332225,0.562417974,0.6883245609,0.813792014,2106
WITHIN_EUROC,EUROC,V2_01_easy,TCN,,0.8806887053,0.5105559627,0.8137373607,0.8684318831,0.8645500916,2236
WITHIN_EUROC,EUROC,V2_02_medium,TCN,,0.8417649971,0.6051502527,0.7186001868,0.8385898407,0.9556137927,2305
WITHIN_EUROC,EUROC,V2_03_difficult,TCN,,0.9060671723,0.6100032972,0.8398670116,0.9317740494,0.9974821277,2293
WITHIN_EUROC,EUROC,V1_01_easy,GRU,,0.4376269389,0.3181305014,0.391614212,0.4394202873,0.4849202841,2868
WITHIN_EUROC,EUROC,V1_02_medium,GRU,,0.657277381,0.4709135351,0.5094034948,0.6325716634,0.7613922478,1666
WITHIN_EUROC,EUROC,V1_03_difficult,GRU,,0.6823270172,0.5012721532,0.5597453708,0.6758270976,0.8086630308,2106
WITHIN_EUROC,EUROC,V2_01_easy,GRU,,0.8727905663,0.5161106752,0.7757175925,0.8394614563,0.8702253054,2236
WITHIN_EUROC,EUROC,V2_02_medium,GRU,,0.8440148577,0.6116908906,0.7122252643,0.8332551231,0.9570044211,2305
WITHIN_EUROC,EUROC,V2_03_difficult,GRU,,0.8954624853,0.6103699852,0.803543767,0.9062490829,0.9899486976,2293
WITHIN_EUROC,EUROC,V1_01_easy,Transformer,,0.4459415508,0.3282252356,0.4014970039,0.4490194256,0.4897604549,2868
WITHIN_EUROC,EUROC,V1_02_medium,Transformer,,0.6722232372,0.4861396203,0.5394254173,0.6433732006,0.7618898543,1666
WITHIN_EUROC,EUROC,V1_03_difficult,Transformer,,0.7023305443,0.519067487,0.5902935039,0.6897522675,0.8274425721,2106
WITHIN_EUROC,EUROC,V2_01_easy,Transformer,,0.8667038865,0.5233089781,0.7739805841,0.8252541872,0.8638251238,2236
WITHIN_EUROC,EUROC,V2_02_medium,Transformer,,0.8697776996,0.6355045063,0.7513980023,0.8680362013,0.9681000094,2305
WITHIN_EUROC,EUROC,V2_03_difficult,Transformer,,0.9067027535,0.6256892783,0.8169819555,0.907568557,0.9984736974,2293
WITHIN_UZH,UZH_FPV,indoor_forward_6_snapdragon,Persistence,,4.075000184,1.448876514,3.095694185,4.049868694,4.372439845,1349
WITHIN_UZH,UZH_FPV,indoor_forward_9_snapdragon,Persistence,,0.7614361482,0.5198005074,0.6514258874,0.746522323,0.9443831043,1493
