context,model,ridge_id,n_sequences,mean_paired_delta,ci_low,ci_high,bootstrap_replicates,bootstrap_seed,sign_flip_p_exploratory
WITHIN_EUROC,TCN,B3_RIDGE_QF_QW,6,0.006857312867,-0.005129755767,0.01567319182,10000,20260912,0.28125
WITHIN_EUROC,GRU,B3_RIDGE_QF_QW,6,0.00332696965,-0.009797523333,0.01376885875,10000,20260912,0.65625
WITHIN_EUROC,Transformer,B3_RIDGE_QF_QW,6,0.0156903739,-0.0052986296,0.03205811462,10000,20260912,0.1875
WITHIN_UZH,TCN,B3_RIDGE_QF_QW,8,-0.02301985438,-0.0468787363,0.002736867219,10000,20260912,0.171875
WITHIN_UZH,GRU,B3_RIDGE_QF_QW,8,0.0026760525,-0.03859730201,0.04935560038,10000,20260912,0.921875
WITHIN_UZH,Transformer,B3_RIDGE_QF_QW,8,-0.04791510572,-0.07264050955,-0.0223155033,10000,20260912,0.015625
EUROC_TO_UZH,TCN,B3_RIDGE_QF_QW,8,-0.01524081231,-0.04400357925,0.01096331881,10000,20260912,0.359375
EUROC_TO_UZH,GRU,B3_RIDGE_QF_QW,8,0.0148885712,-0.0450543073,0.08177639397,10000,20260912,0.7109375
EUROC_TO_UZH,Transformer,B3_RIDGE_QF_QW,8,0.1324351951,0.02321011608,0.2539979616,10000,20260912,0.0703125
UZH_TO_EUROC,TCN,B3_RIDGE_QF_QW,6,-0.00542154725,-0.01838145335,0.003739028817,10000,20260912,0.6875
UZH_TO_EUROC,GRU,B3_RIDGE_QF_QW,6,-0.02609631442,-0.03819996568,-0.01341806948,10000,20260912,0.0625
UZH_TO_EUROC,Transformer,B3_RIDGE_QF_QW,6,-0.0139250995,-0.02612179287,-0.0001080297167,10000,20260912,0.15625
