context,model,mean_seq_rmse,ci_low,ci_high
WITHIN_EUROC,Persistence,0.9169911034,0.7430420201,1.069425462
WITHIN_EUROC,Source-selected B3 Ridge,0.7282562381,0.5826420992,0.8505713845
WITHIN_EUROC,TCN,0.7351135509,0.5937439621,0.854083778
WITHIN_EUROC,GRU,0.7315832077,0.5913246167,0.8471903633
WITHIN_EUROC,Transformer,0.743946612,0.6031801979,0.8553144828
WITHIN_UZH,Persistence,2.349272909,1.637558288,3.053113425
WITHIN_UZH,Source-selected B3 Ridge,1.943140653,1.377703104,2.526564833
WITHIN_UZH,TCN,1.920120799,1.362207926,2.505897429
WITHIN_UZH,GRU,1.945816705,1.350956804,2.57242754
WITHIN_UZH,Transformer,1.895225547,1.344822284,2.479216381
EUROC_TO_UZH,Persistence,2.349272909,1.637558288,3.053113425
EUROC_TO_UZH,Source-selected B3 Ridge,2.065149757,1.483872022,2.698028464
EUROC_TO_UZH,TCN,2.049908945,1.470597349,2.690126001
EUROC_TO_UZH,GRU,2.080038328,1.470451745,2.757981534
EUROC_TO_UZH,Transformer,2.197584952,1.5899241,2.905565107
UZH_TO_EUROC,Persistence,0.9169911034,0.7430420201,1.069425462
UZH_TO_EUROC,Source-selected B3 Ridge,0.8308037722,0.7027188672,0.9360931921
UZH_TO_EUROC,TCN,0.8253822249,0.6937538618,0.931626675
UZH_TO_EUROC,GRU,0.8047074577,0.6653984415,0.9172245226
UZH_TO_EUROC,Transformer,0.8168786727,0.675963962,0.935009942
