evaluation_context,dataset,sequence_id,model,lag,selected_alpha,n_origins,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,skill,rmse_h01,rmse_h02,rmse_h03,rmse_h04,rmse_h05,rmse_h06,rmse_h07,rmse_h08,rmse_h09,rmse_h10,rmse_h11,rmse_h12,rmse_h13,rmse_h14,rmse_h15,rmse_h16,rmse_h17,rmse_h18,rmse_h19,rmse_h20,fold_id,notes
WITHIN_EUROC,EUROC,V1_01_easy,B3_RIDGE_QF_QW_FIXED_LAG100,100,0.01,2868,0.4355188668,0.3140069014,0.3950414071,0.4491829832,0.4926549699,,0.1806744805,0.3572232135,0.4004621411,0.409957088,0.3950414071,0.4006425124,0.4142384832,0.4342034643,0.457940253,0.4491829832,0.439454758,0.4458450561,0.463224453,0.4814674665,0.4751901834,0.4657923488,0.4647494023,0.4780250266,0.4984085793,0.4926549699,EUROC_LORO_01_V1_01_easy,fixed lag=100; nested source-only alpha; held-out never trained
WITHIN_EUROC,EUROC,V1_02_medium,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,1666,0.6836346184,0.492388551,0.5650413643,0.6692152233,0.7671473151,,0.4577974896,0.5560160205,0.571252185,0.5573024779,0.5650413643,0.6121048405,0.6595465871,0.6884149793,0.6790700625,0.6692152233,0.6988324257,0.7362633167,0.7534875929,0.738126205,0.7270759488,0.7517886104,0.7826405321,0.7962983788,0.7795191413,0.7671473151,EUROC_LORO_02_V1_02_medium,fixed lag=100; nested source-only alpha; held-out never trained
WITHIN_EUROC,EUROC,V1_03_difficult,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,2106,0.7178373937,0.5258934255,0.6193228884,0.7263169064,0.8313357549,,0.4826076679,0.5782338161,0.5953321397,0.6058972272,0.6193228884,0.6385770268,0.6707225552,0.7004385208,0.7209445747,0.7263169064,0.7314781385,0.7511676906,0.7674874814,0.7827489147,0.7891297833,0.7911890231,0.8031977585,0.8159746831,0.8282995225,0.8313357549,EUROC_LORO_03_V1_03_difficult,fixed lag=100; nested source-only alpha; held-out never trained
WITHIN_EUROC,EUROC,V2_01_easy,B3_RIDGE_QF_QW_FIXED_LAG100,100,0.0001,2236,0.9037721861,0.4951728101,0.8577453112,0.9331371468,0.9056165874,,0.2314198867,0.6729380959,0.915917613,0.921393087,0.8577453112,0.8902163262,0.9632027703,0.9775397992,0.9745504877,0.9331371468,0.9283658285,0.9755816362,0.9865241899,0.9528094933,0.8997956066,0.9066449817,0.9645801134,0.9721157042,0.9422642165,0.9056165874,EUROC_LORO_04_V2_01_easy,fixed lag=100; nested source-only alpha; held-out never trained
WITHIN_EUROC,EUROC,V2_02_medium,B3_RIDGE_QF_QW_FIXED_LAG100,100,0.01,2305,0.8403402216,0.599414153,0.7154051068,0.8592759318,0.9526227509,,0.3225193006,0.6513463321,0.7390329442,0.7212291977,0.7154051068,0.7617492332,0.8157010172,0.8524176942,0.861850357,0.8592759318,0.8677786667,0.9008309153,0.9212633143,0.9102839657,0.9094086272,0.9256960593,0.9498203854,0.9602992981,0.9518351573,0.9526227509,EUROC_LORO_05_V2_02_medium,fixed lag=100; nested source-only alpha; held-out never trained
WITHIN_EUROC,EUROC,V2_03_difficult,B3_RIDGE_QF_QW_FIXED_LAG100,100,0.0001,2293,0.9081520133,0.5978871211,0.8592439933,0.9566707516,0.9916402385,,0.2206082939,0.630987573,0.7949084908,0.7877743503,0.8592439933,0.9286449578,0.9686580423,0.9278428892,0.9190334272,0.9566707516,0.9999313311,1.012697675,0.960597771,0.9405012864,0.9716885381,1.011328999,1.016217846,0.9600413739,0.9478412057,0.9916402385,EUROC_LORO_06_V2_03_difficult,fixed lag=100; nested source-only alpha; held-out never trained
WITHIN_UZH,UZH_FPV,indoor_forward_6_snapdragon,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,1349,3.539012532,1.627469765,3.062523651,3.544365774,3.695138171,,1.766318256,2.501376349,3.058103543,3.314324587,3.062523651,3.058484404,3.558368241,3.917775137,3.926363456,3.544365774,3.401919337,3.768314374,4.055702954,4.048846189,3.672659618,3.509767532,3.831064287,4.094946067,4.066176599,3.695138171,UZH_FPV_LORO_01_indoor_forward_6_snapdragon,fixed lag=100; nested source-only alpha; held-out never trained
WITHIN_UZH,UZH_FPV,indoor_forward_9_snapdragon,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,1493,0.7843158951,0.5392565786,0.7102289944,0.8235817976,0.9061409516,,0.513009806,0.5823283869,0.5900319222,0.6520831235,0.7102289944,0.7323061507,0.7379590605,0.7501302025,0.7940047865,0.8235817976,0.8338648588,0.8253232915,0.8213915607,0.8580018269,0.8839875214,0.8868145519,0.8725180946,0.8623491536,0.8885079175,0.9061409516,UZH_FPV_LORO_02_indoor_forward_9_snapdragon,fixed lag=100; nested source-only alpha; held-out never trained
WITHIN_UZH,UZH_FPV,indoor_forward_10_snapdragon,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,1482,0.8962968248,0.5409065766,0.8648826963,0.949882785,1.031911339,,0.5028335856,0.6190151794,0.7178613657,0.8299262015,0.8648826963,0.8212976627,0.8163738579,0.8722664334,0.9422330832,0.949882785,0.9149542429,0.9109445408,0.9481470823,1.007040791,1.011669131,0.9711626059,0.9608090534,0.9895402194,1.035855827,1.031911339,UZH_FPV_LORO_03_indoor_forward_10_snapdragon,fixed lag=100; nested source-only alpha; held-out never trained
WITHIN_UZH,UZH_FPV,indoor_45_2_snapdragon,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,1450,2.10173779,0.7315297631,2.041088016,2.239796394,2.257895123,,1.486254456,1.559808217,1.539269573,1.71094517,2.041088016,2.342425424,2.273813326,2.03084847,1.991119844,2.239796394,2.48870194,2.358679941,2.06279491,2.001672374,2.259497647,2.510425401,2.374564925,2.07175445,2.005835593,2.257895123,UZH_FPV_LORO_04_indoor_45_2_snapdragon,fixed lag=100; nested source-only alpha; held-out never trained
WITHIN_UZH,UZH_FPV,indoor_45_4_snapdragon,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,1281,2.541093132,0.7376830663,2.54939977,2.721012516,2.718700145,,1.874683518,1.991662065,1.944205489,2.111874555,2.54939977,2.788810481,2.712197243,2.533224084,2.500019095,2.721012516,2.833235766,2.710699289,2.544284971,2.519880352,2.730833922,2.855036286,2.753327878,2.571671347,2.514997432,2.718700145,UZH_FPV_LORO_05_indoor_45_4_snapdragon,fixed lag=100; nested source-only alpha; held-out never trained
