sequence_id,usable_status,official_source,authentic_file,valid_hash,imu_accel_available,gyro_available,units_verified,imu_frame_documented,valid_timestamps,imu_duration_s,gt_available,overlap_s,finite_fraction,critical_integrity,calibration_documented,exclusion_reason,notes
V1_01_easy,USABLE_PRIMARY,YES,YES,YES,YES,YES,YES,YES,YES,145.5950001,YES,143.5550001,1,PASS,YES,,"header=#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]"
V1_02_medium,USABLE_PRIMARY,YES,YES,YES,YES,YES,YES,YES,YES,85.49499981,YES,83.50499994,1,PASS,YES,,"header=#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]"
V1_03_difficult,USABLE_PRIMARY,YES,YES,YES,YES,YES,YES,YES,YES,107.4949998,YES,104.6550001,1,PASS,YES,,"header=#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]"
V2_01_easy,USABLE_PRIMARY,YES,YES,YES,YES,YES,YES,YES,YES,113.9950001,YES,112,1,PASS,YES,,"header=#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]"
V2_02_medium,USABLE_PRIMARY,YES,YES,YES,YES,YES,YES,YES,YES,117.4450002,YES,115.4499999,1,PASS,YES,,"header=#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]"
V2_03_difficult,USABLE_PRIMARY,YES,YES,YES,YES,YES,YES,YES,YES,116.8450002,YES,114.8450002,1,PASS,YES,,"header=#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]"
MH_01_easy,NOT_DOWNLOADED,YES,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,,DOCUMENTED_ONLY,,,NOT_APPLICABLE,DOCUMENTED_ONLY,NOT_DOWNLOADED,Optional Phase B
MH_02_easy,NOT_DOWNLOADED,YES,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,,DOCUMENTED_ONLY,,,NOT_APPLICABLE,DOCUMENTED_ONLY,NOT_DOWNLOADED,Optional Phase B
MH_03_medium,NOT_DOWNLOADED,YES,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,,DOCUMENTED_ONLY,,,NOT_APPLICABLE,DOCUMENTED_ONLY,NOT_DOWNLOADED,Optional Phase B
MH_04_difficult,NOT_DOWNLOADED,YES,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,,DOCUMENTED_ONLY,,,NOT_APPLICABLE,DOCUMENTED_ONLY,NOT_DOWNLOADED,Optional Phase B
MH_05_difficult,NOT_DOWNLOADED,YES,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,NOT_DOWNLOADED,,DOCUMENTED_ONLY,,,NOT_APPLICABLE,DOCUMENTED_ONLY,NOT_DOWNLOADED,Optional Phase B
