dataset,sequence_id,environment,difficulty,duration_s,imu_rate_hz,gt_type,gt_rate_hz,common_quantity_available,frame_status,integrity_status,dependency_group,primary_eligible,reason
EUROC,V1_01_easy,vicon,easy,145.5950001,200.00256,POSTPROCESSED_STATE_ESTIMATE,200.00256,YES,NATIVE_S_T_BS_DOCUMENTED,PASS,EUROC_FIREFLY_VICON_ROOM1,YES,passed Stage 0C usability rules
EUROC,V1_02_medium,vicon,medium,85.49499981,200.00256,POSTPROCESSED_STATE_ESTIMATE,200.00256,YES,NATIVE_S_T_BS_DOCUMENTED,PASS,EUROC_FIREFLY_VICON_ROOM1,YES,passed Stage 0C usability rules
EUROC,V1_03_difficult,vicon,difficult,107.4949998,200.00256,POSTPROCESSED_STATE_ESTIMATE,200.00256,YES,NATIVE_S_T_BS_DOCUMENTED,PASS,EUROC_FIREFLY_VICON_ROOM1,YES,passed Stage 0C usability rules
EUROC,V2_01_easy,vicon,easy,113.9950001,200.00256,POSTPROCESSED_STATE_ESTIMATE,200.00256,YES,NATIVE_S_T_BS_DOCUMENTED,PASS,EUROC_FIREFLY_VICON_ROOM2,YES,passed Stage 0C usability rules
EUROC,V2_02_medium,vicon,medium,117.4450002,200.00256,POSTPROCESSED_STATE_ESTIMATE,200.00256,YES,NATIVE_S_T_BS_DOCUMENTED,PASS,EUROC_FIREFLY_VICON_ROOM2,YES,passed Stage 0C usability rules
EUROC,V2_03_difficult,vicon,difficult,116.8450002,200.00256,POSTPROCESSED_STATE_ESTIMATE,200.00256,YES,NATIVE_S_T_BS_DOCUMENTED,PASS,EUROC_FIREFLY_VICON_ROOM2,YES,passed Stage 0C usability rules
UZH_FPV,indoor_forward_6_snapdragon,indoor,aggressive,SEE_STAGE0_TIMESTAMP_AUDIT,approximately_500,GROUND_TRUTH_POSE_ONLY,SEE_STAGE0,YES,NATIVE_S_VEHICLE_BODY_UNRESOLVED,HASH_SCHEMA_PASS,indoor_forward,YES,Stage-0 USABLE_PRIMARY retained; hash/schema re-verified
UZH_FPV,indoor_forward_9_snapdragon,indoor,moderate,SEE_STAGE0_TIMESTAMP_AUDIT,approximately_500,GROUND_TRUTH_POSE_ONLY,SEE_STAGE0,YES,NATIVE_S_VEHICLE_BODY_UNRESOLVED,HASH_SCHEMA_PASS,indoor_forward,YES,Stage-0 USABLE_PRIMARY retained; hash/schema re-verified
UZH_FPV,indoor_forward_10_snapdragon,indoor,moderate,SEE_STAGE0_TIMESTAMP_AUDIT,approximately_500,GROUND_TRUTH_POSE_ONLY,SEE_STAGE0,YES,NATIVE_S_VEHICLE_BODY_UNRESOLVED,HASH_SCHEMA_PASS,indoor_forward,YES,Stage-0 USABLE_PRIMARY retained; hash/schema re-verified
UZH_FPV,indoor_45_2_snapdragon,indoor,moderate,SEE_STAGE0_TIMESTAMP_AUDIT,approximately_500,GROUND_TRUTH_POSE_ONLY,SEE_STAGE0,YES,NATIVE_S_VEHICLE_BODY_UNRESOLVED,HASH_SCHEMA_PASS,indoor_45,YES,Stage-0 USABLE_PRIMARY retained; hash/schema re-verified
UZH_FPV,indoor_45_4_snapdragon,indoor,moderate,SEE_STAGE0_TIMESTAMP_AUDIT,approximately_500,GROUND_TRUTH_POSE_ONLY,SEE_STAGE0,YES,NATIVE_S_VEHICLE_BODY_UNRESOLVED,HASH_SCHEMA_PASS,indoor_45,YES,Stage-0 USABLE_PRIMARY retained; hash/schema re-verified
UZH_FPV,indoor_45_13_snapdragon,indoor,moderate,SEE_STAGE0_TIMESTAMP_AUDIT,approximately_500,GROUND_TRUTH_POSE_ONLY,SEE_STAGE0,YES,NATIVE_S_VEHICLE_BODY_UNRESOLVED,HASH_SCHEMA_PASS,indoor_45,YES,Stage-0 USABLE_PRIMARY retained; hash/schema re-verified
UZH_FPV,indoor_45_14_snapdragon,indoor,hard,SEE_STAGE0_TIMESTAMP_AUDIT,approximately_500,GROUND_TRUTH_POSE_ONLY,SEE_STAGE0,YES,NATIVE_S_VEHICLE_BODY_UNRESOLVED,HASH_SCHEMA_PASS,indoor_45,YES,Stage-0 USABLE_PRIMARY retained; hash/schema re-verified
UZH_FPV,outdoor_forward_1_snapdragon,outdoor,moderate,SEE_STAGE0_TIMESTAMP_AUDIT,approximately_500,GROUND_TRUTH_POSE_ONLY,SEE_STAGE0,YES,NATIVE_S_VEHICLE_BODY_UNRESOLVED,HASH_SCHEMA_PASS,outdoor_forward,YES,Stage-0 USABLE_PRIMARY retained; hash/schema re-verified
