native_fs_hz,frequency_hz,magnitude_db,phase_rad
200,0,np.float64(-1.9286549331065743e-15),0
200,0.048828125,np.float64(-5.1358058767233754e-05),-0.00624447366
200,0.09765625,-0.0002054200826,-0.01248879285
200,0.146484375,-0.000462149619,-0.01873280315
200,0.1953125,-0.0008214859299,-0.02497635024
200,0.244140625,-0.001283344016,-0.03121927995
200,0.29296875,-0.00184761465,-0.03746143834
200,0.341796875,-0.002514164421,-0.04370267169
200,0.390625,-0.003282835787,-0.0499428266
200,0.439453125,-0.004153447136,-0.05618175003
200,0.48828125,-0.00512579286,-0.06241928934
200,0.537109375,-0.006199643437,-0.06865529236
200,0.5859375,-0.007374745519,-0.07488960742
200,0.634765625,-0.008650822033,-0.08112208339
200,0.68359375,-0.01002757229,-0.08735256976
200,0.732421875,-0.01150467211,-0.09358091668
200,0.78125,-0.01308177393,-0.09980697499
200,0.830078125,-0.01475850696,-0.1060305963
200,0.87890625,-0.01653447733,-0.112251633
200,0.927734375,-0.01840926822,-0.1184699383
200,0.9765625,-0.02038244005,-0.1246853663
200,1.025390625,-0.02245353061,-0.1308977722
200,1.07421875,-0.02462205529,-0.1371070119
200,1.123046875,-0.02688750725,-0.1433129426
200,1.171875,-0.02924935756,-0.1495154224
200,1.220703125,-0.03170705551,-0.1557143105
200,1.26953125,-0.0342600287,-0.1619094675
200,1.318359375,-0.03690768336,-0.1681007549
200,1.3671875,-0.0396494045,-0.1742880356
200,1.416015625,-0.04248455618,-0.1804711739
200,1.46484375,-0.04541248175,-0.1866500351
200,1.513671875,-0.04843250408,-0.1928244861
200,1.5625,-0.05154392579,-0.1989943953
200,1.611328125,-0.05474602958,-0.2051596323
200,1.66015625,-0.05803807841,-0.2113200683
200,1.708984375,-0.06141931582,-0.217475576
200,1.7578125,-0.0648889662,-0.2236260296
200,1.806640625,-0.06844623505,-0.2297713051
200,1.85546875,-0.07209030928,-0.23591128
200,1.904296875,-0.07582035752,-0.2420458332
200,1.953125,-0.07963553037,-0.2481748458
200,2.001953125,-0.08353496075,-0.2542982001
200,2.05078125,-0.08751776416,-0.2604157806
200,2.099609375,-0.09158303902,-0.2665274732
200,2.1484375,-0.09572986698,-0.2726331659
200,2.197265625,-0.09995731322,-0.2787327485
200,2.24609375,-0.1042644268,-0.2848261125
200,2.294921875,-0.1086502409,-0.2909131513
200,2.34375,-0.1131137733,-0.2969937605
200,2.392578125,-0.1176540265,-0.3030678374
200,2.44140625,-0.1222699883,-0.3091352813
200,2.490234375,-0.126960632,-0.3151959936
200,2.5390625,-0.1317249165,-0.3212498775
200,2.587890625,-0.1365617872,-0.3272968384
200,2.63671875,-0.1414701759,-0.3333367837
200,2.685546875,-0.1464490011,-0.339369623
200,2.734375,-0.1514971686,-0.3453952678
200,2.783203125,-0.156613572,-0.3514136317
200,2.83203125,-0.1617970923,-0.3574246307
200,2.880859375,-0.1670465991,-0.3634281827
200,2.9296875,-0.1723609505,-0.3694242077
200,2.978515625,-0.1777389934,-0.3754126281
200,3.02734375,-0.183179564,-0.3813933684
200,3.076171875,-0.1886814883,-0.3873663551
200,3.125,-0.194243582,-0.3933315171
200,3.173828125,-0.1998646513,-0.3992887856
200,3.22265625,-0.2055434928,-0.4052380937
200,3.271484375,-0.2112788943,-0.4111793772
200,3.3203125,-0.217069635,-0.4171125737
200,3.369140625,-0.2229144854,-0.4230376232
200,3.41796875,-0.2288122084,-0.4289544681
200,3.466796875,-0.234761559,-0.4348630529
200,3.515625,-0.2407612849,-0.4407633244
200,3.564453125,-0.246810127,-0.4466552316
200,3.61328125,-0.2529068192,-0.452538726
200,3.662109375,-0.2590500895,-0.4584137612
200,3.7109375,-0.2652386595,-0.4642802929
200,3.759765625,-0.2714712453,-0.4701382796
200,3.80859375,-0.2777465577,-0.4759876815
200,3.857421875,-0.2840633023,-0.4818284614
200,3.90625,-0.2904201802,-0.4876605843
200,3.955078125,-0.2968158877,-0.4934840175
200,4.00390625,-0.3032491175,-0.4992987306
200,4.052734375,-0.3097185582,-0.5051046953
200,4.1015625,-0.3162228949,-0.5109018858
200,4.150390625,-0.3227608096,-0.5166902785
200,4.19921875,-0.3293309813,-0.5224698518
200,4.248046875,-0.3359320867,-0.5282405867
200,4.296875,-0.3425627997,-0.5340024662
200,4.345703125,-0.3492217926,-0.5397554758
200,4.39453125,-0.3559077358,-0.5454996029
200,4.443359375,-0.3626192981,-0.5512348374
200,4.4921875,-0.3693551473,-0.5569611712
200,4.541015625,-0.3761139502,-0.5626785987
200,4.58984375,-0.382894373,-0.5683871161
200,4.638671875,-0.3896950814,-0.5740867221
200,4.6875,-0.396514741,-0.5797774175
200,4.736328125,-0.4033520175,-0.5854592052
200,4.78515625,-0.410205577,-0.5911320904
200,4.833984375,-0.4170740863,-0.5967960802
200,4.8828125,-0.4239562128,-0.6024511842
200,4.931640625,-0.4308506253,-0.6080974138
200,4.98046875,-0.4377559936,-0.6137347826
200,5.029296875,-0.4446709893,-0.6193633065
200,5.078125,-0.4515942856,-0.6249830032
200,5.126953125,-0.4585245578,-0.6305938926
200,5.17578125,-0.4654604833,-0.6361959967
200,5.224609375,-0.4724007421,-0.6417893395
200,5.2734375,-0.4793440166,-0.6473739471
200,5.322265625,-0.4862889922,-0.6529498476
200,5.37109375,-0.4932343572,-0.658517071
200,5.419921875,-0.5001788031,-0.6640756495
200,5.46875,-0.507121025,-0.669625617
200,5.517578125,-0.5140597214,-0.6751670098
200,5.56640625,-0.5209935946,-0.6806998656
200,5.615234375,-0.5279213508,-0.6862242246
200,5.6640625,-0.5348417006,-0.6917401285
200,5.712890625,-0.5417533585,-0.6972476211
200,5.76171875,-0.5486550437,-0.702746748
200,5.810546875,-0.5555454799,-0.7082375569
200,5.859375,-0.5624233957,-0.7137200971
200,5.908203125,-0.5692875245,-0.7191944198
200,5.95703125,-0.5761366047,-0.7246605782
200,6.005859375,-0.5829693801,-0.7301186272
200,6.0546875,-0.5897845998,-0.7355686235
200,6.103515625,-0.5965810183,-0.7410106256
200,6.15234375,-0.6033573959,-0.7464446938
200,6.201171875,-0.6101124983,-0.7518708902
200,6.25,-0.6168450976,-0.7572892785
200,6.298828125,-0.6235539714,-0.7626999243
200,6.34765625,-0.6302379038,-0.7681028948
200,6.396484375,-0.6368956849,-0.773498259
200,6.4453125,-0.6435261113,-0.7788860874
200,6.494140625,-0.650127986,-0.7842664525
200,6.54296875,-0.6567001184,-0.7896394282
200,6.591796875,-0.6632413249,-0.79500509
200,6.640625,-0.6697504285,-0.8003635153
200,6.689453125,-0.6762262589,-0.8057147828
200,6.73828125,-0.682667653,-0.8110589731
200,6.787109375,-0.6890734548,-0.8163961681
200,6.8359375,-0.6954425151,-0.8217264515
200,6.884765625,-0.7017736922,-0.8270499085
200,6.93359375,-0.7080658516,-0.8323666258
200,6.982421875,-0.7143178663,-0.8376766916
200,7.03125,-0.7205286166,-0.8429801958
200,7.080078125,-0.7266969905,-0.8482772296
200,7.12890625,-0.7328218834,-0.8535678859
200,7.177734375,-0.7389021987,-0.8588522588
200,7.2265625,-0.7449368472,-0.8641304441
200,7.275390625,-0.7509247477,-0.8694025391
200,7.32421875,-0.7568648269,-0.8746686423
200,7.373046875,-0.7627560195,-0.8799288539
200,7.421875,-0.7685972679,-0.8851832753
200,7.470703125,-0.774387523,-0.8904320094
200,7.51953125,-0.7801257435,-0.8956751607
200,7.568359375,-0.7858108963,-0.9009128347
200,7.6171875,-0.7914419568,-0.9061451386
200,7.666015625,-0.7970179083,-0.9113721808
200,7.71484375,-0.8025377428,-0.9165940711
200,7.763671875,-0.8080004604,-0.9218109208
200,7.8125,-0.8134050698,-0.9270228422
200,7.861328125,-0.8187505882,-0.9322299492
200,7.91015625,-0.8240360411,-0.937432357
200,7.958984375,-0.829260463,-0.942630182
200,8.0078125,-0.8344228965,-0.947823542
200,8.056640625,-0.8395223933,-0.953012556
200,8.10546875,-0.8445580136,-0.9581973445
200,8.154296875,-0.8495288264,-0.9633780289
200,8.203125,-0.8544339095,-0.9685547322
200,8.251953125,-0.8592723494,-0.9737275785
200,8.30078125,-0.8640432418,-0.9788966933
200,8.349609375,-0.868745691,-0.9840622031
200,8.3984375,-0.8733788103,-0.989224236
200,8.447265625,-0.8779417223,-0.9943829209
200,8.49609375,-0.8824335581,-0.9995383883
200,8.544921875,-0.8868534585,-1.00469077
200,8.59375,-0.891200573,-1.009840198
200,8.642578125,-0.8954740603,-1.014986807
200,8.69140625,-0.8996730885,-1.020130732
200,8.740234375,-0.9037968348,-1.02527211
200,8.7890625,-0.9078444857,-1.030411077
200,8.837890625,-0.9118152371,-1.035547774
200,8.88671875,-0.9157082941,-1.040682339
200,8.935546875,-0.9195228714,-1.045814914
200,8.984375,-0.9232581932,-1.050945641
200,9.033203125,-0.926913493,-1.056074664
200,9.08203125,-0.9304880139,-1.061202127
200,9.130859375,-0.9339810088,-1.066328177
200,9.1796875,-0.93739174,-1.07145296
200,9.228515625,-0.9407194797,-1.076576625
200,9.27734375,-0.9439635096,-1.08169932
200,9.326171875,-0.9471231214,-1.086821196
200,9.375,-0.9501976166,-1.091942405
200,9.423828125,-0.9531863066,-1.0970631
200,9.47265625,-0.9560885127,-1.102183434
200,9.521484375,-0.9589035664,-1.107303563
200,9.5703125,-0.961630809,-1.112423643
200,9.619140625,-0.9642695922,-1.117543831
200,9.66796875,-0.9668192778,-1.122664285
200,9.716796875,-0.9692792377,-1.127785166
200,9.765625,-0.9716488544,-1.132906634
200,9.814453125,-0.9739275207,-1.138028851
200,9.86328125,-0.9761146398,-1.14315198
200,9.912109375,-0.9782096255,-1.148276185
200,9.9609375,-0.9802119023,-1.153401632
200,10.00976562,-0.9821209051,-1.158528487
200,10.05859375,-0.98393608,-1.163656918
200,10.10742187,-0.9856568835,-1.168787093
200,10.15625,-0.9872827835,-1.173919183
200,10.20507812,-0.9888132586,-1.179053358
200,10.25390625,-0.9902477985,-1.184189791
200,10.30273438,-0.9915859045,-1.189328655
200,10.3515625,-0.9928270887,-1.194470124
200,10.40039062,-0.9939708749,-1.199614374
200,10.44921875,-0.9950167984,-1.204761582
200,10.49804688,-0.9959644059,-1.209911926
200,10.546875,-0.9968132562,-1.215065584
200,10.59570312,-0.9975629195,-1.220222737
200,10.64453125,-0.9982129783,-1.225383567
200,10.69335938,-0.9987630268,-1.230548255
200,10.7421875,-0.9992126718,-1.235716986
200,10.79101562,-0.9995615321,-1.240889944
200,10.83984375,-0.9998092389,-1.246067316
200,10.88867188,-0.9999554363,-1.251249287
200,10.9375,-0.9999997808,-1.256436047
200,10.98632812,-0.9999419418,-1.261627785
200,11.03515625,-0.9997816017,-1.266824692
200,11.08398437,-0.9995184561,-1.272026959
200,11.1328125,-0.9991522137,-1.277234779
200,11.18164062,-0.998682597,-1.282448347
200,11.23046875,-0.9981093416,-1.287667857
200,11.27929688,-0.9974321974,-1.292893506
200,11.328125,-0.9966509276,-1.298125491
200,11.37695312,-0.9957653102,-1.303364012
200,11.42578125,-0.9947751368,-1.308609268
200,11.47460938,-0.993680214,-1.31386146
200,11.5234375,-0.9924803627,-1.31912079
200,11.57226562,-0.9911754189,-1.324387462
200,11.62109375,-0.9897652333,-1.329661681
200,11.66992187,-0.9882496721,-1.334943652
200,11.71875,-0.9866286169,-1.340233581
200,11.76757812,-0.9849019647,-1.345531678
200,11.81640625,-0.9830696288,-1.350838151
200,11.86523438,-0.981131538,-1.35615321
200,11.9140625,-0.979087638,-1.361477068
200,11.96289062,-0.9769378906,-1.366809937
200,12.01171875,-0.9746822745,-1.37215203
200,12.06054687,-0.9723207855,-1.377503563
200,12.109375,-0.9698534364,-1.382864752
200,12.15820312,-0.9672802577,-1.388235814
200,12.20703125,-0.9646012976,-1.393616968
