fold_id,evaluation_class,source_or_domain,split_role,dataset,sequence_id,dependency_group,notes
EUROC_LGO_EUROC_FIREFLY_VICON_ROOM1,SOURCE_SELECTION,EUROC,source_validation,EUROC,V1_01_easy,EUROC_FIREFLY_VICON_ROOM1,leave-trajectory-group-out source validation
EUROC_LGO_EUROC_FIREFLY_VICON_ROOM1,SOURCE_SELECTION,EUROC,source_validation,EUROC,V1_02_medium,EUROC_FIREFLY_VICON_ROOM1,leave-trajectory-group-out source validation
EUROC_LGO_EUROC_FIREFLY_VICON_ROOM1,SOURCE_SELECTION,EUROC,source_validation,EUROC,V1_03_difficult,EUROC_FIREFLY_VICON_ROOM1,leave-trajectory-group-out source validation
EUROC_LGO_EUROC_FIREFLY_VICON_ROOM1,SOURCE_SELECTION,EUROC,source_train,EUROC,V2_01_easy,EUROC_FIREFLY_VICON_ROOM2,leave-trajectory-group-out source validation
EUROC_LGO_EUROC_FIREFLY_VICON_ROOM1,SOURCE_SELECTION,EUROC,source_train,EUROC,V2_02_medium,EUROC_FIREFLY_VICON_ROOM2,leave-trajectory-group-out source validation
EUROC_LGO_EUROC_FIREFLY_VICON_ROOM1,SOURCE_SELECTION,EUROC,source_train,EUROC,V2_03_difficult,EUROC_FIREFLY_VICON_ROOM2,leave-trajectory-group-out source validation
EUROC_LGO_EUROC_FIREFLY_VICON_ROOM2,SOURCE_SELECTION,EUROC,source_train,EUROC,V1_01_easy,EUROC_FIREFLY_VICON_ROOM1,leave-trajectory-group-out source validation
EUROC_LGO_EUROC_FIREFLY_VICON_ROOM2,SOURCE_SELECTION,EUROC,source_train,EUROC,V1_02_medium,EUROC_FIREFLY_VICON_ROOM1,leave-trajectory-group-out source validation
EUROC_LGO_EUROC_FIREFLY_VICON_ROOM2,SOURCE_SELECTION,EUROC,source_train,EUROC,V1_03_difficult,EUROC_FIREFLY_VICON_ROOM1,leave-trajectory-group-out source validation
EUROC_LGO_EUROC_FIREFLY_VICON_ROOM2,SOURCE_SELECTION,EUROC,source_validation,EUROC,V2_01_easy,EUROC_FIREFLY_VICON_ROOM2,leave-trajectory-group-out source validation
EUROC_LGO_EUROC_FIREFLY_VICON_ROOM2,SOURCE_SELECTION,EUROC,source_validation,EUROC,V2_02_medium,EUROC_FIREFLY_VICON_ROOM2,leave-trajectory-group-out source validation
EUROC_LGO_EUROC_FIREFLY_VICON_ROOM2,SOURCE_SELECTION,EUROC,source_validation,EUROC,V2_03_difficult,EUROC_FIREFLY_VICON_ROOM2,leave-trajectory-group-out source validation
UZH_FPV_LGO_indoor_forward,SOURCE_SELECTION,UZH_FPV,source_validation,UZH_FPV,indoor_forward_6_snapdragon,indoor_forward,leave-trajectory-group-out source validation
UZH_FPV_LGO_indoor_forward,SOURCE_SELECTION,UZH_FPV,source_validation,UZH_FPV,indoor_forward_9_snapdragon,indoor_forward,leave-trajectory-group-out source validation
UZH_FPV_LGO_indoor_forward,SOURCE_SELECTION,UZH_FPV,source_validation,UZH_FPV,indoor_forward_10_snapdragon,indoor_forward,leave-trajectory-group-out source validation
UZH_FPV_LGO_indoor_forward,SOURCE_SELECTION,UZH_FPV,source_train,UZH_FPV,indoor_45_2_snapdragon,indoor_45,leave-trajectory-group-out source validation
UZH_FPV_LGO_indoor_forward,SOURCE_SELECTION,UZH_FPV,source_train,UZH_FPV,indoor_45_4_snapdragon,indoor_45,leave-trajectory-group-out source validation
UZH_FPV_LGO_indoor_forward,SOURCE_SELECTION,UZH_FPV,source_train,UZH_FPV,indoor_45_13_snapdragon,indoor_45,leave-trajectory-group-out source validation
UZH_FPV_LGO_indoor_forward,SOURCE_SELECTION,UZH_FPV,source_train,UZH_FPV,indoor_45_14_snapdragon,indoor_45,leave-trajectory-group-out source validation
UZH_FPV_LGO_indoor_forward,SOURCE_SELECTION,UZH_FPV,source_train,UZH_FPV,outdoor_forward_1_snapdragon,outdoor_forward,leave-trajectory-group-out source validation
UZH_FPV_LGO_indoor_45,SOURCE_SELECTION,UZH_FPV,source_train,UZH_FPV,indoor_forward_6_snapdragon,indoor_forward,leave-trajectory-group-out source validation
UZH_FPV_LGO_indoor_45,SOURCE_SELECTION,UZH_FPV,source_train,UZH_FPV,indoor_forward_9_snapdragon,indoor_forward,leave-trajectory-group-out source validation
UZH_FPV_LGO_indoor_45,SOURCE_SELECTION,UZH_FPV,source_train,UZH_FPV,indoor_forward_10_snapdragon,indoor_forward,leave-trajectory-group-out source validation
UZH_FPV_LGO_indoor_45,SOURCE_SELECTION,UZH_FPV,source_validation,UZH_FPV,indoor_45_2_snapdragon,indoor_45,leave-trajectory-group-out source validation
UZH_FPV_LGO_indoor_45,SOURCE_SELECTION,UZH_FPV,source_validation,UZH_FPV,indoor_45_4_snapdragon,indoor_45,leave-trajectory-group-out source validation
UZH_FPV_LGO_indoor_45,SOURCE_SELECTION,UZH_FPV,source_validation,UZH_FPV,indoor_45_13_snapdragon,indoor_45,leave-trajectory-group-out source validation
UZH_FPV_LGO_indoor_45,SOURCE_SELECTION,UZH_FPV,source_validation,UZH_FPV,indoor_45_14_snapdragon,indoor_45,leave-trajectory-group-out source validation
UZH_FPV_LGO_indoor_45,SOURCE_SELECTION,UZH_FPV,source_train,UZH_FPV,outdoor_forward_1_snapdragon,outdoor_forward,leave-trajectory-group-out source validation
