dataset,sequence_id,native_accel_fields,native_gyro_fields,q_f_unit,q_w_unit,q_f_min,q_f_p01,q_f_median,q_f_mean,q_f_std,q_f_p99,q_f_max,q_w_min,q_w_p01,q_w_median,q_w_mean,q_w_std,q_w_p99,q_w_max,finite_fraction,near_constant_qf,near_constant_qw,notes
EUROC,V1_01_easy,"a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]","w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1]",m/s^2,rad/s,4.0151915,6.700154039,9.80810046,9.801220422,1.27728525,12.87985073,17.00612992,0.00636028249,0.0393196831,0.2305230453,0.2828280248,0.1832703816,0.7298501459,0.9381934234,1,False,False,q_f=accelerometer specific-force magnitude; q_w=angular-speed magnitude; no mean/gravity subtraction
EUROC,V1_02_medium,"a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]","w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1]",m/s^2,rad/s,4.337287459,6.195080124,9.856679314,9.882164354,1.505067605,13.47070134,19.92898692,0.01207182561,0.06423475528,0.5115421588,0.5576110595,0.3459566144,1.423734759,2.473443276,1,False,False,q_f=accelerometer specific-force magnitude; q_w=angular-speed magnitude; no mean/gravity subtraction
EUROC,V1_03_difficult,"a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]","w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1]",m/s^2,rad/s,2.307429933,5.345076139,9.850199703,9.949729075,2.024752431,14.65491077,17.5780022,0.005082475499,0.05477411407,0.5759264949,0.6227706125,0.4163531341,1.633466962,2.21075515,1,False,False,q_f=accelerometer specific-force magnitude; q_w=angular-speed magnitude; no mean/gravity subtraction
EUROC,V2_01_easy,"a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]","w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1]",m/s^2,rad/s,1.482146634,6.651329988,9.790024191,9.812850252,1.454914196,13.23238237,35.25942353,0.008885765876,0.04622923503,0.2275582738,0.2823452566,0.1883134485,0.7727944193,1.883841355,1,False,False,q_f=accelerometer specific-force magnitude; q_w=angular-speed magnitude; no mean/gravity subtraction
EUROC,V2_02_medium,"a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]","w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1]",m/s^2,rad/s,3.033166619,6.391789931,9.865267043,9.905589195,1.496995746,13.55132349,22.78180253,0.01207182561,0.05990389008,0.5419546076,0.5855704019,0.3778621469,1.586927455,2.236442756,1,False,False,q_f=accelerometer specific-force magnitude; q_w=angular-speed magnitude; no mean/gravity subtraction
EUROC,V2_03_difficult,"a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]","w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1]",m/s^2,rad/s,2.269300271,6.400829402,9.865263659,9.906238803,1.537792563,13.56779786,32.84384502,0.002094395102,0.06763483918,0.6287109116,0.6571361579,0.3987023386,1.681961975,2.233270279,1,False,False,q_f=accelerometer specific-force magnitude; q_w=angular-speed magnitude; no mean/gravity subtraction
UZH_FPV,indoor_forward_6_snapdragon,"lin_acc_x,lin_acc_y,lin_acc_z","ang_vel_x,ang_vel_y,ang_vel_z",m/s^2,rad/s,0.3903042767,3.543210247,10.33250258,12.26681174,5.703664091,26.72674817,166.6093961,0.001065264456,0.004392197871,0.6739732413,0.9839477648,1.025206928,4.056572414,11.08577173,1,False,False,q_f=accelerometer specific-force magnitude; q_w=angular-speed magnitude; no mean/gravity subtraction
UZH_FPV,indoor_forward_9_snapdragon,"lin_acc_x,lin_acc_y,lin_acc_z","ang_vel_x,ang_vel_y,ang_vel_z",m/s^2,rad/s,0.5282647424,4.181031159,10.11560131,11.24154116,3.51176588,20.06773099,28.44651122,0.001065264456,0.006026045765,0.5379801625,0.6704321708,0.5809313611,2.3959277,3.361430579,1,False,False,q_f=accelerometer specific-force magnitude; q_w=angular-speed magnitude; no mean/gravity subtraction
UZH_FPV,indoor_forward_10_snapdragon,"lin_acc_x,lin_acc_y,lin_acc_z","ang_vel_x,ang_vel_y,ang_vel_z",m/s^2,rad/s,0.2922480553,4.218699682,10.06365718,11.23191858,3.43710893,20.21758388,34.54779361,0.001506511441,0.005431804248,0.5428146716,0.6655079099,0.6121310027,2.527074599,3.33077812,1,False,False,q_f=accelerometer specific-force magnitude; q_w=angular-speed magnitude; no mean/gravity subtraction
UZH_FPV,indoor_45_2_snapdragon,"lin_acc_x,lin_acc_y,lin_acc_z","ang_vel_x,ang_vel_y,ang_vel_z",m/s^2,rad/s,0.8488405656,4.59601831,10.09077874,10.70561475,3.646717397,19.16889694,104.9338927,0.003368661991,0.008387900714,0.6138604332,0.6591165455,0.510891852,2.060516335,5.203622259,1,False,False,q_f=accelerometer specific-force magnitude; q_w=angular-speed magnitude; no mean/gravity subtraction
