dataset,sequence_id,all_finite,strictly_monotonic,approx_100hz,effective_rate_hz,duration_s,enough_for_L100_H20,nonzero_qf_var,nonzero_qw_var,units_ok,hash_recorded,status,notes
EUROC,V1_01_easy,YES,YES,YES,99.99872002,144.5900001,YES,YES,YES,YES,YES,PASS,
EUROC,V1_02_medium,YES,YES,YES,100.00128,84.48999987,YES,YES,YES,YES,YES,PASS,
EUROC,V1_03_difficult,YES,YES,YES,100.00128,106.4899999,YES,YES,YES,YES,YES,PASS,
EUROC,V2_01_easy,YES,YES,YES,100.00128,112.9899999,YES,YES,YES,YES,YES,PASS,
EUROC,V2_02_medium,YES,YES,YES,100,116.44,YES,YES,YES,YES,YES,PASS,
EUROC,V2_03_difficult,YES,YES,YES,100,115.84,YES,YES,YES,YES,YES,PASS,
UZH_FPV,indoor_forward_6_snapdragon,YES,YES,YES,100.0000954,68.61999798,YES,YES,YES,YES,YES,PASS,
UZH_FPV,indoor_forward_9_snapdragon,YES,YES,YES,100.0000954,75.81999707,YES,YES,YES,YES,YES,PASS,
UZH_FPV,indoor_forward_10_snapdragon,YES,YES,YES,100.0000954,75.25999999,YES,YES,YES,YES,YES,PASS,
UZH_FPV,indoor_45_2_snapdragon,YES,YES,YES,100,73.67,YES,YES,YES,YES,YES,PASS,
UZH_FPV,indoor_45_4_snapdragon,YES,YES,YES,100,65.219998,YES,YES,YES,YES,YES,PASS,
UZH_FPV,indoor_45_13_snapdragon,YES,YES,YES,100,60.929997,YES,YES,YES,YES,YES,PASS,
UZH_FPV,indoor_45_14_snapdragon,YES,YES,YES,100,63.530004,YES,YES,YES,YES,YES,PASS,
UZH_FPV,outdoor_forward_1_snapdragon,YES,YES,YES,100,84.749999,YES,YES,YES,YES,YES,PASS,
