dataset,sequence_id,path,sha256,expected_sha256,status
EUROC,V1_01_easy,data\raw\euroc\extracted\V1_01_easy.zip,a920fe5b5e69a6ad19b32f1cfaf90ac2f59d45dfd1ca18cc9722e07684ba45fa,a920fe5b5e69a6ad19b32f1cfaf90ac2f59d45dfd1ca18cc9722e07684ba45fa,PASS
EUROC,V1_02_medium,data\raw\euroc\extracted\V1_02_medium.zip,0cf5d44baf7aac5d6d705dfb6c5abdd097139bc95aa252dc0c00c66d479ebfc2,0cf5d44baf7aac5d6d705dfb6c5abdd097139bc95aa252dc0c00c66d479ebfc2,PASS
EUROC,V1_03_difficult,data\raw\euroc\extracted\V1_03_difficult.zip,3a29beda3c9467dcab08bfa181ed924c3397c2bdb3a780baaef6eb12955d82a4,3a29beda3c9467dcab08bfa181ed924c3397c2bdb3a780baaef6eb12955d82a4,PASS
EUROC,V2_01_easy,data\raw\euroc\extracted\V2_01_easy.zip,06875e7591a883c7bfadc4604c41dce4837a475fe272e0337650141bc9530262,06875e7591a883c7bfadc4604c41dce4837a475fe272e0337650141bc9530262,PASS
EUROC,V2_02_medium,data\raw\euroc\extracted\V2_02_medium.zip,6bbaae64fa28d888533f8659284d5a7b4cd0278ec8f5d2548a919e296518edd2,6bbaae64fa28d888533f8659284d5a7b4cd0278ec8f5d2548a919e296518edd2,PASS
EUROC,V2_03_difficult,data\raw\euroc\extracted\V2_03_difficult.zip,98f78ae99e35a93af3f641c62d29d8826a63d013ffa89263a363ab03aab4ad7e,98f78ae99e35a93af3f641c62d29d8826a63d013ffa89263a363ab03aab4ad7e,PASS
UZH_FPV,indoor_forward_6_snapdragon,data\raw\uzh_fpv\sequences\indoor_forward_6_snapdragon_with_gt.zip,5da4d454c35b9b20d3566460d6f25f93b446d316eec05c828c861bf901c4f538,5da4d454c35b9b20d3566460d6f25f93b446d316eec05c828c861bf901c4f538,PASS
UZH_FPV,indoor_forward_9_snapdragon,data\raw\uzh_fpv\sequences\indoor_forward_9_snapdragon_with_gt.zip,42a75e19dbb0db485def9b93d9843caa9e7a999ded8ac7ecfd240cef68ecacda,42a75e19dbb0db485def9b93d9843caa9e7a999ded8ac7ecfd240cef68ecacda,PASS
UZH_FPV,indoor_forward_10_snapdragon,data\raw\uzh_fpv\sequences\indoor_forward_10_snapdragon_with_gt.zip,7273464b8f4e4ca9e449ea9177b31d50f24d2e527ee23b87dca00c37bb844d0e,7273464b8f4e4ca9e449ea9177b31d50f24d2e527ee23b87dca00c37bb844d0e,PASS
UZH_FPV,indoor_45_2_snapdragon,data\raw\uzh_fpv\sequences\indoor_45_2_snapdragon_with_gt.zip,894ec4687d9e6a1b27ed8c90ecc310595acca1b86ae418685842307caa1dbf24,894ec4687d9e6a1b27ed8c90ecc310595acca1b86ae418685842307caa1dbf24,PASS
UZH_FPV,indoor_45_4_snapdragon,data\raw\uzh_fpv\sequences\indoor_45_4_snapdragon_with_gt.zip,13e681da667816808192852620d189fec9101535bc6a4426f9df8cfe6bfd35f6,13e681da667816808192852620d189fec9101535bc6a4426f9df8cfe6bfd35f6,PASS
UZH_FPV,indoor_45_13_snapdragon,data\raw\uzh_fpv\sequences\indoor_45_13_snapdragon_with_gt.zip,795a9cea2081812b2854c583ef51ab6c11c18c536f48b9c19cc423c58ec9c77b,795a9cea2081812b2854c583ef51ab6c11c18c536f48b9c19cc423c58ec9c77b,PASS
UZH_FPV,indoor_45_14_snapdragon,data\raw\uzh_fpv\sequences\indoor_45_14_snapdragon_with_gt.zip,6fbfd7ec1111b9eb1963bac87eab8846d5af27912b5ace578fe4b242b641be3a,6fbfd7ec1111b9eb1963bac87eab8846d5af27912b5ace578fe4b242b641be3a,PASS
UZH_FPV,outdoor_forward_1_snapdragon,data\raw\uzh_fpv\sequences\outdoor_forward_1_snapdragon_with_gt.zip,6f1ef782f301d8df56996add227dfed10c17dfdbc200024164d59a1fad9f7835,6f1ef782f301d8df56996add227dfed10c17dfdbc200024164d59a1fad9f7835,PASS
