dataset,sequence_id,native_rate_hz,decimation_factor,output_rate_hz,filter_name,warmup_removed_s,original_samples,processed_samples,first_processed_timestamp,last_processed_timestamp,timestamp_monotonic,effective_rate_hz,max_rate_deviation,notes
EUROC,V1_01_easy,200,2,100,ellip_sos_order6_fs200,1,29120,14460,1,145.5900001,True,99.99872002,0.001279983347,causal sosfilt then integer stride; no interpolation; design_fs=200.0; measured_native_median_hz=200.0025600325937
EUROC,V1_02_medium,200,2,100,ellip_sos_order6_fs200,1,17100,8450,1,85.48999987,True,100.00128,0.001280016297,causal sosfilt then integer stride; no interpolation; design_fs=200.0; measured_native_median_hz=200.0025600327358
EUROC,V1_03_difficult,200,2,100,ellip_sos_order6_fs200,1,21500,10650,1,107.4899999,True,100.00128,0.001280016297,causal sosfilt then integer stride; no interpolation; design_fs=200.0; measured_native_median_hz=200.0025600325937
EUROC,V2_01_easy,200,2,100,ellip_sos_order6_fs200,1,22800,11300,1,113.9899999,True,100.00128,0.001280016297,causal sosfilt then integer stride; no interpolation; design_fs=200.0; measured_native_median_hz=200.0025600325937
EUROC,V2_02_medium,200,2,100,ellip_sos_order6_fs200,1,23490,11645,1,117.44,True,100,1.9895196601282805e-11,causal sosfilt then integer stride; no interpolation; design_fs=200.0; measured_native_median_hz=200.0025600325937
EUROC,V2_03_difficult,200,2,100,ellip_sos_order6_fs200,1,23370,11585,1,116.84,True,100,1.9895196601282805e-11,causal sosfilt then integer stride; no interpolation; design_fs=200.0; measured_native_median_hz=200.0025600325937
UZH_FPV,indoor_forward_6_snapdragon,500,5,100,ellip_sos_order6_fs500,1,34815,6863,1540821359,1540821428,True,100.0000954,9.536752259009518e-05,causal sosfilt then integer stride; no interpolation; design_fs=500.0; measured_native_median_hz=500.0362422508345
UZH_FPV,indoor_forward_9_snapdragon,500,5,100,ellip_sos_order6_fs500,1,38418,7583,1540822817,1540822893,True,100.0000954,9.536752259009518e-05,causal sosfilt then integer stride; no interpolation; design_fs=500.0; measured_native_median_hz=500.0362422508345
UZH_FPV,indoor_forward_10_snapdragon,500,5,100,ellip_sos_order6_fs500,1,38137,7527,1540823053,1540823128,True,100.0000954,9.536752259009518e-05,causal sosfilt then integer stride; no interpolation; design_fs=500.0; measured_native_median_hz=500.0362422508345
UZH_FPV,indoor_45_2_snapdragon,500,5,100,ellip_sos_order6_fs500,1,37339,7368,1399.501544,1473.171544,True,100,9.094947017729282e-11,causal sosfilt then integer stride; no interpolation; design_fs=500.0; measured_native_median_hz=500.00000001182343
UZH_FPV,indoor_45_4_snapdragon,500,5,100,ellip_sos_order6_fs500,1,33114,6523,1791.155536,1856.375534,True,100,9.094947017729282e-11,causal sosfilt then integer stride; no interpolation; design_fs=500.0; measured_native_median_hz=500.00000001182343
UZH_FPV,indoor_45_13_snapdragon,500,5,100,ellip_sos_order6_fs500,1,30969,6094,801.324308,862.254305,True,100,9.094947017729282e-11,causal sosfilt then integer stride; no interpolation; design_fs=500.0; measured_native_median_hz=500.00000001182343
UZH_FPV,indoor_45_14_snapdragon,500,5,100,ellip_sos_order6_fs500,1,32269,6354,930.546298,994.076302,True,100,9.094947017729282e-11,causal sosfilt then integer stride; no interpolation; design_fs=500.0; measured_native_median_hz=500.00000001182343
UZH_FPV,outdoor_forward_1_snapdragon,500,5,100,ellip_sos_order6_fs500,1,42878,8476,524.077221,608.82722,True,100,9.094947017729282e-11,causal sosfilt then integer stride; no interpolation; design_fs=500.0; measured_native_median_hz=500.00000001182343
