evaluation_context,model,n_sequences,mean_sequence_rmse,bootstrap_ci_low,bootstrap_ci_high,median_sequence_rmse,mean_sequence_mae,mean_rmse_50ms,mean_rmse_100ms,mean_rmse_200ms,mean_persistence_skill,wins_vs_persistence,losses_vs_persistence,ties_vs_persistence
WITHIN_EUROC,B0_PERSISTENCE,6,0.9169911033,0.7430420201,1.069425462,0.9398922646,0.6233054672,0.7514938847,0.9113984732,1.078228258,,,,
WITHIN_EUROC,B1_LINEAR,6,1.618739234,1.21768421,2.041436478,1.505360323,0.9095440115,0.9842228387,1.482059952,2.415794936,-0.7301106812,0,6,0
WITHIN_EUROC,B2_RIDGE_QF,6,0.7315311168,0.5866688279,0.8528435886,0.7562011497,0.4856719567,0.6455507362,0.7577888155,0.8205489334,0.2038916466,6,0,0
WITHIN_EUROC,B3_RIDGE_QF_QW,6,0.7282562381,0.5826420992,0.8505713845,0.752546216,0.4849245309,0.6428683595,0.7532032069,0.8165876144,0.2078336721,6,0,0
WITHIN_UZH,B0_PERSISTENCE,8,2.349272909,1.637558288,3.053113425,2.517487345,0.7650172541,2.03828528,2.513596044,2.654521275,,,,
WITHIN_UZH,B1_LINEAR,8,5.167353505,3.352773258,6.899365569,5.667871695,1.311226337,3.151231373,4.76685033,7.553936476,-1.093326729,0,8,0
WITHIN_UZH,B2_RIDGE_QF,8,1.980777904,1.428471346,2.568802529,1.999612621,0.8501297322,1.873728059,2.129498307,2.195625135,0.1214898778,6,2,0
WITHIN_UZH,B3_RIDGE_QF_QW,8,1.943140653,1.377703104,2.526564833,2.017822357,0.7894036355,1.833155396,2.094722431,2.148913811,0.1512481689,7,1,0
EUROC_TO_UZH,B0_PERSISTENCE,8,2.349272909,1.637558288,3.053113425,2.517487345,0.7650172541,2.03828528,2.513596044,2.654521275,,,,
EUROC_TO_UZH,B1_LINEAR,8,5.167353505,3.352773258,6.899365569,5.667871695,1.311226337,3.151231373,4.76685033,7.553936476,-1.093326729,0,8,0
EUROC_TO_UZH,B2_RIDGE_QF,8,2.10614519,1.52377709,2.746009129,2.097820996,0.8996549491,1.866358022,2.240906736,2.415045058,0.05874680072,6,2,0
EUROC_TO_UZH,B3_RIDGE_QF_QW,8,2.065149757,1.483872022,2.698028464,2.070729149,0.8725399421,1.844444743,2.205469264,2.369796135,0.08299011785,6,2,0
UZH_TO_EUROC,B0_PERSISTENCE,6,0.9169911033,0.7430420201,1.069425462,0.9398922646,0.6233054672,0.7514938847,0.9113984732,1.078228258,,,,
UZH_TO_EUROC,B1_LINEAR,6,1.618739234,1.21768421,2.041436478,1.505360323,0.9095440115,0.9842228387,1.482059952,2.415794936,-0.7301106812,0,6,0
UZH_TO_EUROC,B2_RIDGE_QF,6,0.8153206077,0.6622252219,0.932407026,0.8575961473,0.5699065357,0.7176834541,0.8158647328,0.8909850288,0.1078886012,6,0,0
UZH_TO_EUROC,B3_RIDGE_QF_QW,6,0.8308037721,0.7027188672,0.936093192,0.8847091132,0.6026470568,0.6972309372,0.834738248,0.9201507289,0.08412184696,6,0,0
