evaluation_context,model,n_sequences,mean,ci_low,ci_high,median,std,min,max
WITHIN_EUROC,B0_PERSISTENCE,6,0.9169911033,0.7430420201,1.069425462,0.9398922646,0.2258150013,0.5639882678,1.135551303
WITHIN_EUROC,B1_LINEAR,6,1.618739234,1.21768421,2.041436478,1.505360323,0.5842336,0.9052008767,2.444157541
WITHIN_EUROC,B2_RIDGE_QF,6,0.7315311168,0.5866688279,0.8528435886,0.7562011497,0.1840254711,0.4294303504,0.9071105827
WITHIN_EUROC,B3_RIDGE_QF_QW,6,0.7282562381,0.5826420992,0.8505713845,0.752546216,0.184941955,0.4282225119,0.9015393238
WITHIN_UZH,B0_PERSISTENCE,8,2.349272909,1.637558288,3.053113425,2.517487345,1.087459182,0.7614361482,4.075000184
WITHIN_UZH,B1_LINEAR,8,5.167353505,3.352773258,6.899365569,5.667871695,2.734707173,1.196040506,9.097258821
WITHIN_UZH,B2_RIDGE_QF,8,1.980777904,1.428471346,2.568802529,1.999612621,0.8780798079,0.8480617146,3.560772554
WITHIN_UZH,B3_RIDGE_QF_QW,8,1.943140653,1.377703104,2.526564833,2.017822357,0.8847530925,0.767715293,3.481177485
EUROC_TO_UZH,B0_PERSISTENCE,8,2.349272909,1.637558288,3.053113425,2.517487345,1.087459182,0.7614361482,4.075000184
EUROC_TO_UZH,B1_LINEAR,8,5.167353505,3.352773258,6.899365569,5.667871695,2.734707173,1.196040506,9.097258821
EUROC_TO_UZH,B2_RIDGE_QF,8,2.10614519,1.52377709,2.746009129,2.097820996,0.9462848648,0.9450039656,3.897489335
EUROC_TO_UZH,B3_RIDGE_QF_QW,8,2.065149757,1.483872022,2.698028464,2.070729149,0.936287096,0.8969342115,3.809991061
UZH_TO_EUROC,B0_PERSISTENCE,6,0.9169911033,0.7430420201,1.069425462,0.9398922646,0.2258150013,0.5639882678,1.135551303
UZH_TO_EUROC,B1_LINEAR,6,1.618739234,1.21768421,2.041436478,1.505360323,0.5842336,0.9052008767,2.444157541
UZH_TO_EUROC,B2_RIDGE_QF,6,0.8153206077,0.6622252219,0.932407026,0.8575961473,0.1870185043,0.4780778022,0.9832615128
UZH_TO_EUROC,B3_RIDGE_QF_QW,6,0.8308037721,0.7027188672,0.936093192,0.8847091132,0.1663243209,0.5410642188,0.9758729315
