dataset,sequence_id,q_f_min,q_f_p001,q_f_p01,q_f_p99,q_f_p999,q_f_max,timestamp_of_max,duration_above_30_mps2,duration_above_50_mps2,duration_above_100_mps2,q_w_at_qf_max,neighboring_values_consistent,possible_sensor_saturation,possible_single_sample_spike,raw_source_consistent,integrity_interpretation,action
EUROC,V1_01_easy,7.25100889,7.840495126,8.432019871,11.22074113,11.81347277,17.32048811,142.4900001,0,0,0,0.21872503,YES,NO,NO,YES,extreme values retained as observed specific-force magnitude; no clipping; not excluded for modelling,KEEP
EUROC,V1_02_medium,7.09130974,7.339772201,7.939585245,12.21513017,14.30629792,17.51144634,84.02,0,0,0,0.8307206132,YES,NO,NO,YES,extreme values retained as observed specific-force magnitude; no clipping; not excluded for modelling,KEEP
EUROC,V1_03_difficult,5.740123224,7.082806493,7.957188504,12.52466606,13.46427521,14.30360722,73.18999987,0,0,0,0.9512173826,YES,NO,NO,YES,extreme values retained as observed specific-force magnitude; no clipping; not excluded for modelling,KEEP
EUROC,V2_01_easy,1.726700428,5.571136392,7.877351884,12.02902458,16.4145772,33.45906044,108.6299999,0.019999744,0,0,0.9683339273,YES,NO,NO,YES,extreme values retained as observed specific-force magnitude; no clipping; not excluded for modelling,KEEP
EUROC,V2_02_medium,5.042636577,6.197355919,7.59699744,12.51531703,14.12001088,20.93443043,114.3900001,0,0,0,0.9490539192,YES,NO,NO,YES,extreme values retained as observed specific-force magnitude; no clipping; not excluded for modelling,KEEP
EUROC,V2_03_difficult,3.951824638,5.667115956,7.747376315,12.56436319,14.18557534,30.13880906,114.4700001,0.02,0,0,0.6137146528,YES,NO,NO,YES,extreme values retained as observed specific-force magnitude; no clipping; not excluded for modelling,KEEP
UZH_FPV,indoor_forward_6_snapdragon,2.51991132,4.362862635,6.09128851,22.17223206,54.65102787,107.7484317,1540821427,0.3699996471,0.1199998856,0.01999998093,4.42246807,YES,NO,NO,YES,extreme values retained as observed specific-force magnitude; no clipping; not excluded for modelling,KEEP
UZH_FPV,indoor_forward_9_snapdragon,4.791953623,4.927640701,6.502174706,13.37539795,14.09185109,15.27317799,1540822878,0,0,0,1.97720044,YES,NO,NO,YES,extreme values retained as observed specific-force magnitude; no clipping; not excluded for modelling,KEEP
UZH_FPV,indoor_forward_10_snapdragon,3.631765001,4.520188883,6.481942793,15.18590546,16.99252583,26.87051094,1540823126,0,0,0,1.331013351,YES,NO,NO,YES,extreme values retained as observed specific-force magnitude; no clipping; not excluded for modelling,KEEP
UZH_FPV,indoor_45_2_snapdragon,1.802682367,3.793745955,7.297294158,13.46714317,48.87091743,63.26524468,1470.711541,0.21,0.07,0,4.134338343,YES,NO,NO,YES,extreme values retained as observed specific-force magnitude; no clipping; not excluded for modelling,KEEP
UZH_FPV,indoor_45_4_snapdragon,0.8276604732,1.436328675,6.79806318,11.7174343,55.75830508,68.96564997,1853.765537,0.24,0.12,0,5.93952864,YES,NO,NO,YES,extreme values retained as observed specific-force magnitude; no clipping; not excluded for modelling,KEEP
UZH_FPV,indoor_45_13_snapdragon,2.443983604,3.16491237,7.14045989,12.7700448,41.25741302,57.49577598,860.134303,0.11,0.03,0,3.297481423,YES,NO,NO,YES,extreme values retained as observed specific-force magnitude; no clipping; not excluded for modelling,KEEP
UZH_FPV,indoor_45_14_snapdragon,1.971142452,4.054658594,5.903303705,17.89867099,42.41766783,70.72357362,990.666301,0.2,0.03,0,3.230149609,YES,NO,NO,YES,extreme values retained as observed specific-force magnitude; no clipping; not excluded for modelling,KEEP
UZH_FPV,outdoor_forward_1_snapdragon,2.479675714,4.37136673,5.677658248,12.74649409,30.39517913,60.22120425,604.427222,0.09,0.03,0,3.256883874,PARTIAL,NO,NO,YES,extreme values retained as observed specific-force magnitude; no clipping; not excluded for modelling,KEEP
