object,object_type,fit_dataset,fit_sequences,fit_purpose,evaluation_context
B2_RIDGE_QF_lag10_alpha1e-06_valgrp_EUROC_FIREFLY_VICON_ROOM1,Ridge+SourceStandardScaler,EUROC,"V2_01_easy,V2_02_medium,V2_03_difficult",source_validation_selection,WITHIN_EUROC
B2_RIDGE_QF_lag10_alpha1e-06_valgrp_EUROC_FIREFLY_VICON_ROOM2,Ridge+SourceStandardScaler,EUROC,"V1_02_medium,V1_03_difficult",source_validation_selection,WITHIN_EUROC
B2_RIDGE_QF_lag10_alpha0.0001_valgrp_EUROC_FIREFLY_VICON_ROOM1,Ridge+SourceStandardScaler,EUROC,"V2_01_easy,V2_02_medium,V2_03_difficult",source_validation_selection,WITHIN_EUROC
B2_RIDGE_QF_lag10_alpha0.0001_valgrp_EUROC_FIREFLY_VICON_ROOM2,Ridge+SourceStandardScaler,EUROC,"V1_02_medium,V1_03_difficult",source_validation_selection,WITHIN_EUROC
B2_RIDGE_QF_lag10_alpha0.01_valgrp_EUROC_FIREFLY_VICON_ROOM1,Ridge+SourceStandardScaler,EUROC,"V2_01_easy,V2_02_medium,V2_03_difficult",source_validation_selection,WITHIN_EUROC
B2_RIDGE_QF_lag10_alpha0.01_valgrp_EUROC_FIREFLY_VICON_ROOM2,Ridge+SourceStandardScaler,EUROC,"V1_02_medium,V1_03_difficult",source_validation_selection,WITHIN_EUROC
B2_RIDGE_QF_lag10_alpha1.0_valgrp_EUROC_FIREFLY_VICON_ROOM1,Ridge+SourceStandardScaler,EUROC,"V2_01_easy,V2_02_medium,V2_03_difficult",source_validation_selection,WITHIN_EUROC
B2_RIDGE_QF_lag10_alpha1.0_valgrp_EUROC_FIREFLY_VICON_ROOM2,Ridge+SourceStandardScaler,EUROC,"V1_02_medium,V1_03_difficult",source_validation_selection,WITHIN_EUROC
B2_RIDGE_QF_lag10_alpha100.0_valgrp_EUROC_FIREFLY_VICON_ROOM1,Ridge+SourceStandardScaler,EUROC,"V2_01_easy,V2_02_medium,V2_03_difficult",source_validation_selection,WITHIN_EUROC
B2_RIDGE_QF_lag10_alpha100.0_valgrp_EUROC_FIREFLY_VICON_ROOM2,Ridge+SourceStandardScaler,EUROC,"V1_02_medium,V1_03_difficult",source_validation_selection,WITHIN_EUROC
B2_RIDGE_QF_lag25_alpha1e-06_valgrp_EUROC_FIREFLY_VICON_ROOM1,Ridge+SourceStandardScaler,EUROC,"V2_01_easy,V2_02_medium,V2_03_difficult",source_validation_selection,WITHIN_EUROC
B2_RIDGE_QF_lag25_alpha1e-06_valgrp_EUROC_FIREFLY_VICON_ROOM2,Ridge+SourceStandardScaler,EUROC,"V1_02_medium,V1_03_difficult",source_validation_selection,WITHIN_EUROC
B2_RIDGE_QF_lag25_alpha0.0001_valgrp_EUROC_FIREFLY_VICON_ROOM1,Ridge+SourceStandardScaler,EUROC,"V2_01_easy,V2_02_medium,V2_03_difficult",source_validation_selection,WITHIN_EUROC
