evaluation_context,dataset,sequence_id,model,rmse_all,rmse_high_p95_targets,p95_threshold,notes
WITHIN_EUROC,EUROC,V1_01_easy,B0_PERSISTENCE,0.5639882678,1.037209219,10.59911164,secondary descriptive; training unchanged
WITHIN_EUROC,EUROC,V1_01_easy,B1_LINEAR,0.9052008767,1.356709186,10.59911164,secondary descriptive; training unchanged
WITHIN_EUROC,EUROC,V1_01_easy,B2_RIDGE_QF,0.4294303504,0.9599014224,10.59911164,secondary descriptive; training unchanged
WITHIN_EUROC,EUROC,V1_01_easy,B3_RIDGE_QF_QW,0.4282225119,0.9943174561,10.59911164,secondary descriptive; training unchanged
UZH_TO_EUROC,EUROC,V1_01_easy,B0_PERSISTENCE,0.5639882678,1.037209219,10.59911164,secondary descriptive; training unchanged
UZH_TO_EUROC,EUROC,V1_01_easy,B1_LINEAR,0.9052008767,1.356709186,10.59911164,secondary descriptive; training unchanged
UZH_TO_EUROC,EUROC,V1_01_easy,B2_RIDGE_QF,0.4780778022,1.06280083,10.59911164,secondary descriptive; training unchanged
UZH_TO_EUROC,EUROC,V1_01_easy,B3_RIDGE_QF_QW,0.5410642188,1.304069976,10.59911164,secondary descriptive; training unchanged
WITHIN_EUROC,EUROC,V1_02_medium,B0_PERSISTENCE,0.7925081888,1.439169732,11.30093467,secondary descriptive; training unchanged
WITHIN_EUROC,EUROC,V1_02_medium,B1_LINEAR,1.242491429,1.885036163,11.30093467,secondary descriptive; training unchanged
WITHIN_EUROC,EUROC,V1_02_medium,B2_RIDGE_QF,0.645024435,1.596299318,11.30093467,secondary descriptive; training unchanged
WITHIN_EUROC,EUROC,V1_02_medium,B3_RIDGE_QF_QW,0.637054547,1.527730595,11.30093467,secondary descriptive; training unchanged
UZH_TO_EUROC,EUROC,V1_02_medium,B0_PERSISTENCE,0.7925081888,1.439169732,11.30093467,secondary descriptive; training unchanged
UZH_TO_EUROC,EUROC,V1_02_medium,B1_LINEAR,1.242491429,1.885036163,11.30093467,secondary descriptive; training unchanged
UZH_TO_EUROC,EUROC,V1_02_medium,B2_RIDGE_QF,0.768528348,1.789836877,11.30093467,secondary descriptive; training unchanged
UZH_TO_EUROC,EUROC,V1_02_medium,B3_RIDGE_QF_QW,0.7507697247,1.611410403,11.30093467,secondary descriptive; training unchanged
