evaluation_context,model,horizon_index,horizon_ms,equal_sequence_mean_rmse
WITHIN_EUROC,B0_PERSISTENCE,1,10,0.4938250223
WITHIN_EUROC,B0_PERSISTENCE,2,20,0.7773272208
WITHIN_EUROC,B0_PERSISTENCE,3,30,0.811504833
WITHIN_EUROC,B0_PERSISTENCE,4,40,0.7575635961
WITHIN_EUROC,B0_PERSISTENCE,5,50,0.7514938847
WITHIN_EUROC,B0_PERSISTENCE,6,60,0.7812461404
WITHIN_EUROC,B0_PERSISTENCE,7,70,0.8396718193
WITHIN_EUROC,B0_PERSISTENCE,8,80,0.9061495221
WITHIN_EUROC,B0_PERSISTENCE,9,90,0.9296788064
WITHIN_EUROC,B0_PERSISTENCE,10,100,0.9113984732
WITHIN_EUROC,B0_PERSISTENCE,11,110,0.9227102095
WITHIN_EUROC,B0_PERSISTENCE,12,120,0.9667428941
WITHIN_EUROC,B0_PERSISTENCE,13,130,0.9852100451
WITHIN_EUROC,B0_PERSISTENCE,14,140,0.9911915153
WITHIN_EUROC,B0_PERSISTENCE,15,150,1.004233688
WITHIN_EUROC,B0_PERSISTENCE,16,160,1.022387904
WITHIN_EUROC,B0_PERSISTENCE,17,170,1.043837376
WITHIN_EUROC,B0_PERSISTENCE,18,180,1.057135146
WITHIN_EUROC,B0_PERSISTENCE,19,190,1.067042637
WITHIN_EUROC,B0_PERSISTENCE,20,200,1.078228258
WITHIN_EUROC,B1_LINEAR,1,10,0.641712989
WITHIN_EUROC,B1_LINEAR,2,20,0.805294697
WITHIN_EUROC,B1_LINEAR,3,30,0.8546604523
WITHIN_EUROC,B1_LINEAR,4,40,0.8958292159
WITHIN_EUROC,B1_LINEAR,5,50,0.9842228387
WITHIN_EUROC,B1_LINEAR,6,60,1.094235055
WITHIN_EUROC,B1_LINEAR,7,70,1.215412731
WITHIN_EUROC,B1_LINEAR,8,80,1.327673526
WITHIN_EUROC,B1_LINEAR,9,90,1.411168109
WITHIN_EUROC,B1_LINEAR,10,100,1.482059952
WITHIN_EUROC,B1_LINEAR,11,110,1.574545342
WITHIN_EUROC,B1_LINEAR,12,120,1.675754185
WITHIN_EUROC,B1_LINEAR,13,130,1.760643635
WITHIN_EUROC,B1_LINEAR,14,140,1.842324934
WITHIN_EUROC,B1_LINEAR,15,150,1.925665277
WITHIN_EUROC,B1_LINEAR,16,160,2.014221085
WITHIN_EUROC,B1_LINEAR,17,170,2.116961023
WITHIN_EUROC,B1_LINEAR,18,180,2.222415887
WITHIN_EUROC,B1_LINEAR,19,190,2.320509685
WITHIN_EUROC,B1_LINEAR,20,200,2.415794936
WITHIN_EUROC,B2_RIDGE_QF,1,10,0.1680167139
WITHIN_EUROC,B2_RIDGE_QF,2,20,0.4879181363
WITHIN_EUROC,B2_RIDGE_QF,3,30,0.6483993998
WITHIN_EUROC,B2_RIDGE_QF,4,40,0.6502229234
WITHIN_EUROC,B2_RIDGE_QF,5,50,0.6455507362
WITHIN_EUROC,B2_RIDGE_QF,6,60,0.6802193254
WITHIN_EUROC,B2_RIDGE_QF,7,70,0.7276309048
WITHIN_EUROC,B2_RIDGE_QF,8,80,0.7409084542
WITHIN_EUROC,B2_RIDGE_QF,9,90,0.7535396875
WITHIN_EUROC,B2_RIDGE_QF,10,100,0.7577888155
WITHIN_EUROC,B2_RIDGE_QF,11,110,0.7682500771
WITHIN_EUROC,B2_RIDGE_QF,12,120,0.7912727333
WITHIN_EUROC,B2_RIDGE_QF,13,130,0.7992550249
WITHIN_EUROC,B2_RIDGE_QF,14,140,0.7932431717
WITHIN_EUROC,B2_RIDGE_QF,15,150,0.7900128994
WITHIN_EUROC,B2_RIDGE_QF,16,160,0.8062513248
WITHIN_EUROC,B2_RIDGE_QF,17,170,0.8280580948
WITHIN_EUROC,B2_RIDGE_QF,18,180,0.8245974191
WITHIN_EUROC,B2_RIDGE_QF,19,190,0.8179110292
WITHIN_EUROC,B2_RIDGE_QF,20,200,0.8205489334
WITHIN_EUROC,B3_RIDGE_QF_QW,1,10,0.1683134946
WITHIN_EUROC,B3_RIDGE_QF_QW,2,20,0.4886928081
WITHIN_EUROC,B3_RIDGE_QF_QW,3,30,0.649343355
WITHIN_EUROC,B3_RIDGE_QF_QW,4,40,0.6496449858
