evaluation_context,model,n_sequences,mean_delta,median_delta,bootstrap_ci_low,bootstrap_ci_high,wins,losses,ties,signflip_p,notes
WITHIN_EUROC,B1_LINEAR,6,0.7017481305,0.5729978801,0.449711362,0.9922780609,0,6,0,0.03125,exploratory; small n; not confirmatory
WITHIN_EUROC,B2_RIDGE_QF,6,-0.1854599865,-0.183691115,-0.2180754393,-0.1549721389,6,0,0,0.03125,exploratory; small n; not confirmatory
WITHIN_EUROC,B3_RIDGE_QF_QW,6,-0.1887348653,-0.1873460486,-0.2193387218,-0.157960321,6,0,0,0.03125,exploratory; small n; not confirmatory
WITHIN_UZH,B1_LINEAR,8,2.818080597,3.15038435,1.725570917,3.869393314,0,8,0,0.0078125,exploratory; small n; not confirmatory
WITHIN_UZH,B2_RIDGE_QF,8,-0.368495005,-0.5014171393,-0.5549699249,-0.1608817193,6,2,0,0.0234375,exploratory; small n; not confirmatory
WITHIN_UZH,B3_RIDGE_QF_QW,8,-0.4061322559,-0.4996649886,-0.5732354648,-0.2194526564,7,1,0,0.015625,exploratory; small n; not confirmatory
EUROC_TO_UZH,B1_LINEAR,8,2.818080597,3.15038435,1.725570917,3.869393314,0,8,0,0.0078125,exploratory; small n; not confirmatory
EUROC_TO_UZH,B2_RIDGE_QF,8,-0.2431277192,-0.2869767918,-0.4314002672,-0.04288634213,6,2,0,0.0703125,exploratory; small n; not confirmatory
EUROC_TO_UZH,B3_RIDGE_QF_QW,8,-0.2841231518,-0.3486653822,-0.4615039853,-0.09166829989,6,2,0,0.0390625,exploratory; small n; not confirmatory
UZH_TO_EUROC,B1_LINEAR,6,0.7017481305,0.5729978801,0.449711362,0.9922780609,0,6,0,0.03125,exploratory; small n; not confirmatory
UZH_TO_EUROC,B2_RIDGE_QF,6,-0.1016704956,-0.09023377831,-0.1496989939,-0.05568660322,6,0,0,0.03125,exploratory; small n; not confirmatory
UZH_TO_EUROC,B3_RIDGE_QF_QW,6,-0.08618733121,-0.06872166898,-0.1392986192,-0.03681281902,6,0,0,0.03125,exploratory; small n; not confirmatory
