dataset,sequence_id,n_processed,n_origins,sd_qf,persistence_rmse,persistence_rmse_over_sd,acf_10ms,acf_50ms,acf_100ms,acf_200ms,p95_qf
EUROC,V1_01_easy,14460,2868,0.4881944489,0.5639882678,1.15525334,0.7703870074,0.5471099615,0.393410418,0.1284264705,10.59911164
EUROC,V1_02_medium,8450,1666,0.8250880505,0.7925081888,0.9605134729,0.8960289752,0.7426597846,0.5765187082,0.234491293,11.30093467
EUROC,V1_03_difficult,10650,2106,0.8631028492,0.8383637495,0.97133702,0.8697319563,0.7232882202,0.5639566594,0.2743739348,11.48826622
EUROC,V2_01_easy,11300,2236,0.9000240362,1.130114331,1.255649056,0.7673715111,0.2862090273,0.07261615541,0.02242176031,10.98371699
EUROC,V2_02_medium,11645,2305,1.005276374,1.04142078,1.035954695,0.8428219963,0.6505552999,0.4572753894,0.2044274683,11.60218482
EUROC,V2_03_difficult,11585,2293,1.035358747,1.135551303,1.09677086,0.8475646258,0.5378280669,0.355939155,0.2311184789,11.58910389
UZH_FPV,indoor_forward_6_snapdragon,6863,1349,4.426155323,4.075000184,0.9206636203,0.947659211,0.6662083682,0.4645946623,0.3948027675,17.79954506
UZH_FPV,indoor_forward_9_snapdragon,7583,1493,1.351869581,0.7614361482,0.5632467503,0.9492153093,0.8897957951,0.851612354,0.7551157697,12.2869086
UZH_FPV,indoor_forward_10_snapdragon,7527,1482,1.537369004,0.94906914,0.6173333386,0.9624132458,0.8627458491,0.8387101305,0.7268498326,12.44105276
UZH_FPV,indoor_45_2_snapdragon,7368,1450,2.269839598,2.573046277,1.133580664,0.9384531527,0.5227455274,0.1922093719,0.25754083,11.07949287
UZH_FPV,indoor_45_4_snapdragon,6523,1281,2.662754379,3.160309351,1.186857255,0.942231544,0.4374740445,0.1544620051,0.06077702853,10.68103471
UZH_FPV,indoor_45_13_snapdragon,6094,1195,1.975187329,2.461928413,1.246427808,0.9157925565,0.4200715935,0.2057326186,0.1120416231,11.13201809
UZH_FPV,indoor_45_14_snapdragon,6354,1247,2.892488532,2.619887629,0.9057555805,0.9436326847,0.627490404,0.4979317989,0.4495327283,14.56003347
UZH_FPV,outdoor_forward_1_snapdragon,8476,1672,1.64494249,2.193506128,1.333484995,0.8737896755,0.3711275343,0.2192754754,0.2471238454,11.40654808
