evaluation_context,fold_id,model,dataset,lag,alpha,n_features,n_outputs,coef_norm,intercept_norm,n_windows,train_sequences,equal_sequence_weight_sums,config_hash,notes
WITHIN_EUROC,EUROC_LORO_01_V1_01_easy,B2_RIDGE_QF,EUROC,25,0.0001,25,20,24.76295785,44.24392083,10606,"V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult","{""V1_02_medium"": 0.1999999999999999, ""V1_03_difficult"": 0.20000000000000004, ""V2_01_easy"": 0.19999999999999998, ""V2_02_medium"": 0.2, ""V2_03_difficult"": 0.2}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_EUROC,EUROC_LORO_01_V1_01_easy,B3_RIDGE_QF_QW,EUROC,25,0.0001,50,20,25.147976,44.24392083,10606,"V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult","{""V1_02_medium"": 0.1999999999999999, ""V1_03_difficult"": 0.20000000000000004, ""V2_01_easy"": 0.19999999999999998, ""V2_02_medium"": 0.2, ""V2_03_difficult"": 0.2}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_EUROC,EUROC_LORO_02_V1_02_medium,B2_RIDGE_QF,EUROC,25,0.0001,25,20,23.32927993,44.16956896,11808,"V1_01_easy,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult","{""V1_01_easy"": 0.2, ""V1_03_difficult"": 0.20000000000000004, ""V2_01_easy"": 0.19999999999999998, ""V2_02_medium"": 0.2, ""V2_03_difficult"": 0.2}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_EUROC,EUROC_LORO_02_V1_02_medium,B3_RIDGE_QF_QW,EUROC,25,0.0001,50,20,23.7257249,44.16956896,11808,"V1_01_easy,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult","{""V1_01_easy"": 0.2, ""V1_03_difficult"": 0.20000000000000004, ""V2_01_easy"": 0.19999999999999998, ""V2_02_medium"": 0.2, ""V2_03_difficult"": 0.2}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_EUROC,EUROC_LORO_03_V1_03_difficult,B2_RIDGE_QF,EUROC,25,0.0001,25,20,23.33192134,44.10791786,11368,"V1_01_easy,V1_02_medium,V2_01_easy,V2_02_medium,V2_03_difficult","{""V1_01_easy"": 0.2, ""V1_02_medium"": 0.1999999999999999, ""V2_01_easy"": 0.19999999999999998, ""V2_02_medium"": 0.2, ""V2_03_difficult"": 0.2}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_EUROC,EUROC_LORO_03_V1_03_difficult,B3_RIDGE_QF_QW,EUROC,25,0.0001,50,20,23.77718329,44.10791786,11368,"V1_01_easy,V1_02_medium,V2_01_easy,V2_02_medium,V2_03_difficult","{""V1_01_easy"": 0.2, ""V1_02_medium"": 0.1999999999999999, ""V2_01_easy"": 0.19999999999999998, ""V2_02_medium"": 0.2, ""V2_03_difficult"": 0.2}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_EUROC,EUROC_LORO_04_V2_01_easy,B2_RIDGE_QF,EUROC,25,0.0001,25,20,22.07099083,44.23297181,11238,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_02_medium,V2_03_difficult","{""V1_01_easy"": 0.2, ""V1_02_medium"": 0.1999999999999999, ""V1_03_difficult"": 0.20000000000000004, ""V2_02_medium"": 0.2, ""V2_03_difficult"": 0.2}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_EUROC,EUROC_LORO_04_V2_01_easy,B3_RIDGE_QF_QW,EUROC,25,0.0001,50,20,22.26708008,44.23297181,11238,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_02_medium,V2_03_difficult","{""V1_01_easy"": 0.2, ""V1_02_medium"": 0.1999999999999999, ""V1_03_difficult"": 0.20000000000000004, ""V2_02_medium"": 0.2, ""V2_03_difficult"": 0.2}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_EUROC,EUROC_LORO_05_V2_02_medium,B2_RIDGE_QF,EUROC,25,0.0001,25,20,22.07836139,44.14853604,11169,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_03_difficult","{""V1_01_easy"": 0.2, ""V1_02_medium"": 0.1999999999999999, ""V1_03_difficult"": 0.20000000000000004, ""V2_01_easy"": 0.19999999999999998, ""V2_03_difficult"": 0.2}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_EUROC,EUROC_LORO_05_V2_02_medium,B3_RIDGE_QF_QW,EUROC,25,0.0001,50,20,22.28054448,44.14853604,11169,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_03_difficult","{""V1_01_easy"": 0.2, ""V1_02_medium"": 0.1999999999999999, ""V1_03_difficult"": 0.20000000000000004, ""V2_01_easy"": 0.19999999999999998, ""V2_03_difficult"": 0.2}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_EUROC,EUROC_LORO_06_V2_03_difficult,B2_RIDGE_QF,EUROC,25,0.0001,25,20,23.36670168,44.14816486,11181,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium","{""V1_01_easy"": 0.2, ""V1_02_medium"": 0.1999999999999999, ""V1_03_difficult"": 0.20000000000000004, ""V2_01_easy"": 0.19999999999999998, ""V2_02_medium"": 0.2}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_EUROC,EUROC_LORO_06_V2_03_difficult,B3_RIDGE_QF_QW,EUROC,25,0.0001,50,20,23.83953079,44.14816486,11181,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium","{""V1_01_easy"": 0.2, ""V1_02_medium"": 0.1999999999999999, ""V1_03_difficult"": 0.20000000000000004, ""V2_01_easy"": 0.19999999999999998, ""V2_02_medium"": 0.2}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_UZH,UZH_FPV_LORO_01_indoor_forward_6_snapdragon,B2_RIDGE_QF,UZH_FPV,10,0.0001,10,20,44.17086026,43.70754448,9820,"indoor_45_13_snapdragon,indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon","{""indoor_45_13_snapdragon"": 0.14285714285714282, ""indoor_45_14_snapdragon"": 0.14285714285714285, ""indoor_45_2_snapdragon"": 0.14285714285714285, ""indoor_45_4_snapdragon"": 0.14285714285714285, ""indoor_forward_10_snapdragon"": 0.14285714285714285, ""indoor_forward_9_snapdragon"": 0.14285714285714285, ""outdoor_forward_1_snapdragon"": 0.14285714285714285}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_UZH,UZH_FPV_LORO_01_indoor_forward_6_snapdragon,B3_RIDGE_QF_QW,UZH_FPV,10,0.0001,20,20,56.66855212,43.70754448,9820,"indoor_45_13_snapdragon,indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon","{""indoor_45_13_snapdragon"": 0.14285714285714282, ""indoor_45_14_snapdragon"": 0.14285714285714285, ""indoor_45_2_snapdragon"": 0.14285714285714285, ""indoor_45_4_snapdragon"": 0.14285714285714285, ""indoor_forward_10_snapdragon"": 0.14285714285714285, ""indoor_forward_9_snapdragon"": 0.14285714285714285, ""outdoor_forward_1_snapdragon"": 0.14285714285714285}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_UZH,UZH_FPV_LORO_02_indoor_forward_9_snapdragon,B2_RIDGE_QF,UZH_FPV,25,1,25,20,2.378087081,44.29828304,9676,"indoor_45_13_snapdragon,indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,outdoor_forward_1_snapdragon","{""indoor_45_13_snapdragon"": 0.14285714285714282, ""indoor_45_14_snapdragon"": 0.14285714285714285, ""indoor_45_2_snapdragon"": 0.14285714285714285, ""indoor_45_4_snapdragon"": 0.14285714285714285, ""indoor_forward_10_snapdragon"": 0.14285714285714285, ""indoor_forward_6_snapdragon"": 0.14285714285714285, ""outdoor_forward_1_snapdragon"": 0.14285714285714285}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_UZH,UZH_FPV_LORO_02_indoor_forward_9_snapdragon,B3_RIDGE_QF_QW,UZH_FPV,10,0.01,20,20,10.890116,44.29828304,9676,"indoor_45_13_snapdragon,indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,outdoor_forward_1_snapdragon","{""indoor_45_13_snapdragon"": 0.14285714285714282, ""indoor_45_14_snapdragon"": 0.14285714285714285, ""indoor_45_2_snapdragon"": 0.14285714285714285, ""indoor_45_4_snapdragon"": 0.14285714285714285, ""indoor_forward_10_snapdragon"": 0.14285714285714285, ""indoor_forward_6_snapdragon"": 0.14285714285714285, ""outdoor_forward_1_snapdragon"": 0.14285714285714285}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
