evaluation_context,fold_id,model,fit_dataset,fit_sequences,n_features,n_windows,target_scaler,fit_scope,mean_l2,std_l2,config_hash
WITHIN_EUROC,EUROC_LORO_01_V1_01_easy,B2_RIDGE_QF,EUROC,"V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",25,10606,NONE,SOURCE_TRAIN_ONLY,49.46622328,4.677622308,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
WITHIN_EUROC,EUROC_LORO_01_V1_01_easy,B3_RIDGE_QF_QW,EUROC,"V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",50,10606,NONE,SOURCE_TRAIN_ONLY,49.54278679,5.039348491,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
WITHIN_EUROC,EUROC_LORO_02_V1_02_medium,B2_RIDGE_QF,EUROC,"V1_01_easy,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",25,11808,NONE,SOURCE_TRAIN_ONLY,49.38301452,4.434496814,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
WITHIN_EUROC,EUROC_LORO_02_V1_02_medium,B3_RIDGE_QF_QW,EUROC,"V1_01_easy,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",50,11808,NONE,SOURCE_TRAIN_ONLY,49.44469123,4.799329295,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
WITHIN_EUROC,EUROC_LORO_03_V1_03_difficult,B2_RIDGE_QF,EUROC,"V1_01_easy,V1_02_medium,V2_01_easy,V2_02_medium,V2_03_difficult",25,11368,NONE,SOURCE_TRAIN_ONLY,49.31416096,4.395340378,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
WITHIN_EUROC,EUROC_LORO_03_V1_03_difficult,B3_RIDGE_QF_QW,EUROC,"V1_01_easy,V1_02_medium,V2_01_easy,V2_02_medium,V2_03_difficult",50,11368,NONE,SOURCE_TRAIN_ONLY,49.37276495,4.728485477,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
WITHIN_EUROC,EUROC_LORO_04_V2_01_easy,B2_RIDGE_QF,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_02_medium,V2_03_difficult",25,11238,NONE,SOURCE_TRAIN_ONLY,49.45397829,4.358715255,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
WITHIN_EUROC,EUROC_LORO_04_V2_01_easy,B3_RIDGE_QF_QW,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_02_medium,V2_03_difficult",50,11238,NONE,SOURCE_TRAIN_ONLY,49.53053489,4.744111486,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
WITHIN_EUROC,EUROC_LORO_05_V2_02_medium,B2_RIDGE_QF,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_03_difficult",25,11169,NONE,SOURCE_TRAIN_ONLY,49.35956962,4.243528473,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
WITHIN_EUROC,EUROC_LORO_05_V2_02_medium,B3_RIDGE_QF_QW,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_03_difficult",50,11169,NONE,SOURCE_TRAIN_ONLY,49.42003115,4.608408178,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
