evaluation_context,dataset,sequence_id,model,n_origins,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,skill,rmse_h01,rmse_h02,rmse_h03,rmse_h04,rmse_h05,rmse_h06,rmse_h07,rmse_h08,rmse_h09,rmse_h10,rmse_h11,rmse_h12,rmse_h13,rmse_h14,rmse_h15,rmse_h16,rmse_h17,rmse_h18,rmse_h19,rmse_h20,fold_id,notes
EUROC_TO_UZH,UZH_FPV,indoor_forward_6_snapdragon,B0_PERSISTENCE,1349,4.075000184,1.448876514,3.095694185,4.049868694,4.372439845,,1.324362325,2.122951729,2.536557315,2.973595405,3.095694185,3.236571759,3.808272425,4.330840873,4.386432354,4.049868694,4.128370135,4.648820058,4.96346956,4.990081157,4.712560704,4.526078159,4.749722399,5.002090639,4.902110577,4.372439845,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_forward_6_snapdragon,B1_LINEAR,1349,9.097258821,2.399522595,5.03156523,8.074953057,13.02447324,-1.232456052,2.605478742,3.405558443,3.821305457,4.474141604,5.03156523,5.579765678,6.494635546,7.365298778,7.803901928,8.074953057,8.679973878,9.456009546,10.17790244,10.89451421,11.41295861,11.83334315,12.41642622,12.97450219,13.18133173,13.02447324,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_forward_6_snapdragon,B2_RIDGE_QF,1349,3.897489335,1.70177529,3.003596135,3.951708132,4.303273533,0.04356094263,0.6036090697,1.976629361,3.109023919,3.308253428,3.003596135,3.132962097,3.767856227,4.238607935,4.299308569,3.951708132,3.862512753,4.298533311,4.629890197,4.611744309,4.253259393,4.125173541,4.474636352,4.734387902,4.654477109,4.303273533,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_forward_6_snapdragon,B3_RIDGE_QF_QW,1349,3.809991061,1.656894814,2.941232051,3.86664676,4.197145688,0.06503291074,0.5898543162,1.916960473,2.999312448,3.207552439,2.941232051,3.064741179,3.683770781,4.160674558,4.227429549,3.86664676,3.762357833,4.194614729,4.538874492,4.533205652,4.161535969,4.013399641,4.361442042,4.637155391,4.560491287,4.197145688,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_forward_9_snapdragon,B0_PERSISTENCE,1493,0.7614361482,0.5198005074,0.6514258874,0.746522323,0.9443831043,,0.4388656827,0.6566354211,0.6307092053,0.5901997028,0.6514258874,0.6926958623,0.6767626628,0.6852248729,0.7292757014,0.746522323,0.7712122182,0.7882784742,0.7815947875,0.8116003171,0.8506403763,0.8661637911,0.8718159565,0.8997374043,0.9401697218,0.9443831043,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_forward_9_snapdragon,B1_LINEAR,1493,1.196040506,0.7957981827,0.7709389252,1.069383549,1.790236143,-0.5707692743,0.518248992,0.6174553157,0.6273207315,0.6898189371,0.7709389252,0.8117636072,0.8525170197,0.9272367823,1.005340291,1.069383549,1.151097812,1.218515781,1.273709608,1.362603731,1.442888393,1.498990562,1.570331431,1.664444521,1.742957056,1.790236143,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_forward_9_snapdragon,B2_RIDGE_QF,1493,0.9450039656,0.7246423244,0.6662566935,0.9424951795,1.295501704,-0.2410810386,0.1473623642,0.4392569346,0.6066902688,0.6447741753,0.6662566935,0.7273357518,0.7842459969,0.8233168372,0.8905719415,0.9424951795,0.9612541659,0.9901728237,1.038892018,1.096011508,1.130162588,1.155148504,1.178175787,1.208645896,1.261382022,1.295501704,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_forward_9_snapdragon,B3_RIDGE_QF_QW,1493,0.8969342115,0.6867900035,0.6493831642,0.9007962863,1.218089811,-0.1779506577,0.1458283954,0.4325613096,0.5944467746,0.6316480586,0.6493831642,0.7015282782,0.7521079692,0.7905011548,0.8564117827,0.9007962863,0.9110505401,0.934596766,0.9836672875,1.042883824,1.07083481,1.084826391,1.101685047,1.134052829,1.189145881,1.218089811,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_forward_10_snapdragon,B0_PERSISTENCE,1482,0.94906914,0.5416548985,0.936034513,0.9376017382,1.203783095,,0.4291604636,0.6873626519,0.7743674819,0.8676483614,0.936034513,0.8735980056,0.7950372071,0.8452561869,0.9317567926,0.9376017382,0.9198328179,0.9379621043,0.9785907679,1.044390302,1.066891487,1.042763686,1.062416471,1.129324811,1.191355932,1.203783095,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_forward_10_snapdragon,B1_LINEAR,1482,1.644397835,0.8685693867,1.166789576,1.46472634,2.502126488,-0.732642824,0.5310465328,0.7047111393,0.8544300179,1.043679656,1.166789576,1.153852831,1.148797568,1.262054043,1.390384612,1.46472634,1.545702012,1.642567479,1.747541839,1.88630757,1.990208612,2.048832512,2.152750219,2.292517916,2.406350007,2.502126488,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_forward_10_snapdragon,B2_RIDGE_QF,1482,1.10100198,0.7561519058,0.8926574495,1.107574226,1.503561973,-0.160086166,0.1495003774,0.470817268,0.7287198711,0.8626255358,0.8926574495,0.8647597335,0.8733401878,0.9525574829,1.063747562,1.107574226,1.090146893,1.117194901,1.202783911,1.283556677,1.31317044,1.315939055,1.339804221,1.395967865,1.469882088,1.503561973,TRANSFER_EUROC_TO_UZH,
