evaluation_context,dataset,sequence_id,model,n_origins,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,skill,rmse_h01,rmse_h02,rmse_h03,rmse_h04,rmse_h05,rmse_h06,rmse_h07,rmse_h08,rmse_h09,rmse_h10,rmse_h11,rmse_h12,rmse_h13,rmse_h14,rmse_h15,rmse_h16,rmse_h17,rmse_h18,rmse_h19,rmse_h20,fold_id,notes
UZH_TO_EUROC,EUROC,V1_01_easy,B0_PERSISTENCE,2868,0.5639882678,0.4047078867,0.4680215359,0.5449944889,0.6620481976,,0.3374251226,0.5247497236,0.5466912298,0.5011542894,0.4680215359,0.4727831861,0.5099722901,0.5580921904,0.5728227981,0.5449944889,0.5448083516,0.5747751012,0.5973749675,0.6131433893,0.6135437811,0.6116144116,0.6183975612,0.6402746059,0.6648243543,0.6620481976,TRANSFER_UZH_TO_EUROC,
UZH_TO_EUROC,EUROC,V1_01_easy,B1_LINEAR,2868,0.9052008767,0.5997862472,0.5403553497,0.8030227571,1.347814182,-0.6049994802,0.4045292,0.5046635483,0.5173006508,0.5146042765,0.5403553497,0.5971272645,0.6693534708,0.7400175973,0.7819117182,0.8030227571,0.8590982728,0.9305025133,0.9836886586,1.03210552,1.078034151,1.12629349,1.182289152,1.245935033,1.304745169,1.347814182,TRANSFER_UZH_TO_EUROC,
UZH_TO_EUROC,EUROC,V1_01_easy,B2_RIDGE_QF,2868,0.4780778022,0.3416548795,0.4285603068,0.4861209701,0.52796966,0.1523266893,0.3544189897,0.4214639508,0.4299222122,0.4339202465,0.4285603068,0.4314490179,0.4503588234,0.4779912978,0.4975176087,0.4861209701,0.4771233971,0.4859828436,0.5058272086,0.5244192844,0.5145777829,0.5021434243,0.5053957296,0.5226637162,0.5393139411,0.52796966,TRANSFER_UZH_TO_EUROC,
UZH_TO_EUROC,EUROC,V1_01_easy,B3_RIDGE_QF_QW,2868,0.5410642188,0.4083870952,0.4521757678,0.5477815402,0.6179722149,0.0406463225,0.2718896556,0.4891632836,0.5223766957,0.4967577154,0.4521757678,0.4548519217,0.4852053903,0.5229047231,0.5509582845,0.5477815402,0.5397626397,0.5529161921,0.5747587339,0.5992640818,0.5951689872,0.5892713851,0.5987749069,0.6130228673,0.6277921112,0.6179722149,TRANSFER_UZH_TO_EUROC,
UZH_TO_EUROC,EUROC,V1_02_medium,B0_PERSISTENCE,1666,0.7925081888,0.5679561859,0.5695716618,0.736700159,0.9996927157,,0.3868960063,0.6090261695,0.6516904467,0.5944483066,0.5695716618,0.6143314813,0.6794782219,0.7410698417,0.7513202677,0.736700159,0.769149088,0.8337008161,0.8837396751,0.8917429697,0.8893182113,0.9166433033,0.9644098535,1.0042828,1.005379589,0.9996927157,TRANSFER_UZH_TO_EUROC,
UZH_TO_EUROC,EUROC,V1_02_medium,B1_LINEAR,1666,1.242491429,0.8331709311,0.6876946778,1.098782665,1.898334284,-0.5677963293,0.5224914145,0.6228131287,0.6327304079,0.6300481127,0.6876946778,0.7894540874,0.8866059785,0.9736683556,1.038530654,1.098782665,1.176717194,1.265409236,1.354078659,1.419658168,1.47747766,1.561205906,1.665093735,1.762843901,1.833671402,1.898334284,TRANSFER_UZH_TO_EUROC,
UZH_TO_EUROC,EUROC,V1_02_medium,B2_RIDGE_QF,1666,0.768528348,0.5473167839,0.6270185928,0.7560603291,0.8524444729,0.03025816161,0.4920498821,0.6000414435,0.6267762189,0.6146743355,0.6270185928,0.686418943,0.7496424952,0.7847093608,0.7698399378,0.7560603291,0.7893924846,0.8354862299,0.8566861117,0.8372580719,0.821300687,0.8482207272,0.8869318182,0.8996301667,0.8722366456,0.8524444729,TRANSFER_UZH_TO_EUROC,
UZH_TO_EUROC,EUROC,V1_02_medium,B3_RIDGE_QF_QW,1666,0.7507697247,0.5589241418,0.590538284,0.7450645635,0.8473244146,0.05266628753,0.3233956881,0.5938050126,0.6538568614,0.6240726907,0.590538284,0.6371982554,0.6948653624,0.7436562322,0.7480048315,0.7450645635,0.7706368715,0.8062229546,0.8313883519,0.8328290422,0.8242515244,0.8477497948,0.8872015757,0.8967722193,0.8704156951,0.8473244146,TRANSFER_UZH_TO_EUROC,
UZH_TO_EUROC,EUROC,V1_03_difficult,B0_PERSISTENCE,2106,0.8383637495,0.6147949478,0.6452296575,0.8193058374,1.046251188,,0.4501846217,0.7229579641,0.7677518377,0.6970638253,0.6452296575,0.6538526808,0.7139654299,0.7883454441,0.8288375925,0.8193058374,0.8155948887,0.8485229849,0.8850172651,0.9224336117,0.9544785843,0.9679084134,0.9718594237,0.9872067896,1.020860142,1.046251188,TRANSFER_UZH_TO_EUROC,
UZH_TO_EUROC,EUROC,V1_03_difficult,B1_LINEAR,2106,1.273287346,0.873847452,0.7293334018,1.125534799,1.942346278,-0.518776721,0.5492349597,0.6928305724,0.7160477135,0.7011345654,0.7293334018,0.8096277443,0.916931681,1.013672775,1.080185618,1.125534799,1.190786457,1.280194971,1.367054752,1.456006643,1.541341261,1.611812058,1.679469987,1.760580048,1.854068187,1.942346278,TRANSFER_UZH_TO_EUROC,
UZH_TO_EUROC,EUROC,V1_03_difficult,B2_RIDGE_QF,2106,0.7873280639,0.579631694,0.6677006941,0.7960178681,0.8951532678,0.06087534869,0.5288090114,0.6412002227,0.6540829221,0.6498502057,0.6677006941,0.7058637901,0.7502240817,0.7783202054,0.7910188166,0.7960178681,0.8099960623,0.8341031363,0.8470690526,0.8558650497,0.862697008,0.872050936,0.8865825475,0.8912719504,0.8924663848,0.8951532678,TRANSFER_UZH_TO_EUROC,
UZH_TO_EUROC,EUROC,V1_03_difficult,B3_RIDGE_QF_QW,2106,0.8237023204,0.6302279628,0.675485324,0.8451833736,0.9404767745,0.01748814773,0.3789785904,0.7029045318,0.759064559,0.7200998542,0.675485324,0.7017162876,0.7490630746,0.7952060224,0.8332333685,0.8451833736,0.8434543752,0.8626811751,0.8815950206,0.9081073294,0.9229881453,0.926426425,0.9382582533,0.9348579743,0.9381260343,0.9404767745,TRANSFER_UZH_TO_EUROC,
UZH_TO_EUROC,EUROC,V2_01_easy,B0_PERSISTENCE,2236,1.130114331,0.6649999003,0.9955112485,1.16941163,1.196955533,,0.653668419,1.019711069,1.047378134,0.9831565362,0.9955112485,1.039085052,1.123902552,1.217587218,1.233788842,1.16941163,1.160107026,1.221390974,1.229679635,1.193683873,1.159712312,1.164828727,1.206379328,1.219975011,1.20561773,1.196955533,TRANSFER_UZH_TO_EUROC,
UZH_TO_EUROC,EUROC,V2_01_easy,B1_LINEAR,2236,2.444157541,0.9854849037,1.585786298,2.285857847,3.622236929,-1.162752452,0.899374514,1.18403226,1.310174314,1.432818018,1.585786298,1.734725266,1.910516447,2.082353979,2.200070833,2.285857847,2.40265815,2.537991335,2.653870861,2.765555434,2.871910158,2.989354148,3.140941301,3.301172289,3.456677713,3.622236929,TRANSFER_UZH_TO_EUROC,
UZH_TO_EUROC,EUROC,V2_01_easy,B2_RIDGE_QF,2236,0.9278642307,0.5644528452,0.8575573528,0.8916616677,0.9270770534,0.1789642825,0.7249108281,0.9055594172,0.9177247179,0.8799489528,0.8575573528,0.892812111,0.9704717498,0.9851906115,0.9406076476,0.8916616677,0.9115406387,0.9823509416,0.9881582548,0.9434235292,0.9061343526,0.9292358823,0.9959587753,1.003632942,0.9623787698,0.9270770534,TRANSFER_UZH_TO_EUROC,
UZH_TO_EUROC,EUROC,V2_01_easy,B3_RIDGE_QF_QW,2236,0.9476975315,0.6125092693,0.8092181149,0.926493105,0.9664093919,0.1614144645,0.5162808598,0.9289921619,0.9659738556,0.8657547504,0.8092181149,0.8770354802,0.9585018299,0.9858621626,0.9711451833,0.926493105,0.9468934692,1.024387385,1.025902226,0.9834705876,0.9452554455,0.9778922842,1.06656703,1.063681557,1.007887387,0.9664093919,TRANSFER_UZH_TO_EUROC,
UZH_TO_EUROC,EUROC,V2_02_medium,B0_PERSISTENCE,2305,1.04142078,0.7314790566,0.8394783686,1.032624619,1.263879894,,0.5686402193,0.9014623775,0.9358063825,0.8504835622,0.8394783686,0.8623026184,0.9244334311,1.018076903,1.049852615,1.032624619,1.041321134,1.082591081,1.101631451,1.111671933,1.145255372,1.170485281,1.194525272,1.222781727,1.241518384,1.263879894,TRANSFER_UZH_TO_EUROC,
