evaluation_context,dataset,sequence_id,model,n_origins,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,skill,rmse_h01,rmse_h02,rmse_h03,rmse_h04,rmse_h05,rmse_h06,rmse_h07,rmse_h08,rmse_h09,rmse_h10,rmse_h11,rmse_h12,rmse_h13,rmse_h14,rmse_h15,rmse_h16,rmse_h17,rmse_h18,rmse_h19,rmse_h20,fold_id,notes
WITHIN_UZH,UZH_FPV,indoor_forward_6_snapdragon,B0_PERSISTENCE,1349,4.075000184,1.448876514,3.095694185,4.049868694,4.372439845,,1.324362325,2.122951729,2.536557315,2.973595405,3.095694185,3.236571759,3.808272425,4.330840873,4.386432354,4.049868694,4.128370135,4.648820058,4.96346956,4.990081157,4.712560704,4.526078159,4.749722399,5.002090639,4.902110577,4.372439845,UZH_FPV_LORO_01_indoor_forward_6_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_forward_6_snapdragon,B1_LINEAR,1349,9.097258821,2.399522595,5.03156523,8.074953057,13.02447324,-1.232456052,2.605478742,3.405558443,3.821305457,4.474141604,5.03156523,5.579765678,6.494635546,7.365298778,7.803901928,8.074953057,8.679973878,9.456009546,10.17790244,10.89451421,11.41295861,11.83334315,12.41642622,12.97450219,13.18133173,13.02447324,UZH_FPV_LORO_01_indoor_forward_6_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_forward_6_snapdragon,B2_RIDGE_QF,1349,3.560772554,1.591150515,3.005791506,3.659137593,3.837678024,0.1261908237,0.4727394601,1.490263178,2.544083912,3.08278295,3.005791506,3.206070108,3.755023274,4.081837516,4.063531359,3.659137593,3.539855783,3.955450546,4.253419317,4.216977271,3.7754178,3.53758253,3.852404871,4.170423878,4.171901304,3.837678024,UZH_FPV_LORO_01_indoor_forward_6_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_forward_6_snapdragon,B3_RIDGE_QF_QW,1349,3.481177485,1.467635551,2.906471625,3.553170218,3.757695509,0.1457233551,0.5001245547,1.552713136,2.596671521,3.08021087,2.906471625,3.018342872,3.595015354,3.973650331,3.936012081,3.553170218,3.428203865,3.8055487,4.127508424,4.078520118,3.627070318,3.407704072,3.835150953,4.262235754,4.174020014,3.757695509,UZH_FPV_LORO_01_indoor_forward_6_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_forward_9_snapdragon,B0_PERSISTENCE,1493,0.7614361482,0.5198005074,0.6514258874,0.746522323,0.9443831043,,0.4388656827,0.6566354211,0.6307092053,0.5901997028,0.6514258874,0.6926958623,0.6767626628,0.6852248729,0.7292757014,0.746522323,0.7712122182,0.7882784742,0.7815947875,0.8116003171,0.8506403763,0.8661637911,0.8718159565,0.8997374043,0.9401697218,0.9443831043,UZH_FPV_LORO_02_indoor_forward_9_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_forward_9_snapdragon,B1_LINEAR,1493,1.196040506,0.7957981827,0.7709389252,1.069383549,1.790236143,-0.5707692743,0.518248992,0.6174553157,0.6273207315,0.6898189371,0.7709389252,0.8117636072,0.8525170197,0.9272367823,1.005340291,1.069383549,1.151097812,1.218515781,1.273709608,1.362603731,1.442888393,1.498990562,1.570331431,1.664444521,1.742957056,1.790236143,UZH_FPV_LORO_02_indoor_forward_9_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_forward_9_snapdragon,B2_RIDGE_QF,1493,0.8480617146,0.6323441606,0.7437637861,0.8855129205,1.003424007,-0.1137660284,0.5148463731,0.5956815729,0.6145807879,0.68390375,0.7437637861,0.7654646239,0.7791106956,0.8073908352,0.8583651667,0.8855129205,0.8918377365,0.8905449776,0.9018298457,0.9446489349,0.9671974764,0.9659190163,0.958929824,0.9627183115,0.992013839,1.003424007,UZH_FPV_LORO_02_indoor_forward_9_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_forward_9_snapdragon,B3_RIDGE_QF_QW,1493,0.767715293,0.53338349,0.6528260173,0.802294035,0.9234883039,-0.008246449563,0.3452848379,0.5936056205,0.5967359114,0.6024681939,0.6528260173,0.6943609957,0.7009863432,0.7104724513,0.7716706741,0.802294035,0.8051582988,0.8085817803,0.8046239432,0.8409923197,0.8738031018,0.8877506773,0.8897516026,0.8819657939,0.9070301468,0.9234883039,UZH_FPV_LORO_02_indoor_forward_9_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_forward_10_snapdragon,B0_PERSISTENCE,1482,0.94906914,0.5416548985,0.936034513,0.9376017382,1.203783095,,0.4291604636,0.6873626519,0.7743674819,0.8676483614,0.936034513,0.8735980056,0.7950372071,0.8452561869,0.9317567926,0.9376017382,0.9198328179,0.9379621043,0.9785907679,1.044390302,1.066891487,1.042763686,1.062416471,1.129324811,1.191355932,1.203783095,UZH_FPV_LORO_03_indoor_forward_10_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_forward_10_snapdragon,B1_LINEAR,1482,1.644397835,0.8685693867,1.166789576,1.46472634,2.502126488,-0.732642824,0.5310465328,0.7047111393,0.8544300179,1.043679656,1.166789576,1.153852831,1.148797568,1.262054043,1.390384612,1.46472634,1.545702012,1.642567479,1.747541839,1.88630757,1.990208612,2.048832512,2.152750219,2.292517916,2.406350007,2.502126488,UZH_FPV_LORO_03_indoor_forward_10_snapdragon,
