sequence_id,model,rmse_all_horizons
V1_01_easy,B0_PERSISTENCE,0.5639882678342127
V1_02_medium,B0_PERSISTENCE,0.7925081888282675
V1_03_difficult,B0_PERSISTENCE,0.8383637494758766
V2_01_easy,B0_PERSISTENCE,1.1301143311360982
V2_02_medium,B0_PERSISTENCE,1.04142077979167
V2_03_difficult,B0_PERSISTENCE,1.1355513030299067
V1_01_easy,B1_LINEAR,0.9052008767400729
V1_02_medium,B1_LINEAR,1.2424914293495617
V1_03_difficult,B1_LINEAR,1.2732873464310768
V2_01_easy,B1_LINEAR,2.4441575410792167
V2_02_medium,B1_LINEAR,1.737433299511221
V2_03_difficult,B1_LINEAR,2.1098649101241898
V1_01_easy,B2_RIDGE_QF,0.42943035040269417
V1_02_medium,B2_RIDGE_QF,0.6450244350420361
V1_03_difficult,B2_RIDGE_QF,0.6795868981682034
V2_01_easy,B2_RIDGE_QF,0.9071105827455882
V2_02_medium,B2_RIDGE_QF,0.832815401164887
V2_03_difficult,B2_RIDGE_QF,0.8952190334636108
V1_01_easy,B3_RIDGE_QF_QW,0.42822251187252813
V1_02_medium,B3_RIDGE_QF_QW,0.6370545470359735
V1_03_difficult,B3_RIDGE_QF_QW,0.6725911888855818
V2_01_easy,B3_RIDGE_QF_QW,0.9015393237951321
V2_02_medium,B3_RIDGE_QF_QW,0.8325012430840545
V2_03_difficult,B3_RIDGE_QF_QW,0.8976286137876738
