sequence_id,model,rmse_all_horizons
indoor_forward_6_snapdragon,B0_PERSISTENCE,4.075000184173902
indoor_forward_9_snapdragon,B0_PERSISTENCE,0.7614361481612858
indoor_forward_10_snapdragon,B0_PERSISTENCE,0.9490691400246536
indoor_45_2_snapdragon,B0_PERSISTENCE,2.5730462771462035
indoor_45_4_snapdragon,B0_PERSISTENCE,3.1603093512806817
indoor_45_13_snapdragon,B0_PERSISTENCE,2.4619284132933275
indoor_45_14_snapdragon,B0_PERSISTENCE,2.6198876290988222
outdoor_forward_1_snapdragon,B0_PERSISTENCE,2.193506127734373
indoor_forward_6_snapdragon,B1_LINEAR,9.097258821323496
indoor_forward_9_snapdragon,B1_LINEAR,1.1960405058479877
indoor_forward_10_snapdragon,B1_LINEAR,1.6443978349752841
indoor_45_2_snapdragon,B1_LINEAR,6.024103109111056
indoor_45_4_snapdragon,B1_LINEAR,7.678485509037071
indoor_45_13_snapdragon,B1_LINEAR,5.311640281313413
indoor_45_14_snapdragon,B1_LINEAR,6.104955020855536
outdoor_forward_1_snapdragon,B1_LINEAR,4.281946961090571
indoor_forward_6_snapdragon,B2_RIDGE_QF,3.5607725542543522
indoor_forward_9_snapdragon,B2_RIDGE_QF,0.848061714646422
indoor_forward_10_snapdragon,B2_RIDGE_QF,0.9798605270982504
indoor_45_2_snapdragon,B2_RIDGE_QF,2.0844396284165447
indoor_45_4_snapdragon,B2_RIDGE_QF,2.4719738533914297
indoor_45_13_snapdragon,B2_RIDGE_QF,1.914785614373505
indoor_45_14_snapdragon,B2_RIDGE_QF,2.4169708322779373
outdoor_forward_1_snapdragon,B2_RIDGE_QF,1.5693585062338538
indoor_forward_6_snapdragon,B3_RIDGE_QF_QW,3.4811774853581356
indoor_forward_9_snapdragon,B3_RIDGE_QF_QW,0.7677152929522962
indoor_forward_10_snapdragon,B3_RIDGE_QF_QW,0.8934917377047074
indoor_45_2_snapdragon,B3_RIDGE_QF_QW,2.105835822359436
indoor_45_4_snapdragon,B3_RIDGE_QF_QW,2.4683470015607174
indoor_45_13_snapdragon,B3_RIDGE_QF_QW,1.9298088908406312
indoor_45_14_snapdragon,B3_RIDGE_QF_QW,2.354346371462116
outdoor_forward_1_snapdragon,B3_RIDGE_QF_QW,1.544402621637525
