sequence_id,model,rmse_all_horizons
indoor_forward_6_snapdragon,B0_PERSISTENCE,4.075000184173902
indoor_forward_9_snapdragon,B0_PERSISTENCE,0.7614361481612858
indoor_forward_10_snapdragon,B0_PERSISTENCE,0.9490691400246536
indoor_45_2_snapdragon,B0_PERSISTENCE,2.5730462771462035
indoor_45_4_snapdragon,B0_PERSISTENCE,3.1603093512806817
indoor_45_13_snapdragon,B0_PERSISTENCE,2.4619284132933275
indoor_45_14_snapdragon,B0_PERSISTENCE,2.6198876290988222
outdoor_forward_1_snapdragon,B0_PERSISTENCE,2.193506127734373
indoor_forward_6_snapdragon,B1_LINEAR,9.097258821323496
indoor_forward_9_snapdragon,B1_LINEAR,1.1960405058479877
indoor_forward_10_snapdragon,B1_LINEAR,1.6443978349752841
indoor_45_2_snapdragon,B1_LINEAR,6.024103109111056
indoor_45_4_snapdragon,B1_LINEAR,7.678485509037071
indoor_45_13_snapdragon,B1_LINEAR,5.311640281313413
indoor_45_14_snapdragon,B1_LINEAR,6.104955020855536
outdoor_forward_1_snapdragon,B1_LINEAR,4.281946961090571
indoor_forward_6_snapdragon,B2_RIDGE_QF,3.8974893349256887
indoor_forward_9_snapdragon,B2_RIDGE_QF,0.9450039656206738
indoor_forward_10_snapdragon,B2_RIDGE_QF,1.1010019799406487
indoor_45_2_snapdragon,B2_RIDGE_QF,2.176603542783486
indoor_45_4_snapdragon,B2_RIDGE_QF,2.651463395940185
indoor_45_13_snapdragon,B2_RIDGE_QF,2.0190384501909677
indoor_45_14_snapdragon,B2_RIDGE_QF,2.4645788053628186
outdoor_forward_1_snapdragon,B2_RIDGE_QF,1.5939820424814604
indoor_forward_6_snapdragon,B3_RIDGE_QF_QW,3.809991060949126
indoor_forward_9_snapdragon,B3_RIDGE_QF_QW,0.8969342115463733
indoor_forward_10_snapdragon,B3_RIDGE_QF_QW,1.0489087648427948
indoor_45_2_snapdragon,B3_RIDGE_QF_QW,2.1407246359189247
indoor_45_4_snapdragon,B3_RIDGE_QF_QW,2.6340992393796077
indoor_45_13_snapdragon,B3_RIDGE_QF_QW,2.0007336619068563
indoor_45_14_snapdragon,B3_RIDGE_QF_QW,2.41386417980684
outdoor_forward_1_snapdragon,B3_RIDGE_QF_QW,1.5759423021463157
