sequence_id,model,rmse_all_horizons
V1_01_easy,B0_PERSISTENCE,0.5639882678342127
V1_02_medium,B0_PERSISTENCE,0.7925081888282675
V1_03_difficult,B0_PERSISTENCE,0.8383637494758766
V2_01_easy,B0_PERSISTENCE,1.1301143311360982
V2_02_medium,B0_PERSISTENCE,1.04142077979167
V2_03_difficult,B0_PERSISTENCE,1.1355513030299067
V1_01_easy,B1_LINEAR,0.9052008767400729
V1_02_medium,B1_LINEAR,1.2424914293495617
V1_03_difficult,B1_LINEAR,1.2732873464310768
V2_01_easy,B1_LINEAR,2.4441575410792167
V2_02_medium,B1_LINEAR,1.737433299511221
V2_03_difficult,B1_LINEAR,2.1098649101241898
V1_01_easy,B2_RIDGE_QF,0.4780778021846203
V1_02_medium,B2_RIDGE_QF,0.7685283479698718
V1_03_difficult,B2_RIDGE_QF,0.7873280639007575
V2_01_easy,B2_RIDGE_QF,0.9278642306731322
V2_02_medium,B2_RIDGE_QF,0.9468636888184485
V2_03_difficult,B2_RIDGE_QF,0.9832615128053741
V1_01_easy,B3_RIDGE_QF_QW,0.5410642188133618
V1_02_medium,B3_RIDGE_QF_QW,0.7507697246847801
V1_03_difficult,B3_RIDGE_QF_QW,0.8237023203745589
V2_01_easy,B3_RIDGE_QF_QW,0.9476975314986493
V2_02_medium,B3_RIDGE_QF_QW,0.9457159059738031
V2_03_difficult,B3_RIDGE_QF_QW,0.9758729314757848
