evaluation_context,model,horizon_index,horizon_ms,equal_sequence_mean_rmse
WITHIN_EUROC,B0_PERSISTENCE,1,10,0.49382502233365
WITHIN_EUROC,B0_PERSISTENCE,2,20,0.7773272208011445
WITHIN_EUROC,B0_PERSISTENCE,3,30,0.8115048330463773
WITHIN_EUROC,B0_PERSISTENCE,4,40,0.7575635960648873
WITHIN_EUROC,B0_PERSISTENCE,5,50,0.7514938846669236
WITHIN_EUROC,B0_PERSISTENCE,6,60,0.7812461404284962
WITHIN_EUROC,B0_PERSISTENCE,7,70,0.8396718193457328
WITHIN_EUROC,B0_PERSISTENCE,8,80,0.9061495220986474
WITHIN_EUROC,B0_PERSISTENCE,9,90,0.9296788064226184
WITHIN_EUROC,B0_PERSISTENCE,10,100,0.9113984731653532
WITHIN_EUROC,B0_PERSISTENCE,11,110,0.9227102094708979
WITHIN_EUROC,B0_PERSISTENCE,12,120,0.9667428940758417
WITHIN_EUROC,B0_PERSISTENCE,13,130,0.9852100450829057
WITHIN_EUROC,B0_PERSISTENCE,14,140,0.9911915153466396
WITHIN_EUROC,B0_PERSISTENCE,15,150,1.004233687532845
WITHIN_EUROC,B0_PERSISTENCE,16,160,1.0223879038205153
WITHIN_EUROC,B0_PERSISTENCE,17,170,1.0438373760513129
WITHIN_EUROC,B0_PERSISTENCE,18,180,1.0571351461268848
WITHIN_EUROC,B0_PERSISTENCE,19,190,1.0670426372627861
WITHIN_EUROC,B0_PERSISTENCE,20,200,1.0782282581563616
WITHIN_EUROC,B1_LINEAR,1,10,0.6417129889863523
WITHIN_EUROC,B1_LINEAR,2,20,0.805294696988776
WITHIN_EUROC,B1_LINEAR,3,30,0.8546604523291966
WITHIN_EUROC,B1_LINEAR,4,40,0.8958292159483375
WITHIN_EUROC,B1_LINEAR,5,50,0.984222838710798
WITHIN_EUROC,B1_LINEAR,6,60,1.094235054853348
WITHIN_EUROC,B1_LINEAR,7,70,1.2154127312530751
WITHIN_EUROC,B1_LINEAR,8,80,1.3276735260369341
WITHIN_EUROC,B1_LINEAR,9,90,1.4111681085626906
WITHIN_EUROC,B1_LINEAR,10,100,1.4820599519929487
WITHIN_EUROC,B1_LINEAR,11,110,1.5745453415005821
WITHIN_EUROC,B1_LINEAR,12,120,1.6757541850284017
WITHIN_EUROC,B1_LINEAR,13,130,1.760643635244337
WITHIN_EUROC,B1_LINEAR,14,140,1.8423249344908486
WITHIN_EUROC,B1_LINEAR,15,150,1.925665277167675
WITHIN_EUROC,B1_LINEAR,16,160,2.0142210852150075
WITHIN_EUROC,B1_LINEAR,17,170,2.116961022828568
WITHIN_EUROC,B1_LINEAR,18,180,2.222415886528076
WITHIN_EUROC,B1_LINEAR,19,190,2.3205096854826768
WITHIN_EUROC,B1_LINEAR,20,200,2.415794935886552
WITHIN_EUROC,B2_RIDGE_QF,1,10,0.16801671394598253
WITHIN_EUROC,B2_RIDGE_QF,2,20,0.48791813627744357
WITHIN_EUROC,B2_RIDGE_QF,3,30,0.6483993998465294
WITHIN_EUROC,B2_RIDGE_QF,4,40,0.6502229234066442
WITHIN_EUROC,B2_RIDGE_QF,5,50,0.6455507361743665
WITHIN_EUROC,B2_RIDGE_QF,6,60,0.6802193253579937
WITHIN_EUROC,B2_RIDGE_QF,7,70,0.7276309047766748
WITHIN_EUROC,B2_RIDGE_QF,8,80,0.7409084541854041
WITHIN_EUROC,B2_RIDGE_QF,9,90,0.7535396875016637
WITHIN_EUROC,B2_RIDGE_QF,10,100,0.7577888154705313
WITHIN_EUROC,B2_RIDGE_QF,11,110,0.7682500771279096
WITHIN_EUROC,B2_RIDGE_QF,12,120,0.791272733335604
WITHIN_EUROC,B2_RIDGE_QF,13,130,0.7992550248651877
WITHIN_EUROC,B2_RIDGE_QF,14,140,0.793243171701115
WITHIN_EUROC,B2_RIDGE_QF,15,150,0.7900128993839771
WITHIN_EUROC,B2_RIDGE_QF,16,160,0.8062513248373663
WITHIN_EUROC,B2_RIDGE_QF,17,170,0.8280580948394913
WITHIN_EUROC,B2_RIDGE_QF,18,180,0.8245974191485712
WITHIN_EUROC,B2_RIDGE_QF,19,190,0.8179110292017994
WITHIN_EUROC,B2_RIDGE_QF,20,200,0.8205489333679559
