context,model,n_sequences,mean_seq_rmse,ci_low,ci_high,median_seq_rmse,mean_mae,rmse_50ms,rmse_100ms,rmse_200ms,skill_vs_persistence,delta_vs_ridge,wins_vs_ridge,losses_vs_ridge,ties_vs_ridge,seed_sd,parameters
WITHIN_EUROC,Persistence,6,0.9169911034,0.7430420201,1.069425462,0.9398922647,0.6233054672,0.7514938847,0.911398473,1.078228258,0,0.1887348653,0,6,0,0,0
WITHIN_EUROC,Best Ridge,6,0.7282562381,0.5826420992,0.8505713845,0.752546216,0.4849245309,0.6428683595,0.7532032069,0.8165876144,0.2058197343,0,0,0,6,0,50
WITHIN_EUROC,TCN,6,0.7351135509,0.593743962,0.854083778,0.7641691809,0.5028592795,0.6408954851,0.7347771891,0.8148795116,0.1983416761,0.006857312852,1,5,0,0.002819638699,16212
WITHIN_EUROC,GRU,6,0.7315832077,0.5913246167,0.8471903633,0.7631709374,0.5047479568,0.6253749502,0.7211307851,0.8120256644,0.202191597,0.003326969642,2,4,0,0.0005798437283,14356
WITHIN_EUROC,Transformer,6,0.743946612,0.6031801979,0.8553144828,0.7845172154,0.5196558509,0.6455960778,0.7305006399,0.8182486186,0.1887090188,0.01569037389,1,5,0,0.00549942395,13460
WITHIN_UZH,Persistence,8,2.349272909,1.637558288,3.053113425,2.517487345,0.7650172541,2.038285281,2.513596043,2.654521275,0,0.4061322558,1,7,0,0,0
WITHIN_UZH,Best Ridge,8,1.943140653,1.377703104,2.526564833,2.017822356,0.7894036354,1.833155396,2.094722431,2.148913811,0.1728757244,0,0,0,8,0,20
WITHIN_UZH,TCN,8,1.920120799,1.362207926,2.505897429,1.94424801,0.7920273458,1.823386942,2.026899076,2.110540078,0.1826744387,-0.02301985417,6,2,0,0.02221625314,26516
WITHIN_UZH,GRU,8,1.945816705,1.350956804,2.572427539,2.001455444,0.7494724796,1.837600112,2.01092763,2.124683709,0.1717366263,0.002676052268,5,3,0,0.002979612781,14356
WITHIN_UZH,Transformer,8,1.895225547,1.344822284,2.479216381,1.927136727,0.736074061,1.784377304,2.015393343,2.108006366,0.1932714415,-0.04791510577,7,1,0,0.004148659855,13460
EUROC_TO_UZH,Persistence,8,2.349272909,1.637558288,3.053113425,2.517487345,0.7650172541,2.038285281,2.513596043,2.654521275,0,0.2841231517,2,6,0,0,0
EUROC_TO_UZH,Best Ridge,8,2.065149757,1.483872022,2.698028464,2.070729149,0.8725399421,1.844444743,2.205469264,2.369796135,0.120940888,0,0,0,8,0,50
EUROC_TO_UZH,TCN,8,2.049908945,1.470597349,2.690126001,2.026141463,0.9030326798,1.945113063,2.128054488,2.291192998,0.1274283473,-0.01524081247,6,2,0,0.01124411137,16212
EUROC_TO_UZH,GRU,8,2.080038328,1.470451745,2.757981534,2.024865698,0.8789272756,1.960339551,2.09315409,2.268338506,0.114603365,0.01488857104,4,4,0,0.004474594008,14356
EUROC_TO_UZH,Transformer,8,2.197584952,1.5899241,2.905565107,2.050117609,1.045966585,2.054323694,2.172996027,2.390249124,0.06456804404,0.1324351951,1,7,0,0.01814081253,13460
UZH_TO_EUROC,Persistence,6,0.9169911034,0.7430420201,1.069425462,0.9398922647,0.6233054672,0.7514938847,0.911398473,1.078228258,0,0.1016704956,0,6,0,0,0
UZH_TO_EUROC,Best Ridge,6,0.8153206077,0.6622252219,0.932407026,0.8575961473,0.5699065357,0.7176834541,0.8158647328,0.8909850288,0.1108740262,0,0,0,6,0,25
UZH_TO_EUROC,TCN,6,0.8253822249,0.6937538619,0.931626675,0.8627376811,0.5955467083,0.695086759,0.8117346473,0.882743794,0.09990160003,0.01006161718,3,3,0,0.008595223906,26516
UZH_TO_EUROC,GRU,6,0.8047074577,0.6653984415,0.9172245226,0.8439370242,0.5651452006,0.693368381,0.7981244517,0.8967913903,0.1224479116,-0.01061314998,4,2,0,0.007543805179,14356
UZH_TO_EUROC,Transformer,6,0.8168786727,0.675963962,0.935009942,0.8646418296,0.5796768595,0.7068470595,0.8112796289,0.9024612026,0.1091749204,0.001558064921,2,4,0,0.01026300624,13460
