evaluation_context,dataset,sequence_id,model,rmse_all,rmse_high_p95_targets,p95_threshold,notes
WITHIN_EUROC,EUROC,V1_01_easy,TCN,0.4371180845,0.9842353567,10.59911164,sequence-specific p95 of processed q_f; mean over seeds
WITHIN_EUROC,EUROC,V1_02_medium,TCN,0.6584689819,1.580834217,11.30093467,sequence-specific p95 of processed q_f; mean over seeds
WITHIN_EUROC,EUROC,V1_03_difficult,TCN,0.6865733646,1.615046019,11.48826622,sequence-specific p95 of processed q_f; mean over seeds
WITHIN_EUROC,EUROC,V2_01_easy,TCN,0.8806887053,2.718398106,10.98371699,sequence-specific p95 of processed q_f; mean over seeds
WITHIN_EUROC,EUROC,V2_02_medium,TCN,0.8417649971,1.979182228,11.60218482,sequence-specific p95 of processed q_f; mean over seeds
WITHIN_EUROC,EUROC,V2_03_difficult,TCN,0.9060671723,2.35158356,11.58910389,sequence-specific p95 of processed q_f; mean over seeds
WITHIN_EUROC,EUROC,V1_01_easy,GRU,0.4376269389,0.9842585879,10.59911164,sequence-specific p95 of processed q_f; mean over seeds
WITHIN_EUROC,EUROC,V1_02_medium,GRU,0.657277381,1.588685482,11.30093467,sequence-specific p95 of processed q_f; mean over seeds
WITHIN_EUROC,EUROC,V1_03_difficult,GRU,0.6823270172,1.584391149,11.48826622,sequence-specific p95 of processed q_f; mean over seeds
WITHIN_EUROC,EUROC,V2_01_easy,GRU,0.8727905663,2.715703572,10.98371699,sequence-specific p95 of processed q_f; mean over seeds
WITHIN_EUROC,EUROC,V2_02_medium,GRU,0.8440148577,1.981455114,11.60218482,sequence-specific p95 of processed q_f; mean over seeds
WITHIN_EUROC,EUROC,V2_03_difficult,GRU,0.8954624853,2.374849517,11.58910389,sequence-specific p95 of processed q_f; mean over seeds
WITHIN_EUROC,EUROC,V1_01_easy,TRANSFORMER,0.4459415508,0.9783330036,10.59911164,sequence-specific p95 of processed q_f; mean over seeds
WITHIN_EUROC,EUROC,V1_02_medium,TRANSFORMER,0.6722232372,1.571357369,11.30093467,sequence-specific p95 of processed q_f; mean over seeds
WITHIN_EUROC,EUROC,V1_03_difficult,TRANSFORMER,0.7023305443,1.618485075,11.48826622,sequence-specific p95 of processed q_f; mean over seeds
WITHIN_EUROC,EUROC,V2_01_easy,TRANSFORMER,0.8667038865,2.607223174,10.98371699,sequence-specific p95 of processed q_f; mean over seeds
WITHIN_EUROC,EUROC,V2_02_medium,TRANSFORMER,0.8697776996,2.068429998,11.60218482,sequence-specific p95 of processed q_f; mean over seeds
WITHIN_EUROC,EUROC,V2_03_difficult,TRANSFORMER,0.9067027535,2.354933934,11.58910389,sequence-specific p95 of processed q_f; mean over seeds
