evaluation_context,model,horizon_index,horizon_ms,equal_sequence_mean_rmse
WITHIN_EUROC,B0_PERSISTENCE,1,10,0.4938250224
WITHIN_EUROC,B0_PERSISTENCE,2,20,0.7773272208
WITHIN_EUROC,B0_PERSISTENCE,3,30,0.811504833
WITHIN_EUROC,B0_PERSISTENCE,4,40,0.7575635961
WITHIN_EUROC,B0_PERSISTENCE,5,50,0.7514938847
WITHIN_EUROC,B0_PERSISTENCE,6,60,0.7812461404
WITHIN_EUROC,B0_PERSISTENCE,7,70,0.8396718193
WITHIN_EUROC,B0_PERSISTENCE,8,80,0.906149522
WITHIN_EUROC,B0_PERSISTENCE,9,90,0.9296788064
WITHIN_EUROC,B0_PERSISTENCE,10,100,0.911398473
WITHIN_EUROC,B0_PERSISTENCE,11,110,0.9227102094
WITHIN_EUROC,B0_PERSISTENCE,12,120,0.9667428942
WITHIN_EUROC,B0_PERSISTENCE,13,130,0.9852100451
WITHIN_EUROC,B0_PERSISTENCE,14,140,0.9911915153
WITHIN_EUROC,B0_PERSISTENCE,15,150,1.004233687
WITHIN_EUROC,B0_PERSISTENCE,16,160,1.022387904
WITHIN_EUROC,B0_PERSISTENCE,17,170,1.043837376
WITHIN_EUROC,B0_PERSISTENCE,18,180,1.057135146
WITHIN_EUROC,B0_PERSISTENCE,19,190,1.067042637
WITHIN_EUROC,B0_PERSISTENCE,20,200,1.078228258
WITHIN_EUROC,BEST_RIDGE,1,10,0.1683134946
WITHIN_EUROC,BEST_RIDGE,2,20,0.4886928081
WITHIN_EUROC,BEST_RIDGE,3,30,0.6493433549
WITHIN_EUROC,BEST_RIDGE,4,40,0.6496449858
WITHIN_EUROC,BEST_RIDGE,5,50,0.6428683595
WITHIN_EUROC,BEST_RIDGE,6,60,0.6766761794
WITHIN_EUROC,BEST_RIDGE,7,70,0.7241041834
WITHIN_EUROC,BEST_RIDGE,8,80,0.7385914947
WITHIN_EUROC,BEST_RIDGE,9,90,0.750623674
WITHIN_EUROC,BEST_RIDGE,10,100,0.7532032069
WITHIN_EUROC,BEST_RIDGE,11,110,0.7629961346
WITHIN_EUROC,BEST_RIDGE,12,120,0.7865334116
WITHIN_EUROC,BEST_RIDGE,13,130,0.7959919476
WITHIN_EUROC,BEST_RIDGE,14,140,0.7897013876
WITHIN_EUROC,BEST_RIDGE,15,150,0.7848433286
WITHIN_EUROC,BEST_RIDGE,16,160,0.8006122671
WITHIN_EUROC,BEST_RIDGE,17,170,0.8234957384
WITHIN_EUROC,BEST_RIDGE,18,180,0.8217365281
WITHIN_EUROC,BEST_RIDGE,19,190,0.8150784474
WITHIN_EUROC,BEST_RIDGE,20,200,0.8165876144
WITHIN_EUROC,TCN,1,10,0.4398936332
WITHIN_EUROC,TCN,2,20,0.6285437642
WITHIN_EUROC,TCN,3,30,0.6526846804
WITHIN_EUROC,TCN,4,40,0.6346797539
WITHIN_EUROC,TCN,5,50,0.6408954851
WITHIN_EUROC,TCN,6,60,0.6785942701
WITHIN_EUROC,TCN,7,70,0.7163097533
WITHIN_EUROC,TCN,8,80,0.7393156882
WITHIN_EUROC,TCN,9,90,0.7393466837
WITHIN_EUROC,TCN,10,100,0.7347771891
WITHIN_EUROC,TCN,11,110,0.7481352808
WITHIN_EUROC,TCN,12,120,0.7812195913
WITHIN_EUROC,TCN,13,130,0.7957697825
WITHIN_EUROC,TCN,14,140,0.7800617707
WITHIN_EUROC,TCN,15,150,0.784200329
WITHIN_EUROC,TCN,16,160,0.7998492001
WITHIN_EUROC,TCN,17,170,0.8174615913
WITHIN_EUROC,TCN,18,180,0.8248107963
WITHIN_EUROC,TCN,19,190,0.8182714029
WITHIN_EUROC,TCN,20,200,0.8148795116
WITHIN_EUROC,GRU,1,10,0.554722765
WITHIN_EUROC,GRU,2,20,0.6466369825
WITHIN_EUROC,GRU,3,30,0.6389637844
WITHIN_EUROC,GRU,4,40,0.6178272443
WITHIN_EUROC,GRU,5,50,0.6253749502
WITHIN_EUROC,GRU,6,60,0.6633829866
WITHIN_EUROC,GRU,7,70,0.7100972229
WITHIN_EUROC,GRU,8,80,0.7269728364
WITHIN_EUROC,GRU,9,90,0.7221137896
WITHIN_EUROC,GRU,10,100,0.7211307851
WITHIN_EUROC,GRU,11,110,0.7424453898
WITHIN_EUROC,GRU,12,120,0.7756271036
WITHIN_EUROC,GRU,13,130,0.7812734904
WITHIN_EUROC,GRU,14,140,0.7762006189
WITHIN_EUROC,GRU,15,150,0.7772821984
WITHIN_EUROC,GRU,16,160,0.7937688568
WITHIN_EUROC,GRU,17,170,0.8182170442
WITHIN_EUROC,GRU,18,180,0.8198235225
WITHIN_EUROC,GRU,19,190,0.8130617895
WITHIN_EUROC,GRU,20,200,0.8120256644
WITHIN_EUROC,TRANSFORMER,1,10,0.5844126715
WITHIN_EUROC,TRANSFORMER,2,20,0.6851443796
WITHIN_EUROC,TRANSFORMER,3,30,0.6793187658
WITHIN_EUROC,TRANSFORMER,4,40,0.6468996004
WITHIN_EUROC,TRANSFORMER,5,50,0.6455960778
WITHIN_EUROC,TRANSFORMER,6,60,0.6740401841
WITHIN_EUROC,TRANSFORMER,7,70,0.7143838021
WITHIN_EUROC,TRANSFORMER,8,80,0.7353363285
WITHIN_EUROC,TRANSFORMER,9,90,0.7345007359
WITHIN_EUROC,TRANSFORMER,10,100,0.7305006399
WITHIN_EUROC,TRANSFORMER,11,110,0.7489713128
WITHIN_EUROC,TRANSFORMER,12,120,0.7814799029
WITHIN_EUROC,TRANSFORMER,13,130,0.7870684342
WITHIN_EUROC,TRANSFORMER,14,140,0.7837972282
WITHIN_EUROC,TRANSFORMER,15,150,0.7850941234
WITHIN_EUROC,TRANSFORMER,16,160,0.8013010741
WITHIN_EUROC,TRANSFORMER,17,170,0.8222931017
WITHIN_EUROC,TRANSFORMER,18,180,0.8243726759
WITHIN_EUROC,TRANSFORMER,19,190,0.8192481409
WITHIN_EUROC,TRANSFORMER,20,200,0.8182486186
WITHIN_UZH,B0_PERSISTENCE,1,10,0.752581503
WITHIN_UZH,B0_PERSISTENCE,2,20,1.265163695
WITHIN_UZH,B0_PERSISTENCE,3,30,1.529500584
WITHIN_UZH,B0_PERSISTENCE,4,40,1.770062019
WITHIN_UZH,B0_PERSISTENCE,5,50,2.038285281
WITHIN_UZH,B0_PERSISTENCE,6,60,2.235356801
WITHIN_UZH,B0_PERSISTENCE,7,70,2.332955847
WITHIN_UZH,B0_PERSISTENCE,8,80,2.370508687
WITHIN_UZH,B0_PERSISTENCE,9,90,2.433965873
WITHIN_UZH,B0_PERSISTENCE,10,100,2.513596043
WITHIN_UZH,B0_PERSISTENCE,11,110,2.56613227
WITHIN_UZH,B0_PERSISTENCE,12,120,2.57301019
WITHIN_UZH,B0_PERSISTENCE,13,130,2.565567194
WITHIN_UZH,B0_PERSISTENCE,14,140,2.615798424
WITHIN_UZH,B0_PERSISTENCE,15,150,2.683051602
WITHIN_UZH,B0_PERSISTENCE,16,160,2.714776004
WITHIN_UZH,B0_PERSISTENCE,17,170,2.700634049
WITHIN_UZH,B0_PERSISTENCE,18,180,2.65473854
WITHIN_UZH,B0_PERSISTENCE,19,190,2.643728484
WITHIN_UZH,B0_PERSISTENCE,20,200,2.654521275
WITHIN_UZH,BEST_RIDGE,1,10,0.7869797082
WITHIN_UZH,BEST_RIDGE,2,20,1.231929869
WITHIN_UZH,BEST_RIDGE,3,30,1.505810592
WITHIN_UZH,BEST_RIDGE,4,40,1.666697856
WITHIN_UZH,BEST_RIDGE,5,50,1.833155396
WITHIN_UZH,BEST_RIDGE,6,60,1.971337726
WITHIN_UZH,BEST_RIDGE,7,70,1.996325981
WITHIN_UZH,BEST_RIDGE,8,80,1.973543788
WITHIN_UZH,BEST_RIDGE,9,90,2.021927493
WITHIN_UZH,BEST_RIDGE,10,100,2.094722431
WITHIN_UZH,BEST_RIDGE,11,110,2.111470537
WITHIN_UZH,BEST_RIDGE,12,120,2.070050713
WITHIN_UZH,BEST_RIDGE,13,130,2.034025758
WITHIN_UZH,BEST_RIDGE,14,140,2.056087786
WITHIN_UZH,BEST_RIDGE,15,150,2.111875629
WITHIN_UZH,BEST_RIDGE,16,160,2.129252449
WITHIN_UZH,BEST_RIDGE,17,170,2.10433959
WITHIN_UZH,BEST_RIDGE,18,180,2.082400946
WITHIN_UZH,BEST_RIDGE,19,190,2.094869103
WITHIN_UZH,BEST_RIDGE,20,200,2.148913811
WITHIN_UZH,TCN,1,10,0.9215356792
WITHIN_UZH,TCN,2,20,1.304550607
WITHIN_UZH,TCN,3,30,1.497160399
WITHIN_UZH,TCN,4,40,1.655046275
WITHIN_UZH,TCN,5,50,1.823386942
WITHIN_UZH,TCN,6,60,1.932770294
