architecture,config_id,input,n_in,trainable_parameters,budget,within_budget,approx_state_bytes
TCN,TCN01,qf_qw,2,4308,100000,YES,17232
TCN,TCN01,qf_only,1,4292,100000,YES,17168
TCN,TCN02,qf_qw,2,4308,100000,YES,17232
TCN,TCN02,qf_only,1,4292,100000,YES,17168
TCN,TCN03,qf_qw,2,6868,100000,YES,27472
TCN,TCN03,qf_only,1,6852,100000,YES,27408
TCN,TCN04,qf_qw,2,6868,100000,YES,27472
TCN,TCN04,qf_only,1,6852,100000,YES,27408
TCN,TCN05,qf_qw,2,16276,100000,YES,65104
TCN,TCN05,qf_only,1,16244,100000,YES,64976
TCN,TCN06,qf_qw,2,16276,100000,YES,65104
TCN,TCN06,qf_only,1,16244,100000,YES,64976
TCN,TCN07,qf_qw,2,26516,100000,YES,106064
TCN,TCN07,qf_only,1,26484,100000,YES,105936
TCN,TCN08,qf_qw,2,26516,100000,YES,106064
TCN,TCN08,qf_only,1,26484,100000,YES,105936
TCN,TCN09,qf_qw,2,3524,100000,YES,14096
TCN,TCN09,qf_only,1,3508,100000,YES,14032
TCN,TCN10,qf_qw,2,13172,100000,YES,52688
TCN,TCN10,qf_only,1,13140,100000,YES,52560
TCN,TCN11,qf_qw,2,5572,100000,YES,22288
TCN,TCN11,qf_only,1,5556,100000,YES,22224
TCN,TCN12,qf_qw,2,16212,100000,YES,64848
TCN,TCN12,qf_only,1,16180,100000,YES,64720
GRU,GRU01,qf_qw,2,1300,100000,YES,5200
GRU,GRU01,qf_only,1,1252,100000,YES,5008
GRU,GRU02,qf_qw,2,1300,100000,YES,5200
GRU,GRU02,qf_only,1,1252,100000,YES,5008
GRU,GRU03,qf_qw,2,2932,100000,YES,11728
GRU,GRU03,qf_only,1,2884,100000,YES,11536
GRU,GRU04,qf_qw,2,4116,100000,YES,16464
GRU,GRU04,qf_only,1,4020,100000,YES,16080
GRU,GRU05,qf_qw,2,4116,100000,YES,16464
GRU,GRU05,qf_only,1,4020,100000,YES,16080
GRU,GRU06,qf_qw,2,10452,100000,YES,41808
GRU,GRU06,qf_only,1,10356,100000,YES,41424
GRU,GRU07,qf_qw,2,14356,100000,YES,57424
GRU,GRU07,qf_only,1,14164,100000,YES,56656
GRU,GRU08,qf_qw,2,14356,100000,YES,57424
GRU,GRU08,qf_only,1,14164,100000,YES,56656
GRU,GRU09,qf_qw,2,39316,100000,YES,157264
GRU,GRU09,qf_only,1,39124,100000,YES,156496
GRU,GRU10,qf_qw,2,4116,100000,YES,16464
GRU,GRU10,qf_only,1,4020,100000,YES,16080
GRU,GRU11,qf_qw,2,2932,100000,YES,11728
GRU,GRU11,qf_only,1,2884,100000,YES,11536
GRU,GRU12,qf_qw,2,10452,100000,YES,41808
GRU,GRU12,qf_only,1,10356,100000,YES,41424
TRANSFORMER,TR01,qf_qw,2,2612,150000,YES,10448
TRANSFORMER,TR01,qf_only,1,2596,150000,YES,10384
TRANSFORMER,TR02,qf_qw,2,3668,150000,YES,14672
TRANSFORMER,TR02,qf_only,1,3652,150000,YES,14608
TRANSFORMER,TR03,qf_qw,2,4836,150000,YES,19344
TRANSFORMER,TR03,qf_only,1,4820,150000,YES,19280
TRANSFORMER,TR04,qf_qw,2,9300,150000,YES,37200
TRANSFORMER,TR04,qf_only,1,9268,150000,YES,37072
TRANSFORMER,TR05,qf_qw,2,13460,150000,YES,53840
TRANSFORMER,TR05,qf_only,1,13428,150000,YES,53712
TRANSFORMER,TR06,qf_qw,2,17844,150000,YES,71376
TRANSFORMER,TR06,qf_only,1,17812,150000,YES,71248
TRANSFORMER,TR07,qf_qw,2,3668,150000,YES,14672
TRANSFORMER,TR07,qf_only,1,3652,150000,YES,14608
TRANSFORMER,TR08,qf_qw,2,17844,150000,YES,71376
TRANSFORMER,TR08,qf_only,1,17812,150000,YES,71248
TRANSFORMER,TR09,qf_qw,2,2612,150000,YES,10448
TRANSFORMER,TR09,qf_only,1,2596,150000,YES,10384
TRANSFORMER,TR10,qf_qw,2,9300,150000,YES,37200
TRANSFORMER,TR10,qf_only,1,9268,150000,YES,37072
TRANSFORMER,TR11,qf_qw,2,6948,150000,YES,27792
TRANSFORMER,TR11,qf_only,1,6932,150000,YES,27728
TRANSFORMER,TR12,qf_qw,2,13460,150000,YES,53840
TRANSFORMER,TR12,qf_only,1,13428,150000,YES,53712
