context,model,seed,mean_seq_rmse,min_seq_rmse,max_seq_rmse
WITHIN_EUROC,TCN,20260912,0.7348373969,0.4364487801,0.9015174813
WITHIN_EUROC,TCN,20260913,0.7324421499,0.4360868366,0.9016461552
WITHIN_EUROC,TCN,20260914,0.7380611059,0.4388186367,0.9150378803
WITHIN_EUROC,GRU,20260912,0.7309330766,0.4401227032,0.8962908231
WITHIN_EUROC,GRU,20260913,0.7320468946,0.4368468834,0.897659798
WITHIN_EUROC,GRU,20260914,0.731769652,0.4359112302,0.8924368348
WITHIN_EUROC,TRANSFORMER,20260912,0.7501210707,0.4554719016,0.9126877193
WITHIN_EUROC,TRANSFORMER,20260913,0.7421441817,0.4432157811,0.9009995009
WITHIN_EUROC,TRANSFORMER,20260914,0.7395745836,0.4391369697,0.9064210404
WITHIN_UZH,TCN,20260912,1.914094481,0.7755545204,3.435719141
WITHIN_UZH,TCN,20260913,1.901539409,0.7393649183,3.452916722
WITHIN_UZH,TCN,20260914,1.944728506,0.7913120979,3.542861662
WITHIN_UZH,GRU,20260912,1.948767829,0.7324325519,3.621359505
WITHIN_UZH,GRU,20260913,1.942809398,0.7242514536,3.59663845
WITHIN_UZH,GRU,20260914,1.945872889,0.7111983783,3.613042449
WITHIN_UZH,TRANSFORMER,20260912,1.89942605,0.7484067216,3.440753141
WITHIN_UZH,TRANSFORMER,20260913,1.89113075,0.753387181,3.400847017
WITHIN_UZH,TRANSFORMER,20260914,1.895119842,0.7510419182,3.491358977
EUROC_TO_UZH,TCN,20260912,2.040396444,2.040396444,2.040396444
EUROC_TO_UZH,TCN,20260913,2.062317926,2.062317926,2.062317926
EUROC_TO_UZH,TCN,20260914,2.047012464,2.047012464,2.047012464
EUROC_TO_UZH,GRU,20260912,2.07507763,2.07507763,2.07507763
EUROC_TO_UZH,GRU,20260913,2.083769914,2.083769914,2.083769914
EUROC_TO_UZH,GRU,20260914,2.08126744,2.08126744,2.08126744
EUROC_TO_UZH,TRANSFORMER,20260912,2.218268474,2.218268474,2.218268474
EUROC_TO_UZH,TRANSFORMER,20260913,2.190112514,2.190112514,2.190112514
EUROC_TO_UZH,TRANSFORMER,20260914,2.184373868,2.184373868,2.184373868
UZH_TO_EUROC,TCN,20260912,0.8245950001,0.8245950001,0.8245950001
UZH_TO_EUROC,TCN,20260913,0.8172076939,0.8172076939,0.8172076939
UZH_TO_EUROC,TCN,20260914,0.8343439808,0.8343439808,0.8343439808
UZH_TO_EUROC,GRU,20260912,0.7970893448,0.7970893448,0.7970893448
UZH_TO_EUROC,GRU,20260913,0.8048583366,0.8048583366,0.8048583366
UZH_TO_EUROC,GRU,20260914,0.8121746918,0.8121746918,0.8121746918
UZH_TO_EUROC,TRANSFORMER,20260912,0.8261979458,0.8261979458,0.8261979458
UZH_TO_EUROC,TRANSFORMER,20260913,0.8185588041,0.8185588041,0.8185588041
UZH_TO_EUROC,TRANSFORMER,20260914,0.8058792681,0.8058792681,0.8058792681
WITHIN_EUROC,TCN,SD,0.002819638699,0.7324421499,0.7380611059
WITHIN_EUROC,GRU,SD,0.0005798437283,0.7309330766,0.7320468946
WITHIN_EUROC,TRANSFORMER,SD,0.00549942395,0.7395745836,0.7501210707
WITHIN_UZH,TCN,SD,0.02221625314,1.901539409,1.944728506
WITHIN_UZH,GRU,SD,0.002979612781,1.942809398,1.948767829
WITHIN_UZH,TRANSFORMER,SD,0.004148659855,1.89113075,1.89942605
EUROC_TO_UZH,TCN,SD,0.01124411137,2.040396444,2.062317926
EUROC_TO_UZH,GRU,SD,0.004474594008,2.07507763,2.083769914
EUROC_TO_UZH,TRANSFORMER,SD,0.01814081253,2.184373868,2.218268474
UZH_TO_EUROC,TCN,SD,0.008595223906,0.8172076939,0.8343439808
UZH_TO_EUROC,GRU,SD,0.007543805179,0.7970893448,0.8121746918
UZH_TO_EUROC,TRANSFORMER,SD,0.01026300624,0.8058792681,0.8261979458
