evaluation_context,dataset,sequence_id,model,n_origins,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,skill,rmse_h01,rmse_h02,rmse_h03,rmse_h04,rmse_h05,rmse_h06,rmse_h07,rmse_h08,rmse_h09,rmse_h10,rmse_h11,rmse_h12,rmse_h13,rmse_h14,rmse_h15,rmse_h16,rmse_h17,rmse_h18,rmse_h19,rmse_h20,fold_id,notes,config_id,seeds_mean
EUROC_TO_UZH,UZH_FPV,indoor_forward_6_snapdragon,B0_PERSISTENCE,1349,4.075000184,1.448876514,3.095694185,4.049868694,4.372439845,,1.324362325,2.122951729,2.536557315,2.973595405,3.095694185,3.236571759,3.808272425,4.330840873,4.386432354,4.049868694,4.128370135,4.648820058,4.96346956,4.990081157,4.712560704,4.526078159,4.749722399,5.002090639,4.902110577,4.372439845,TRANSFER_EUROC_TO_UZH,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
EUROC_TO_UZH,UZH_FPV,indoor_forward_6_snapdragon,BEST_RIDGE,1349,3.809991061,1.656894814,2.941232051,3.86664676,4.197145688,0.06503291074,0.5898543162,1.916960473,2.999312448,3.207552439,2.941232051,3.064741179,3.683770781,4.160674558,4.227429549,3.86664676,3.762357833,4.194614729,4.538874492,4.533205652,4.161535969,4.013399641,4.361442042,4.637155391,4.560491287,4.197145688,TRANSFER_EUROC_TO_UZH,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
EUROC_TO_UZH,UZH_FPV,indoor_forward_9_snapdragon,B0_PERSISTENCE,1493,0.7614361482,0.5198005074,0.6514258874,0.746522323,0.9443831043,,0.4388656827,0.6566354211,0.6307092053,0.5901997028,0.6514258874,0.6926958623,0.6767626628,0.6852248729,0.7292757014,0.746522323,0.7712122182,0.7882784742,0.7815947875,0.8116003171,0.8506403763,0.8661637911,0.8718159565,0.8997374043,0.9401697218,0.9443831043,TRANSFER_EUROC_TO_UZH,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
EUROC_TO_UZH,UZH_FPV,indoor_forward_9_snapdragon,BEST_RIDGE,1493,0.8969342115,0.6867900035,0.6493831642,0.9007962863,1.218089811,-0.1779506577,0.1458283954,0.4325613096,0.5944467746,0.6316480586,0.6493831642,0.7015282782,0.7521079692,0.7905011548,0.8564117827,0.9007962863,0.9110505401,0.934596766,0.9836672875,1.042883824,1.07083481,1.084826391,1.101685047,1.134052829,1.189145881,1.218089811,TRANSFER_EUROC_TO_UZH,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
EUROC_TO_UZH,UZH_FPV,indoor_forward_10_snapdragon,B0_PERSISTENCE,1482,0.94906914,0.5416548985,0.936034513,0.9376017382,1.203783095,,0.4291604636,0.6873626519,0.7743674819,0.8676483614,0.936034513,0.8735980056,0.7950372071,0.8452561869,0.9317567926,0.9376017382,0.9198328179,0.9379621043,0.9785907679,1.044390302,1.066891487,1.042763686,1.062416471,1.129324811,1.191355932,1.203783095,TRANSFER_EUROC_TO_UZH,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
EUROC_TO_UZH,UZH_FPV,indoor_forward_10_snapdragon,BEST_RIDGE,1482,1.048908765,0.7152344998,0.8905262737,1.063640149,1.415467762,-0.1051974199,0.1473406255,0.4639309067,0.7225414956,0.8640474846,0.8905262737,0.8438978781,0.8377365421,0.916670503,1.028354973,1.063640149,1.033542658,1.052734125,1.139752337,1.223019481,1.244955117,1.234163853,1.25183363,1.311397247,1.388427092,1.415467762,TRANSFER_EUROC_TO_UZH,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,B0_PERSISTENCE,1450,2.573046277,0.6672585941,2.152853605,2.911681796,2.899976369,,0.587029529,0.9813292282,1.403929669,1.83977856,2.152853605,2.391938458,2.501182373,2.600872085,2.74008594,2.911681796,3.085251286,3.014656431,2.807442872,2.808850202,3.069276071,3.272544965,3.068450262,2.681930912,2.618979992,2.899976369,TRANSFER_EUROC_TO_UZH,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,BEST_RIDGE,1450,2.140724636,0.694141432,1.942751196,2.372893588,2.43777732,0.1680193804,0.3363129888,1.05409214,1.532144019,1.653458683,1.942751196,2.236506177,2.23643896,2.09285977,2.082754338,2.372893588,2.641496688,2.495838451,2.141941361,2.115252222,2.466761528,2.728867605,2.542072835,2.149630333,2.09657477,2.43777732,TRANSFER_EUROC_TO_UZH,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,B0_PERSISTENCE,1281,3.160309351,0.6914528433,2.751060243,3.564106297,3.718252413,,0.9473567997,1.367718577,1.521982021,1.94594216,2.751060243,3.263042494,3.292057583,3.154696011,3.236253719,3.564106297,3.666265455,3.47406668,3.314589652,3.371939359,3.623431348,3.752747518,3.688067262,3.611824699,3.625757209,3.718252413,TRANSFER_EUROC_TO_UZH,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,BEST_RIDGE,1281,2.634099239,0.7502059428,2.473919788,2.962062762,2.979331859,0.1665058871,0.4170999175,1.300824013,1.867189709,2.015891442,2.473919788,2.914842355,2.860866881,2.645802427,2.702084932,2.962062762,3.064925995,2.892566842,2.694722303,2.699106061,2.961781617,3.100467191,2.966087817,2.758991079,2.738277001,2.979331859,TRANSFER_EUROC_TO_UZH,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,B0_PERSISTENCE,1195,2.461928413,0.6232928448,2.35398342,2.748192434,2.913253624,,0.6516946525,1.459697126,2.05984979,2.134578531,2.35398342,2.579126459,2.472752818,2.427366529,2.509891745,2.748192434,2.780347732,2.553443497,2.485226973,2.542590274,2.820250638,2.897280895,2.610673271,2.50616205,2.644248865,2.913253624,TRANSFER_EUROC_TO_UZH,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
