evaluation_context,dataset,sequence_id,model,n_origins,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,skill,rmse_h01,rmse_h02,rmse_h03,rmse_h04,rmse_h05,rmse_h06,rmse_h07,rmse_h08,rmse_h09,rmse_h10,rmse_h11,rmse_h12,rmse_h13,rmse_h14,rmse_h15,rmse_h16,rmse_h17,rmse_h18,rmse_h19,rmse_h20,fold_id,notes,config_id,seeds_mean
UZH_TO_EUROC,EUROC,V1_01_easy,B0_PERSISTENCE,2868,0.5639882678,0.4047078867,0.4680215359,0.5449944889,0.6620481976,,0.3374251226,0.5247497236,0.5466912298,0.5011542894,0.4680215359,0.4727831861,0.5099722901,0.5580921904,0.5728227981,0.5449944889,0.5448083516,0.5747751012,0.5973749675,0.6131433893,0.6135437811,0.6116144116,0.6183975612,0.6402746059,0.6648243543,0.6620481976,TRANSFER_UZH_TO_EUROC,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
UZH_TO_EUROC,EUROC,V1_01_easy,BEST_RIDGE,2868,0.4780778022,0.3416548795,0.4285603068,0.4861209701,0.52796966,0.1523266893,0.3544189897,0.4214639508,0.4299222122,0.4339202465,0.4285603068,0.4314490179,0.4503588234,0.4779912978,0.4975176087,0.4861209701,0.4771233971,0.4859828436,0.5058272086,0.5244192844,0.5145777829,0.5021434243,0.5053957296,0.5226637162,0.5393139411,0.52796966,TRANSFER_UZH_TO_EUROC,Stage-2 frozen baseline; not refit,B2_RIDGE_QF,NA_STAGE2
UZH_TO_EUROC,EUROC,V1_02_medium,B0_PERSISTENCE,1666,0.7925081888,0.5679561859,0.5695716618,0.736700159,0.9996927157,,0.3868960063,0.6090261695,0.6516904467,0.5944483066,0.5695716618,0.6143314813,0.6794782219,0.7410698417,0.7513202677,0.736700159,0.769149088,0.8337008161,0.8837396751,0.8917429697,0.8893182113,0.9166433033,0.9644098535,1.0042828,1.005379589,0.9996927157,TRANSFER_UZH_TO_EUROC,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
UZH_TO_EUROC,EUROC,V1_02_medium,BEST_RIDGE,1666,0.768528348,0.5473167839,0.6270185928,0.7560603291,0.8524444729,0.03025816161,0.4920498821,0.6000414435,0.6267762189,0.6146743355,0.6270185928,0.686418943,0.7496424952,0.7847093608,0.7698399378,0.7560603291,0.7893924846,0.8354862299,0.8566861117,0.8372580719,0.821300687,0.8482207272,0.8869318182,0.8996301667,0.8722366456,0.8524444729,TRANSFER_UZH_TO_EUROC,Stage-2 frozen baseline; not refit,B2_RIDGE_QF,NA_STAGE2
UZH_TO_EUROC,EUROC,V1_03_difficult,B0_PERSISTENCE,2106,0.8383637495,0.6147949478,0.6452296575,0.8193058374,1.046251188,,0.4501846217,0.7229579641,0.7677518377,0.6970638253,0.6452296575,0.6538526808,0.7139654299,0.7883454441,0.8288375925,0.8193058374,0.8155948887,0.8485229849,0.8850172651,0.9224336117,0.9544785843,0.9679084134,0.9718594237,0.9872067896,1.020860142,1.046251188,TRANSFER_UZH_TO_EUROC,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
UZH_TO_EUROC,EUROC,V1_03_difficult,BEST_RIDGE,2106,0.7873280639,0.579631694,0.6677006941,0.7960178681,0.8951532678,0.06087534869,0.5288090114,0.6412002227,0.6540829221,0.6498502057,0.6677006941,0.7058637901,0.7502240817,0.7783202054,0.7910188166,0.7960178681,0.8099960623,0.8341031363,0.8470690526,0.8558650497,0.862697008,0.872050936,0.8865825475,0.8912719504,0.8924663848,0.8951532678,TRANSFER_UZH_TO_EUROC,Stage-2 frozen baseline; not refit,B2_RIDGE_QF,NA_STAGE2
UZH_TO_EUROC,EUROC,V2_01_easy,B0_PERSISTENCE,2236,1.130114331,0.6649999003,0.9955112485,1.16941163,1.196955533,,0.653668419,1.019711069,1.047378134,0.9831565362,0.9955112485,1.039085052,1.123902552,1.217587218,1.233788842,1.16941163,1.160107026,1.221390974,1.229679635,1.193683873,1.159712312,1.164828727,1.206379328,1.219975011,1.20561773,1.196955533,TRANSFER_UZH_TO_EUROC,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
UZH_TO_EUROC,EUROC,V2_01_easy,BEST_RIDGE,2236,0.9278642307,0.5644528452,0.8575573528,0.8916616677,0.9270770534,0.1789642825,0.7249108281,0.9055594172,0.9177247179,0.8799489528,0.8575573528,0.892812111,0.9704717498,0.9851906115,0.9406076476,0.8916616677,0.9115406387,0.9823509416,0.9881582548,0.9434235292,0.9061343526,0.9292358823,0.9959587753,1.003632942,0.9623787698,0.9270770534,TRANSFER_UZH_TO_EUROC,Stage-2 frozen baseline; not refit,B2_RIDGE_QF,NA_STAGE2
UZH_TO_EUROC,EUROC,V2_02_medium,B0_PERSISTENCE,2305,1.04142078,0.7314790566,0.8394783686,1.032624619,1.263879894,,0.5686402193,0.9014623775,0.9358063825,0.8504835622,0.8394783686,0.8623026184,0.9244334311,1.018076903,1.049852615,1.032624619,1.041321134,1.082591081,1.101631451,1.111671933,1.145255372,1.170485281,1.194525272,1.222781727,1.241518384,1.263879894,TRANSFER_UZH_TO_EUROC,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
UZH_TO_EUROC,EUROC,V2_02_medium,BEST_RIDGE,2305,0.9468636888,0.6893549778,0.8300197117,0.9583734947,1.053054867,0.09079623991,0.6530321523,0.7851190005,0.8033656895,0.7972919711,0.8300197117,0.8769483968,0.9241248773,0.9498677569,0.9485540171,0.9583734947,0.9812054543,1.005588094,1.011568571,1.006744933,1.020505786,1.040067986,1.05860172,1.058189279,1.044674036,1.053054867,TRANSFER_UZH_TO_EUROC,Stage-2 frozen baseline; not refit,B2_RIDGE_QF,NA_STAGE2
UZH_TO_EUROC,EUROC,V2_03_difficult,B0_PERSISTENCE,2293,1.135551303,0.7558948259,0.9911508357,1.165354104,1.300542021,,0.5661357452,0.886056021,0.9197109673,0.9190750568,0.9911508357,1.045121824,1.086278991,1.113725535,1.141450723,1.165354104,1.205280768,1.239476408,1.213817277,1.214473315,1.263093864,1.302847287,1.307452818,1.268289944,1.264055625,1.300542021,TRANSFER_UZH_TO_EUROC,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
