evaluation_context,dataset,sequence_id,model,n_origins,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,skill,rmse_h01,rmse_h02,rmse_h03,rmse_h04,rmse_h05,rmse_h06,rmse_h07,rmse_h08,rmse_h09,rmse_h10,rmse_h11,rmse_h12,rmse_h13,rmse_h14,rmse_h15,rmse_h16,rmse_h17,rmse_h18,rmse_h19,rmse_h20,fold_id,notes,config_id,seeds_mean
WITHIN_EUROC,EUROC,V1_01_easy,B0_PERSISTENCE,2868,0.5639882678,0.4047078867,0.4680215359,0.5449944889,0.6620481976,,0.3374251226,0.5247497236,0.5466912298,0.5011542894,0.4680215359,0.4727831861,0.5099722901,0.5580921904,0.5728227981,0.5449944889,0.5448083516,0.5747751012,0.5973749675,0.6131433893,0.6135437811,0.6116144116,0.6183975612,0.6402746059,0.6648243543,0.6620481976,EUROC_LORO_01_V1_01_easy,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
WITHIN_EUROC,EUROC,V1_01_easy,BEST_RIDGE,2868,0.4282225119,0.3043789743,0.3887500534,0.4458422959,0.4872406281,0.2407244329,0.1090624537,0.3069137582,0.3983243816,0.4087608942,0.3887500534,0.3893406689,0.4103137338,0.4287576118,0.4526443475,0.4458422959,0.4355717517,0.4392559437,0.4585387835,0.4786712377,0.4719169676,0.4621232828,0.4620527715,0.4740798115,0.4930745897,0.4872406281,EUROC_LORO_01_V1_01_easy,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
WITHIN_EUROC,EUROC,V1_02_medium,B0_PERSISTENCE,1666,0.7925081888,0.5679561859,0.5695716618,0.736700159,0.9996927157,,0.3868960063,0.6090261695,0.6516904467,0.5944483066,0.5695716618,0.6143314813,0.6794782219,0.7410698417,0.7513202677,0.736700159,0.769149088,0.8337008161,0.8837396751,0.8917429697,0.8893182113,0.9166433033,0.9644098535,1.0042828,1.005379589,0.9996927157,EUROC_LORO_02_V1_02_medium,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
WITHIN_EUROC,EUROC,V1_02_medium,BEST_RIDGE,1666,0.637054547,0.4511406698,0.5040662425,0.6343114144,0.7515058593,0.196153988,0.124189171,0.3753821755,0.5198145473,0.5105822321,0.5040662425,0.5520865536,0.6029138844,0.6307148105,0.6375620571,0.6343114144,0.6581146668,0.695513073,0.7243270837,0.7127407229,0.699335713,0.7285552455,0.7638443108,0.7768943905,0.7611564368,0.7515058593,EUROC_LORO_02_V1_02_medium,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
WITHIN_EUROC,EUROC,V1_03_difficult,B0_PERSISTENCE,2106,0.8383637495,0.6147949478,0.6452296575,0.8193058374,1.046251188,,0.4501846217,0.7229579641,0.7677518377,0.6970638253,0.6452296575,0.6538526808,0.7139654299,0.7883454441,0.8288375925,0.8193058374,0.8155948887,0.8485229849,0.8850172651,0.9224336117,0.9544785843,0.9679084134,0.9718594237,0.9872067896,1.020860142,1.046251188,EUROC_LORO_03_V1_03_difficult,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
WITHIN_EUROC,EUROC,V1_03_difficult,BEST_RIDGE,2106,0.6725911889,0.4846249287,0.5724091869,0.7015790705,0.8147995626,0.1977334548,0.140162289,0.4155745811,0.5651833731,0.577253899,0.5724091869,0.5876979727,0.6175202158,0.6395208292,0.6796086214,0.7015790705,0.6997068546,0.7077644734,0.7288793732,0.7491296358,0.7609204149,0.7703453566,0.7799541255,0.7847062666,0.8010821778,0.8147995626,EUROC_LORO_03_V1_03_difficult,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
WITHIN_EUROC,EUROC,V2_01_easy,B0_PERSISTENCE,2236,1.130114331,0.6649999003,0.9955112485,1.16941163,1.196955533,,0.653668419,1.019711069,1.047378134,0.9831565362,0.9955112485,1.039085052,1.123902552,1.217587218,1.233788842,1.16941163,1.160107026,1.221390974,1.229679635,1.193683873,1.159712312,1.164828727,1.206379328,1.219975011,1.20561773,1.196955533,EUROC_LORO_04_V2_01_easy,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
WITHIN_EUROC,EUROC,V2_01_easy,BEST_RIDGE,2236,0.9015393238,0.4907928605,0.8473323209,0.9337870278,0.8994161702,0.2022583035,0.2294472214,0.6674524276,0.9070693791,0.9099024163,0.8473323209,0.8823963348,0.9591982985,0.9791725419,0.9765733302,0.9337870278,0.9296146339,0.9794188206,0.9897328749,0.9531457697,0.9014519359,0.9084340147,0.9656507773,0.9693115892,0.9355059255,0.8994161702,EUROC_LORO_04_V2_01_easy,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
WITHIN_EUROC,EUROC,V2_02_medium,B0_PERSISTENCE,2305,1.04142078,0.7314790566,0.8394783686,1.032624619,1.263879894,,0.5686402193,0.9014623775,0.9358063825,0.8504835622,0.8394783686,0.8623026184,0.9244334311,1.018076903,1.049852615,1.032624619,1.041321134,1.082591081,1.101631451,1.111671933,1.145255372,1.170485281,1.194525272,1.222781727,1.241518384,1.263879894,EUROC_LORO_05_V2_02_medium,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
WITHIN_EUROC,EUROC,V2_02_medium,BEST_RIDGE,2305,0.8325012431,0.58633135,0.6983122831,0.8606871693,0.9587235994,0.2006101095,0.1902085497,0.5486336393,0.7299070128,0.7180435565,0.6983122831,0.7380021497,0.8050626562,0.8411356307,0.8533000401,0.8606871693,0.8689922989,0.8977356547,0.923022427,0.9121662517,0.9100188835,0.928278775,0.9568273644,0.9672624963,0.9558321502,0.9587235994,EUROC_LORO_05_V2_02_medium,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
WITHIN_EUROC,EUROC,V2_03_difficult,B0_PERSISTENCE,2293,1.135551303,0.7558948259,0.9911508357,1.165354104,1.300542021,,0.5661357452,0.886056021,0.9197109673,0.9190750568,0.9911508357,1.045121824,1.086278991,1.113725535,1.141450723,1.165354104,1.205280768,1.239476408,1.213817277,1.214473315,1.263093864,1.302847287,1.307452818,1.268289944,1.264055625,1.300542021,EUROC_LORO_06_V2_03_difficult,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
WITHIN_EUROC,EUROC,V2_03_difficult,BEST_RIDGE,2293,0.8976286138,0.592278402,0.8463400702,0.9430122634,0.9878398666,0.2095217439,0.2168112829,0.6182002672,0.7757614358,0.7733269168,0.8463400702,0.9105333965,0.9496163114,0.9122475439,0.9040536478,0.9430122634,0.985976602,0.9995125044,0.9514511435,0.932354708,0.9654160564,1.005936928,1.012645081,0.9581646146,0.9438194041,0.9878398666,EUROC_LORO_06_V2_03_difficult,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
WITHIN_EUROC,EUROC,V1_01_easy,TCN,2868,0.4371180845,0.3172963628,0.3984911146,0.4416200501,0.4882482002,0.224951813,0.2914676024,0.387066505,0.410434268,0.4098384239,0.3984911146,0.3972244595,0.4068761896,0.430705221,0.4532466768,0.4416200501,0.4364058002,0.4441472064,0.463818637,0.4776411531,0.4699530317,0.4632264986,0.4603738813,0.4722871136,0.4918379227,0.4882482002,,nested LORO; mean over seeds,NESTED,YES
WITHIN_EUROC,EUROC,V1_02_medium,TCN,1666,0.6584689819,0.4712165791,0.5122592629,0.6399227504,0.7695908433,0.1691328983,0.3770865286,0.514889349,0.5405968383,0.5186613254,0.5122592629,0.5659780819,0.6100986777,0.6402064867,0.6433407782,0.6399227504,0.6660119409,0.7051041377,0.7430922876,0.7208045713,0.7158492567,0.7406820264,0.7697901432,0.7983527136,0.7860716528,0.7695908433,,nested LORO; mean over seeds,NESTED,YES
WITHIN_EUROC,EUROC,V1_03_difficult,TCN,2106,0.6865733646,0.5029332225,0.562417974,0.6883245609,0.813792014,0.1810555204,0.4035431927,0.5597563826,0.5955608083,0.58595623,0.562417974,0.5876961711,0.618229802,0.6660811707,0.6871135899,0.6883245609,0.6904099271,0.7111891755,0.7497168918,0.7463874981,0.75930661,0.7645769368,0.7744009701,0.7965413779,0.8119115542,0.813792014,,nested LORO; mean over seeds,NESTED,YES
WITHIN_EUROC,EUROC,V2_01_easy,TCN,2236,0.8806887053,0.5105559627,0.8137373607,0.8684318831,0.8645500916,0.2207083114,0.5525954768,0.8392634162,0.8776125889,0.8344566891,0.8137373607,0.849454277,0.9177442128,0.9516883712,0.9181268361,0.8684318831,0.8738484674,0.9388820602,0.9522222441,0.9071420265,0.8844365098,0.8859960437,0.9344034598,0.9520736691,0.9141946187,0.8645500916,,nested LORO; mean over seeds,NESTED,YES
WITHIN_EUROC,EUROC,V2_02_medium,TCN,2305,0.8417649971,0.6051502527,0.7186001868,0.8385898407,0.9556137927,0.1917148061,0.4972592526,0.6991749684,0.7290923348,0.7054890582,0.7186001868,0.7483730714,0.8053697251,0.8457352442,0.8450742738,0.8385898407,0.8472493522,0.8973223576,0.9120140414,0.9057921547,0.9137488154,0.9372463664,0.9494529285,0.9693007259,0.9512536777,0.9556137927,,nested LORO; mean over seeds,NESTED,YES
WITHIN_EUROC,EUROC,V2_03_difficult,TCN,2293,0.9060671723,0.6100032972,0.8398670116,0.9317740494,0.9974821277,0.2020905001,0.5174097459,0.7711119643,0.7628112442,0.7536767968,0.8398670116,0.9228395599,0.9395399128,0.9014776354,0.8891779473,0.9317740494,0.9748861968,0.9906726101,0.9537545934,0.9226032202,0.9619077507,1.007367329,1.016348165,0.9603091777,0.9543589909,0.9974821277,,nested LORO; mean over seeds,NESTED,YES
WITHIN_EUROC,EUROC,V1_01_easy,GRU,2868,0.4376269389,0.3181305014,0.391614212,0.4394202873,0.4849202841,0.22404957,0.3475560626,0.3923413206,0.394457811,0.3993773487,0.391614212,0.3945674172,0.4106843994,0.4325782594,0.449913991,0.4394202873,0.4357601486,0.4461320635,0.4589378062,0.4754726714,0.4702507877,0.4610371964,0.4636420279,0.4768927136,0.4932271085,0.4849202841,,nested LORO; mean over seeds,NESTED,YES
WITHIN_EUROC,EUROC,V1_02_medium,GRU,1666,0.657277381,0.4709135351,0.5094034948,0.6325716634,0.7613922478,0.1706364802,0.4492432099,0.5363851112,0.5353149211,0.5050724524,0.5094034948,0.5639423518,0.6133511686,0.6459723743,0.6369187653,0.6325716634,0.6673504205,0.7070817184,0.7307903172,0.7197029342,0.7097105197,0.7361655621,0.7699152375,0.7879670114,0.7718628396,0.7613922478,,nested LORO; mean over seeds,NESTED,YES
WITHIN_EUROC,EUROC,V1_03_difficult,GRU,2106,0.6823270172,0.5012721532,0.5597453708,0.6758270976,0.8086630308,0.1861205621,0.4843683006,0.5674034615,0.5653181821,0.5558712632,0.5597453708,0.5866472731,0.6277822332,0.6533547931,0.6680064437,0.6758270976,0.6862183415,0.7112394102,0.7299611283,0.7450480304,0.7561378958,0.763360239,0.7779277778,0.7890067411,0.8024269496,0.8086630308,,nested LORO; mean over seeds,NESTED,YES
WITHIN_EUROC,EUROC,V2_01_easy,GRU,2236,0.8727905663,0.5161106752,0.7757175925,0.8394614563,0.8702253054,0.2276971078,0.7143675876,0.8534158071,0.864452688,0.8162388704,0.7757175925,0.8108886395,0.9046669823,0.9343444255,0.8947570796,0.8394614563,0.8489495948,0.9221905922,0.9382958666,0.9035368912,0.8551091976,0.8684465291,0.9356816802,0.9507004654,0.9148892341,0.8702253054,,nested LORO; mean over seeds,NESTED,YES
WITHIN_EUROC,EUROC,V2_02_medium,GRU,2305,0.8440148577,0.6116908906,0.7122252643,0.8332551231,0.9570044211,0.18955443,0.6231351853,0.7155149897,0.7272179908,0.7044263667,0.7122252643,0.747041231,0.8011423138,0.8380531553,0.8301891229,0.8332551231,0.8566379863,0.8911657164,0.9073280855,0.9018522279,0.9134114023,0.9300125564,0.9543864262,0.9643026929,0.9530418765,0.9570044211,,nested LORO; mean over seeds,NESTED,YES
WITHIN_EUROC,EUROC,V2_03_difficult,GRU,2293,0.8954624853,0.6103699852,0.803543767,0.9062490829,0.9899486976,0.2114293005,0.7096662439,0.8147612048,0.7470211134,0.7259771646,0.803543767,0.8772110072,0.9029562399,0.8575340106,0.8528973354,0.9062490829,0.9597558472,0.9759531207,0.9223277386,0.9115909583,0.9590733873,1.003591058,1.007749115,0.9500715107,0.9429227287,0.9899486976,,nested LORO; mean over seeds,NESTED,YES
WITHIN_EUROC,EUROC,V1_01_easy,TRANSFORMER,2868,0.4459415508,0.3282252356,0.4014970039,0.4490194256,0.4897604549,0.2093070436,0.3615577365,0.4092752922,0.4159214393,0.4160077882,0.4014970039,0.4037609684,0.4142892273,0.4388137314,0.4578373226,0.4490194256,0.4449774984,0.453640368,0.4667146283,0.4834264058,0.4778520681,0.4675634785,0.4622152976,0.4785904919,0.498106932,0.4897604549,,nested LORO; mean over seeds,NESTED,YES
WITHIN_EUROC,EUROC,V1_02_medium,TRANSFORMER,1666,0.6722232372,0.4861396203,0.5394254173,0.6433732006,0.7618898543,0.1517775505,0.4998242037,0.5725830099,0.573459526,0.5467815056,0.5394254173,0.5843648161,0.6308186744,0.6596460406,0.6488622735,0.6433732006,0.6769244547,0.7191107485,0.7393681671,0.7281296363,0.7162717919,0.7451601753,0.7753555503,0.7918363214,0.7756603655,0.7618898543,,nested LORO; mean over seeds,NESTED,YES
WITHIN_EUROC,EUROC,V1_03_difficult,TRANSFORMER,2106,0.7023305443,0.519067487,0.5902935039,0.6897522675,0.8274425721,0.1622603617,0.5285022588,0.5986232453,0.5998565644,0.5918002782,0.5902935039,0.605669044,0.6416426651,0.6743462405,0.6879487603,0.6897522675,0.6986406459,0.7270317268,0.7465231097,0.7674504302,0.7680964448,0.7735679778,0.7905707379,0.8062412008,0.8210827917,0.8274425721,,nested LORO; mean over seeds,NESTED,YES
WITHIN_EUROC,EUROC,V2_01_easy,TRANSFORMER,2236,0.8667038865,0.5233089781,0.7739805841,0.8252541872,0.8638251238,0.2330830052,0.7672567695,0.8710321264,0.8722340966,0.8209500945,0.7739805841,0.7960784436,0.8743028904,0.9088235297,0.8794435763,0.8252541872,0.835636204,0.9057223171,0.9226049988,0.8925012708,0.854047563,0.8678223356,0.9292812477,0.9397736565,0.9063182402,0.8638251238,,nested LORO; mean over seeds,NESTED,YES
WITHIN_EUROC,EUROC,V2_02_medium,TRANSFORMER,2305,0.8697776996,0.6355045063,0.7513980023,0.8680362013,0.9681000094,0.1648162623,0.5495049495,0.8018076538,0.8327289805,0.755734619,0.7513980023,0.7723610519,0.8211893963,0.8716654749,0.878177664,0.8680362013,0.8784408604,0.9103815501,0.9250527402,0.9161004867,0.9296343495,0.9466641677,0.9650259686,0.9724141362,0.9642156744,0.9681000094,,nested LORO; mean over seeds,NESTED,YES
WITHIN_EUROC,EUROC,V2_03_difficult,TRANSFORMER,2293,0.9067027535,0.6256892783,0.8169819555,0.907568557,0.9984736974,0.2015307885,0.7998301111,0.8575449502,0.781711988,0.7501233172,0.8169819555,0.8820067805,0.9040599592,0.8587229542,0.8547348186,0.907568557,0.9592082135,0.9729927067,0.9221469613,0.9151751392,0.9646625232,1.00702831,1.011309808,0.9573802486,0.9501048417,0.9984736974,,nested LORO; mean over seeds,NESTED,YES
