evaluation_context,dataset,sequence_id,model,n_origins,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,skill,rmse_h01,rmse_h02,rmse_h03,rmse_h04,rmse_h05,rmse_h06,rmse_h07,rmse_h08,rmse_h09,rmse_h10,rmse_h11,rmse_h12,rmse_h13,rmse_h14,rmse_h15,rmse_h16,rmse_h17,rmse_h18,rmse_h19,rmse_h20,fold_id,notes,config_id,seeds_mean
WITHIN_UZH,UZH_FPV,indoor_forward_6_snapdragon,B0_PERSISTENCE,1349,4.075000184,1.448876514,3.095694185,4.049868694,4.372439845,,1.324362325,2.122951729,2.536557315,2.973595405,3.095694185,3.236571759,3.808272425,4.330840873,4.386432354,4.049868694,4.128370135,4.648820058,4.96346956,4.990081157,4.712560704,4.526078159,4.749722399,5.002090639,4.902110577,4.372439845,UZH_FPV_LORO_01_indoor_forward_6_snapdragon,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
WITHIN_UZH,UZH_FPV,indoor_forward_6_snapdragon,BEST_RIDGE,1349,3.481177485,1.467635551,2.906471625,3.553170218,3.757695509,0.1457233551,0.5001245547,1.552713136,2.596671521,3.08021087,2.906471625,3.018342872,3.595015354,3.973650331,3.936012081,3.553170218,3.428203865,3.8055487,4.127508424,4.078520118,3.627070318,3.407704072,3.835150953,4.262235754,4.174020014,3.757695509,UZH_FPV_LORO_01_indoor_forward_6_snapdragon,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
WITHIN_UZH,UZH_FPV,indoor_forward_9_snapdragon,B0_PERSISTENCE,1493,0.7614361482,0.5198005074,0.6514258874,0.746522323,0.9443831043,,0.4388656827,0.6566354211,0.6307092053,0.5901997028,0.6514258874,0.6926958623,0.6767626628,0.6852248729,0.7292757014,0.746522323,0.7712122182,0.7882784742,0.7815947875,0.8116003171,0.8506403763,0.8661637911,0.8718159565,0.8997374043,0.9401697218,0.9443831043,UZH_FPV_LORO_02_indoor_forward_9_snapdragon,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
WITHIN_UZH,UZH_FPV,indoor_forward_9_snapdragon,BEST_RIDGE,1493,0.767715293,0.53338349,0.6528260173,0.802294035,0.9234883039,-0.008246449563,0.3452848379,0.5936056205,0.5967359114,0.6024681939,0.6528260173,0.6943609957,0.7009863432,0.7104724513,0.7716706741,0.802294035,0.8051582988,0.8085817803,0.8046239432,0.8409923197,0.8738031018,0.8877506773,0.8897516026,0.8819657939,0.9070301468,0.9234883039,UZH_FPV_LORO_02_indoor_forward_9_snapdragon,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
WITHIN_UZH,UZH_FPV,indoor_forward_10_snapdragon,B0_PERSISTENCE,1482,0.94906914,0.5416548985,0.936034513,0.9376017382,1.203783095,,0.4291604636,0.6873626519,0.7743674819,0.8676483614,0.936034513,0.8735980056,0.7950372071,0.8452561869,0.9317567926,0.9376017382,0.9198328179,0.9379621043,0.9785907679,1.044390302,1.066891487,1.042763686,1.062416471,1.129324811,1.191355932,1.203783095,UZH_FPV_LORO_03_indoor_forward_10_snapdragon,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
WITHIN_UZH,UZH_FPV,indoor_forward_10_snapdragon,BEST_RIDGE,1482,0.8934917377,0.5374880314,0.8666014437,0.9491702234,1.045820644,0.05855990884,0.3474831672,0.6636126824,0.7824827681,0.8444475452,0.8666014437,0.8172756633,0.7839527349,0.8401980718,0.9314946756,0.9491702234,0.908970997,0.9018537868,0.9351288458,0.9922067891,1.003419625,0.9716607502,0.9710015233,0.9968791611,1.045062929,1.045820644,UZH_FPV_LORO_03_indoor_forward_10_snapdragon,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
WITHIN_UZH,UZH_FPV,indoor_45_2_snapdragon,B0_PERSISTENCE,1450,2.573046277,0.6672585941,2.152853605,2.911681796,2.899976369,,0.587029529,0.9813292282,1.403929669,1.83977856,2.152853605,2.391938458,2.501182373,2.600872085,2.74008594,2.911681796,3.085251286,3.014656431,2.807442872,2.808850202,3.069276071,3.272544965,3.068450262,2.681930912,2.618979992,2.899976369,UZH_FPV_LORO_04_indoor_45_2_snapdragon,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
WITHIN_UZH,UZH_FPV,indoor_45_2_snapdragon,BEST_RIDGE,1450,2.105835822,0.7279284654,2.04511079,2.260983319,2.247219071,0.1815787221,1.466342704,1.557823054,1.545872107,1.722889811,2.04511079,2.34494078,2.276882048,2.038105774,2.006410121,2.260983319,2.509140401,2.366255629,2.068268511,2.016531495,2.267393896,2.513424051,2.369134497,2.060521368,1.99820579,2.247219071,UZH_FPV_LORO_04_indoor_45_2_snapdragon,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
WITHIN_UZH,UZH_FPV,indoor_45_4_snapdragon,B0_PERSISTENCE,1281,3.160309351,0.6914528433,2.751060243,3.564106297,3.718252413,,0.9473567997,1.367718577,1.521982021,1.94594216,2.751060243,3.263042494,3.292057583,3.154696011,3.236253719,3.564106297,3.666265455,3.47406668,3.314589652,3.371939359,3.623431348,3.752747518,3.688067262,3.611824699,3.625757209,3.718252413,UZH_FPV_LORO_05_indoor_45_4_snapdragon,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
WITHIN_UZH,UZH_FPV,indoor_45_4_snapdragon,BEST_RIDGE,1281,2.468347002,0.6972275042,2.348515034,2.841583134,2.803034646,0.2189539924,0.6879245714,1.234111717,1.415074796,1.668875639,2.348515034,2.781181899,2.700702569,2.489745479,2.545714028,2.841583134,2.916668707,2.739476181,2.563190411,2.545624168,2.782715535,2.869128579,2.728999085,2.596367157,2.586446779,2.803034646,UZH_FPV_LORO_05_indoor_45_4_snapdragon,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
WITHIN_UZH,UZH_FPV,indoor_45_13_snapdragon,B0_PERSISTENCE,1195,2.461928413,0.6232928448,2.35398342,2.748192434,2.913253624,,0.6516946525,1.459697126,2.05984979,2.134578531,2.35398342,2.579126459,2.472752818,2.427366529,2.509891745,2.748192434,2.780347732,2.553443497,2.485226973,2.542590274,2.820250638,2.897280895,2.610673271,2.50616205,2.644248865,2.913253624,UZH_FPV_LORO_06_indoor_45_13_snapdragon,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
