evaluation_context,model,horizon_index,horizon_ms,equal_sequence_mean_rmse
WITHIN_EUROC,B0_PERSISTENCE,1,10,0.49382502235000003
WITHIN_EUROC,B0_PERSISTENCE,2,20,0.7773272207833334
WITHIN_EUROC,B0_PERSISTENCE,3,30,0.811504833
WITHIN_EUROC,B0_PERSISTENCE,4,40,0.7575635960833332
WITHIN_EUROC,B0_PERSISTENCE,5,50,0.7514938846666667
WITHIN_EUROC,B0_PERSISTENCE,6,60,0.7812461404333333
WITHIN_EUROC,B0_PERSISTENCE,7,70,0.8396718193333333
WITHIN_EUROC,B0_PERSISTENCE,8,80,0.9061495220333334
WITHIN_EUROC,B0_PERSISTENCE,9,90,0.9296788063833333
WITHIN_EUROC,B0_PERSISTENCE,10,100,0.9113984730499999
WITHIN_EUROC,B0_PERSISTENCE,11,110,0.9227102093833333
WITHIN_EUROC,B0_PERSISTENCE,12,120,0.9667428941999999
WITHIN_EUROC,B0_PERSISTENCE,13,130,0.9852100451166667
WITHIN_EUROC,B0_PERSISTENCE,14,140,0.9911915152833334
WITHIN_EUROC,B0_PERSISTENCE,15,150,1.00423368745
WITHIN_EUROC,B0_PERSISTENCE,16,160,1.0223879038833334
WITHIN_EUROC,B0_PERSISTENCE,17,170,1.0438373760666666
WITHIN_EUROC,B0_PERSISTENCE,18,180,1.05713514625
WITHIN_EUROC,B0_PERSISTENCE,19,190,1.0670426373833333
WITHIN_EUROC,B0_PERSISTENCE,20,200,1.0782282582166667
WITHIN_EUROC,BEST_RIDGE,1,10,0.16831349461666667
WITHIN_EUROC,BEST_RIDGE,2,20,0.48869280815
WITHIN_EUROC,BEST_RIDGE,3,30,0.64934335495
WITHIN_EUROC,BEST_RIDGE,4,40,0.6496449858166667
WITHIN_EUROC,BEST_RIDGE,5,50,0.6428683595
WITHIN_EUROC,BEST_RIDGE,6,60,0.6766761793666666
WITHIN_EUROC,BEST_RIDGE,7,70,0.72410418335
