evaluation_context,sequence_id,model,delta_vs_ridge
WITHIN_EUROC,V1_01_easy,TCN,0.008895572560702503
WITHIN_EUROC,V1_02_medium,TCN,0.021414434886316225
WITHIN_EUROC,V1_03_difficult,TCN,0.01398217569063298
WITHIN_EUROC,V2_01_easy,TCN,-0.02085061852937431
WITHIN_EUROC,V2_02_medium,TCN,0.00926375403455626
WITHIN_EUROC,V2_03_difficult,TCN,0.008438558467182888
WITHIN_EUROC,V1_01_easy,GRU,0.009404427030426876
WITHIN_EUROC,V1_02_medium,GRU,0.020222833968697063
WITHIN_EUROC,V1_03_difficult,GRU,0.009735828266535074
WITHIN_EUROC,V2_01_easy,GRU,-0.02874875747090644
WITHIN_EUROC,V2_02_medium,GRU,0.011513614553468443
WITHIN_EUROC,V2_03_difficult,GRU,-0.0021661284942403602
WITHIN_EUROC,V1_01_easy,TRANSFORMER,0.01771903891752996
WITHIN_EUROC,V1_02_medium,TRANSFORMER,0.03516869016862678
WITHIN_EUROC,V1_03_difficult,TRANSFORMER,0.02973935536060368
WITHIN_EUROC,V2_01_easy,TRANSFORMER,-0.03483543727699279
WITHIN_EUROC,V2_02_medium,TRANSFORMER,0.037276456458860685
WITHIN_EUROC,V2_03_difficult,TRANSFORMER,0.009074139713992624
WITHIN_UZH,indoor_forward_6_snapdragon,TCN,-0.0040116435192545374
WITHIN_UZH,indoor_forward_9_snapdragon,TCN,0.0010285525344928548
WITHIN_UZH,indoor_forward_10_snapdragon,TCN,-0.03551987447846339
WITHIN_UZH,indoor_45_2_snapdragon,TCN,-0.07373657213963547
WITHIN_UZH,indoor_45_4_snapdragon,TCN,-0.03681364870748416
WITHIN_UZH,indoor_45_13_snapdragon,TCN,-0.07341212154483201
WITHIN_UZH,indoor_45_14_snapdragon,TCN,-0.00314016252711502
WITHIN_UZH,outdoor_forward_1_snapdragon,TCN,0.04144663703032925
WITHIN_UZH,indoor_forward_6_snapdragon,GRU,0.12916931662107523
WITHIN_UZH,indoor_forward_9_snapdragon,GRU,-0.04508783175448128
WITHIN_UZH,indoor_forward_10_snapdragon,GRU,-0.07000991720024285
WITHIN_UZH,indoor_45_2_snapdragon,GRU,0.026679051775184703
WITHIN_UZH,indoor_45_4_snapdragon,GRU,0.06374665893254461
WITHIN_UZH,indoor_45_13_snapdragon,GRU,-0.05941287744199619
WITHIN_UZH,indoor_45_14_snapdragon,GRU,-0.022677902366853075
WITHIN_UZH,outdoor_forward_1_snapdragon,GRU,-0.0009980804217599726
WITHIN_UZH,indoor_forward_6_snapdragon,TRANSFORMER,-0.03685777337989249
WITHIN_UZH,indoor_forward_9_snapdragon,TRANSFORMER,-0.016770019418098525
WITHIN_UZH,indoor_forward_10_snapdragon,TRANSFORMER,-0.0400445894348288
WITHIN_UZH,indoor_45_2_snapdragon,TRANSFORMER,-0.08272288687635765
WITHIN_UZH,indoor_45_4_snapdragon,TRANSFORMER,-0.03946799351973107
WITHIN_UZH,indoor_45_13_snapdragon,TRANSFORMER,-0.09864837190804687
WITHIN_UZH,indoor_45_14_snapdragon,TRANSFORMER,-0.08550184620428292
WITHIN_UZH,outdoor_forward_1_snapdragon,TRANSFORMER,0.016692634597781142
EUROC_TO_UZH,indoor_forward_6_snapdragon,TCN,0.024718300050836195
EUROC_TO_UZH,indoor_forward_9_snapdragon,TCN,-0.00494230149305952
EUROC_TO_UZH,indoor_forward_10_snapdragon,TCN,-0.008322491224949768
EUROC_TO_UZH,indoor_45_2_snapdragon,TCN,-0.004183810229321239
EUROC_TO_UZH,indoor_45_4_snapdragon,TCN,-0.06790266506488463
EUROC_TO_UZH,indoor_45_13_snapdragon,TCN,-0.08499156245668438
EUROC_TO_UZH,indoor_45_14_snapdragon,TCN,0.03924648193485414
EUROC_TO_UZH,outdoor_forward_1_snapdragon,TCN,-0.015548451276244935
EUROC_TO_UZH,indoor_forward_6_snapdragon,GRU,0.19040090127616072
EUROC_TO_UZH,indoor_forward_9_snapdragon,GRU,-0.02478204144928975
EUROC_TO_UZH,indoor_forward_10_snapdragon,GRU,0.003617474597719994
EUROC_TO_UZH,indoor_45_2_snapdragon,GRU,0.028836204815247513
EUROC_TO_UZH,indoor_45_4_snapdragon,GRU,-0.03373464339094623
EUROC_TO_UZH,indoor_45_13_snapdragon,GRU,-0.12056310747783372
EUROC_TO_UZH,indoor_45_14_snapdragon,GRU,0.11415545718104658
EUROC_TO_UZH,outdoor_forward_1_snapdragon,GRU,-0.03882167719457397
