evaluation_context,model,mean_high_qf_rmse
WITHIN_EUROC,B0_PERSISTENCE,1.8691192651666668
WITHIN_EUROC,BEST_RIDGE,1.8722027155166667
WITHIN_EUROC,TCN,1.8715465808168634
WITHIN_EUROC,GRU,1.8715572369765836
WITHIN_EUROC,TRANSFORMER,1.8664604253473154
WITHIN_UZH,B0_PERSISTENCE,7.966991779012499
WITHIN_UZH,BEST_RIDGE,7.0884729572500005
WITHIN_UZH,TCN,6.926338053731146
WITHIN_UZH,GRU,7.342320170166166
WITHIN_UZH,TRANSFORMER,7.052950843281458
EUROC_TO_UZH,B0_PERSISTENCE,7.966991779012499
EUROC_TO_UZH,BEST_RIDGE,7.700130350625
EUROC_TO_UZH,TCN,7.669961064841806
EUROC_TO_UZH,GRU,8.052090317108027
EUROC_TO_UZH,TRANSFORMER,8.239927933717375
UZH_TO_EUROC,B0_PERSISTENCE,1.8691192651666668
UZH_TO_EUROC,BEST_RIDGE,1.9897346866666668
UZH_TO_EUROC,TCN,1.983749864503019
UZH_TO_EUROC,GRU,1.9590784476816496
UZH_TO_EUROC,TRANSFORMER,1.872627022871873
