context,model,evidence_class,mean_delta,wins,losses,ci_low,ci_high
WITHIN_EUROC,TCN,C. NO MATERIAL GAIN,0.006857312867,1,5,-0.005129755767,0.01567319182
WITHIN_EUROC,GRU,C. NO MATERIAL GAIN,0.00332696965,2,4,-0.009797523333,0.01376885875
WITHIN_EUROC,Transformer,D. DEGRADATION,0.0156903739,1,5,-0.0052986296,0.03205811462
WITHIN_UZH,TCN,B. MODEST / UNCERTAIN GAIN,-0.02301985438,6,2,-0.0468787363,0.002736867219
WITHIN_UZH,GRU,C. NO MATERIAL GAIN,0.0026760525,5,3,-0.03859730201,0.04935560038
WITHIN_UZH,Transformer,A. CLEAR PRACTICAL GAIN,-0.04791510572,7,1,-0.07264050955,-0.0223155033
EUROC_TO_UZH,TCN,B. MODEST / UNCERTAIN GAIN,-0.01524081231,6,2,-0.04400357925,0.01096331881
EUROC_TO_UZH,GRU,C. NO MATERIAL GAIN,0.0148885712,4,4,-0.0450543073,0.08177639397
EUROC_TO_UZH,Transformer,D. DEGRADATION,0.1324351951,1,7,0.02321011608,0.2539979616
UZH_TO_EUROC,TCN,C. NO MATERIAL GAIN,0.01006161717,3,3,-0.009888648367,0.03659764118
UZH_TO_EUROC,GRU,B. MODEST / UNCERTAIN GAIN,-0.01061315,4,2,-0.03273605517,0.01225896545
UZH_TO_EUROC,Transformer,C. NO MATERIAL GAIN,0.001558064917,2,4,-0.0195278195,0.01948118863
