dataset,sequence_id,n_samples,median_qf,mean_qf,sd_qf,iqr_qf,p01,p05,p95,p99,frac_within_9p81_pm_0p5,frac_within_9p81_pm_1p0,frac_within_9p81_pm_2p0
EUROC,V1_01_easy,14460,9.788204111,9.800947398,0.4882113306,0.4989722247,8.432019871,9.060658115,10.59911164,11.22074113,0.7771784232,0.9428077455,0.9980636238
EUROC,V1_02_medium,8450,9.846496212,9.883094678,0.8251368766,0.7966759694,7.939585245,8.555307265,11.30093467,12.21513017,0.5724260355,0.8067455621,0.9730177515
EUROC,V1_03_difficult,10650,9.864083113,9.951204736,0.8631433733,0.8983195713,7.957188504,8.589695149,11.48826622,12.52466606,0.5392488263,0.785258216,0.9627230047
EUROC,V2_01_easy,11300,9.80944266,9.813042676,0.9000638629,0.8035818106,7.877351884,8.57237611,10.98371699,12.02902458,0.5815044248,0.8454867257,0.9771681416
EUROC,V2_02_medium,11645,9.891066617,9.90651455,1.00531954,1.170704503,7.59699744,8.334415289,11.60218482,12.51531703,0.4360669815,0.7220266209,0.9477887505
EUROC,V2_03_difficult,11585,9.874936941,9.906915744,1.035403435,1.163677686,7.747376315,8.426388679,11.58910389,12.56436319,0.4443677169,0.7317220544,0.952093224
UZH_FPV,indoor_forward_6_snapdragon,6863,9.410641926,10.96189043,4.426477824,3.554243016,6.09128851,7.457364342,17.79954506,22.17223206,0.1114672884,0.2581961241,0.6545242605
UZH_FPV,indoor_forward_9_snapdragon,7583,10.05696618,10.03606885,1.351958728,2.102049927,6.502174706,8.362888769,12.2869086,13.37539795,0.2303837531,0.4800210998,0.8826322036
UZH_FPV,indoor_forward_10_snapdragon,7527,9.905138564,10.0268098,1.537471138,2.041296521,6.481942793,8.450377787,12.44105276,15.18590546,0.2412647801,0.4742925468,0.884416102
UZH_FPV,indoor_45_2_snapdragon,7368,9.29844326,9.550063323,2.269993647,1.026292464,7.297294158,8.095269701,11.07949287,13.46714317,0.3479913138,0.7220412595,0.9458469055
UZH_FPV,indoor_45_4_snapdragon,6523,9.187282154,9.417631512,2.662958507,0.9756549175,6.79806318,8.000506333,10.68103471,11.7174343,0.338341254,0.6558332056,0.9555419286
UZH_FPV,indoor_45_13_snapdragon,6094,9.210666148,9.494733393,1.975349409,1.157001488,7.14045989,7.990725401,11.13201809,12.7700448,0.3009517558,0.7090580899,0.9432228421
UZH_FPV,indoor_45_14_snapdragon,6354,9.452780213,10.19884059,2.89271617,2.168298612,5.903303705,7.729458613,14.56003347,17.89867099,0.2094743469,0.4913440353,0.7706956248
UZH_FPV,outdoor_forward_1_snapdragon,8476,9.383813261,9.577869077,1.645039534,1.337511475,5.677658248,8.287580695,11.40654808,12.74649409,0.3076923077,0.7083529967,0.9444313355
