context,model,n_sequences,rmse_all,rmse_high_qf,difficulty_ratio,absolute_increase,relative_increase,mean_file_rmse_all,p95_source
WITHIN_EUROC,Persistence,6,0.9169911034,1.869119265,2.038317775,0.9521281618,1.038317775,0.9169911034,"sequence-specific p95 of processed q_f (Stage-2 definition, not redefined)"
WITHIN_EUROC,Best frozen Ridge,6,0.7282562381,1.872202716,2.570802168,1.143946477,1.570802168,0.7282562381,"sequence-specific p95 of processed q_f (Stage-2 definition, not redefined)"
WITHIN_EUROC,TCN,6,0.7351135509,1.871546581,2.545928556,1.13643303,1.545928556,0.7351135509,"sequence-specific p95 of processed q_f (Stage-2 definition, not redefined)"
WITHIN_EUROC,GRU,6,0.7315832077,1.871557237,2.558228807,1.139974029,1.558228807,0.7315832077,"sequence-specific p95 of processed q_f (Stage-2 definition, not redefined)"
WITHIN_EUROC,Transformer,6,0.743946612,1.866460426,2.508863399,1.122513814,1.508863399,0.743946612,"sequence-specific p95 of processed q_f (Stage-2 definition, not redefined)"
WITHIN_UZH,Persistence,8,2.349272909,7.966991779,3.391258525,5.61771887,2.391258525,2.349272909,"sequence-specific p95 of processed q_f (Stage-2 definition, not redefined)"
WITHIN_UZH,Best frozen Ridge,8,1.943140653,7.088472957,3.647946404,5.145332304,2.647946404,1.943140653,"sequence-specific p95 of processed q_f (Stage-2 definition, not redefined)"
WITHIN_UZH,TCN,8,1.920120799,6.926338054,3.607240783,5.006217255,2.607240783,1.920120799,"sequence-specific p95 of processed q_f (Stage-2 definition, not redefined)"
WITHIN_UZH,GRU,8,1.945816705,7.34232017,3.773387365,5.396503465,2.773387365,1.945816705,"sequence-specific p95 of processed q_f (Stage-2 definition, not redefined)"
WITHIN_UZH,Transformer,8,1.895225547,7.052950843,3.721430863,5.157725296,2.721430863,1.895225547,"sequence-specific p95 of processed q_f (Stage-2 definition, not redefined)"
EUROC_TO_UZH,Persistence,8,2.349272909,7.966991779,3.391258525,5.61771887,2.391258525,2.349272909,"sequence-specific p95 of processed q_f (Stage-2 definition, not redefined)"
EUROC_TO_UZH,Best frozen Ridge,8,2.065149757,7.700130351,3.728606279,5.634980594,2.728606279,2.065149757,"sequence-specific p95 of processed q_f (Stage-2 definition, not redefined)"
EUROC_TO_UZH,TCN,8,2.049908945,7.669961065,3.741610614,5.62005212,2.741610614,2.049908945,"sequence-specific p95 of processed q_f (Stage-2 definition, not redefined)"
EUROC_TO_UZH,GRU,8,2.080038328,8.052090317,3.871125935,5.972051989,2.871125935,2.080038328,"sequence-specific p95 of processed q_f (Stage-2 definition, not redefined)"
EUROC_TO_UZH,Transformer,8,2.197584952,8.239927933,3.749537839,6.042342981,2.749537839,2.197584952,"sequence-specific p95 of processed q_f (Stage-2 definition, not redefined)"
UZH_TO_EUROC,Persistence,6,0.9169911034,1.869119265,2.038317775,0.9521281618,1.038317775,0.9169911034,"sequence-specific p95 of processed q_f (Stage-2 definition, not redefined)"
UZH_TO_EUROC,Best frozen Ridge,6,0.8153206077,1.989734687,2.440432227,1.174414079,1.440432227,0.8153206077,"sequence-specific p95 of processed q_f (Stage-2 definition, not redefined)"
UZH_TO_EUROC,TCN,6,0.8253822249,1.983749865,2.403431773,1.15836764,1.403431773,0.8253822249,"sequence-specific p95 of processed q_f (Stage-2 definition, not redefined)"
UZH_TO_EUROC,GRU,6,0.8047074577,1.959078448,2.434522544,1.15437099,1.434522544,0.8047074577,"sequence-specific p95 of processed q_f (Stage-2 definition, not redefined)"
UZH_TO_EUROC,Transformer,6,0.8168786727,1.872627023,2.292417572,1.05574835,1.292417572,0.8168786727,"sequence-specific p95 of processed q_f (Stage-2 definition, not redefined)"
