context,model,metric,reported_value,recomputed_value,absolute_difference,relative_difference,tolerance,status
WITHIN_EUROC,Persistence,mean_seq_rmse,0.9169911034,0.9169911034,5.000000413701855e-11,5.452616056102355e-11,1e-06,PASS
WITHIN_EUROC,Persistence,ci_low,0.7430420201,0.7430420201,3.333344711364816e-11,4.486078339036881e-11,1e-06,PASS
WITHIN_EUROC,Persistence,ci_high,1.069425462,1.069425462,4.166669231864262e-10,3.8961754511360805e-10,1e-06,PASS
WITHIN_EUROC,Persistence,median_seq_rmse,0.9398922647,0.9398922647,5.000000413701855e-11,5.319759084619962e-11,1e-06,PASS
WITHIN_EUROC,Persistence,mean_mae,0.6233054672,0.6233054672,1.1102230246251565e-16,1.781186084589435e-16,1e-06,PASS
WITHIN_EUROC,Persistence,rmse_50ms,0.7514938847,0.7514938847,3.33333360913457e-11,4.435609759439696e-11,1e-06,PASS
WITHIN_EUROC,Persistence,rmse_100ms,0.911398473,0.911398473,4.999989311471609e-11,5.486062857899487e-11,1e-06,PASS
WITHIN_EUROC,Persistence,rmse_200ms,1.078228258,1.078228258,2.1666668459374705e-10,2.0094695440058393e-10,1e-06,PASS
WITHIN_EUROC,Persistence,skill_vs_persistence,0,0,0,0,1e-06,PASS
WITHIN_EUROC,Best frozen Ridge,mean_seq_rmse,0.7282562381,0.7282562381,1.6666557023370387e-11,2.2885567127928718e-11,1e-06,PASS
WITHIN_EUROC,Best frozen Ridge,ci_low,0.5826420992,0.5826420992,3.33333360913457e-11,5.7210654940853444e-11,1e-06,PASS
WITHIN_EUROC,Best frozen Ridge,ci_high,0.8505713845,0.8505713845,3.333344711364816e-11,3.918947629920903e-11,1e-06,PASS
WITHIN_EUROC,Best frozen Ridge,median_seq_rmse,0.752546216,0.752546216,0,0,1e-06,PASS
WITHIN_EUROC,Best frozen Ridge,mean_mae,0.4849245309,0.4849245309,1.666661253452162e-11,3.436949766923334e-11,1e-06,PASS
WITHIN_EUROC,Best frozen Ridge,rmse_50ms,0.6428683595,0.6428683595,0,0,1e-06,PASS
WITHIN_EUROC,Best frozen Ridge,rmse_100ms,0.7532032069,0.7532032069,1.666666804567285e-11,2.2127717849567816e-11,1e-06,PASS
WITHIN_EUROC,Best frozen Ridge,rmse_200ms,0.8165876144,0.8165876144,3.333344711364816e-11,4.082041721651682e-11,1e-06,PASS
WITHIN_EUROC,Best frozen Ridge,skill_vs_persistence,0.2058197343,0.2058197343,2.1489587886946993e-11,1.0440975429316251e-10,1e-06,PASS
WITHIN_EUROC,TCN,mean_seq_rmse,0.7351135509,0.7351135509,5.000000413701855e-11,6.801670854224291e-11,1e-06,PASS
WITHIN_EUROC,TCN,ci_low,0.593743962,0.5937439621,5.000000413701855e-11,8.421138965118192e-11,1e-06,PASS
WITHIN_EUROC,TCN,ci_high,0.854083778,0.854083778,3.33333360913457e-11,3.9028180782688625e-11,1e-06,PASS
WITHIN_EUROC,TCN,median_seq_rmse,0.7641691809,0.7641691808,5.000000413701855e-11,6.543054259022991e-11,1e-06,PASS
WITHIN_EUROC,TCN,mean_mae,0.5028592795,0.5028592795,0,0,1e-06,PASS
WITHIN_EUROC,TCN,rmse_50ms,0.6408954851,0.6408954851,0,0,1e-06,PASS
WITHIN_EUROC,TCN,rmse_100ms,0.7347771891,0.7347771891,0,0,1e-06,PASS
WITHIN_EUROC,TCN,rmse_200ms,0.8148795116,0.8148795116,1.6666779067975313e-11,2.0453059416416565e-11,1e-06,PASS
WITHIN_EUROC,TCN,skill_vs_persistence,0.1983416761,0.1983416761,7.881501007389602e-12,3.973698903006095e-11,1e-06,PASS
