result_family,stage,file,sha256,rows,columns,role,primary_or_secondary,publication_candidate,notes
sequence_rmse,2,results/stage2/WITHIN_EUROC_SEQUENCE_RESULTS.csv,d82ca7257c59c95d728cd26ef32e8cfba423a85a20898121d3d359fddf76c459,24,33,sequence-level errors,primary,supplement,WITHIN_EUROC
sequence_rmse,2,results/stage2/WITHIN_UZH_SEQUENCE_RESULTS.csv,c163b95d19c3ddd46a2e5e9e702fdc91b9f11c5449481d2f7cdd94b7ebe3ccac,32,33,sequence-level errors,primary,supplement,WITHIN_UZH
sequence_rmse,2,results/stage2/TRANSFER_EUROC_TO_UZH_SEQUENCE_RESULTS.csv,3144a579308fd27acb06c860c30993817f36fdab1f4136adbb65c3b8eb978fd2,32,33,sequence-level errors,primary,supplement,EUROC_TO_UZH
sequence_rmse,2,results/stage2/TRANSFER_UZH_TO_EUROC_SEQUENCE_RESULTS.csv,e99d09b7ce88f3387bb505561b048a1c17969a091797442465ba5b3156a6a1bd,24,33,sequence-level errors,primary,supplement,UZH_TO_EUROC
baseline_summary,2,results/stage2/BASELINE_SUMMARY.csv,2bcb24cca882b2d1a6c54ae22edf40ac74f411b496fb7f1608561dfd97225d7f,16,15,dataset-level summary,primary,no,
horizon,2,results/stage2/HORIZON_RESULTS.csv,cac7140902c7cdb3e7b4fb80dcc8dfb588e8d17b8cfefcecd1de0d897244f6a5,320,5,horizon means,secondary,no,
paired,2,results/stage2/PAIRED_COMPARISONS.csv,851bf72f8f24ef2c9c9888af4a25848a83ff279c80885f7f282a2d2e677bf984,12,12,baseline pairing,secondary,no,
bootstrap,2,results/stage2/BOOTSTRAP_SUMMARY.csv,586d4b67db3cab0cd93fb1995b4b6cd2f862c87c0f61446c15eedaeb47d4b805,16,10,sequence bootstrap,primary,no,
predictability,2,results/stage2/PREDICTABILITY_CHARACTERIZATION.csv,4253ba7f21f9e557aaa0021b386281bdeef519bc311275b09de752a033ce5305,14,12,ACF/persistence difficulty; p95,secondary,no,p95 definition reused
high_qf,2,results/stage2/HIGH_QF_SECONDARY.csv,63054c88cc4ea2f0cf015280734e0f5287ff869cb5f787189e514742fc26008e,112,8,high-q_f RMSE,secondary,no,
advanced_summary,3,results/stage3/ADVANCED_SUMMARY.csv,50cfa0831b6d3684fcafe3d835f5143ddce2470de2d0e634b0d0e3d021bf9b3d,20,18,dataset-level advanced summary,primary,no,reconciled in Stage 4
advanced_vs_ridge,3,results/stage3/ADVANCED_VS_RIDGE.csv,620babd06f016d1dc5c0394379daaaf394dc16ed3e2eba38a1c472fb7c77a017,12,11,paired Δ,primary,no,
horizon,3,results/stage3/HORIZON_ADVANCED.csv,23de2072fa702319ad924625a870e48d41b1dcba41e3e62030abd5a51779b10f,400,5,horizon means,secondary,no,
seed,3,results/stage3/SEED_VARIABILITY.csv,c2485d68fb930f82ac13f95f0e1de360cf1f2e45afe7397571650713d88b0cb2,48,6,seed means,secondary,no,
high_qf,3,results/stage3/HIGH_QF_ADVANCED.csv,da599b41b31a6a98c46ede963a05c5e34fc8ae383103ef7dfc1970ff539e3f44,140,8,high-q_f RMSE,secondary,no,
cost,3,results/stage3/COMPUTATIONAL_COST.csv,d47eb6010dbcef12a7697a0e4cc78bdb33bc8a8ec3820e1fc81ba968c412a42d,6,9,footprint,secondary,yes,
domain_shift,3,results/stage3/DOMAIN_SHIFT_CHARACTERIZATION.csv,5543cb738594656530f1736c83aa286bd5607190ce4c40ee28a8e2503f63835f,2,11,descriptive shift,secondary,no,
leakage,3,results/stage3/TARGET_LEAKAGE_AUDIT.csv,76ee146487cfe9cb9d98c98b3a3fb2ba6c0345ad68fe5bf363952d259972bbbc,162,9,fit-scope audit,primary,no,must remain NO
sequence_rmse,3,results/stage3/WITHIN_EUROC_ADVANCED.csv,e3d22dd3de03343f56d43648606f5e0c33391bc566b4c21c1475e71bcc2bb791,30,35,sequence-level primary source,primary,supplement,WITHIN_EUROC
sequence_rmse,3,results/stage3/WITHIN_UZH_ADVANCED.csv,46a078382a1d128237f46e756172e79da01b4ec3a288167d812ddb1404bfa11f,40,35,sequence-level primary source,primary,supplement,WITHIN_UZH
sequence_rmse,3,results/stage3/TRANSFER_EUROC_TO_UZH_ADVANCED.csv,135b72f3e352da8034e10327fa02752e9a516585b1f5d12d15cf7154f4e94192,40,35,sequence-level primary source,primary,supplement,EUROC_TO_UZH
sequence_rmse,3,results/stage3/TRANSFER_UZH_TO_EUROC_ADVANCED.csv,9553e334464fa9d7bb586661ba69c056bc7e61efcae33354f767ffed99777fb0,30,35,sequence-level primary source,primary,supplement,UZH_TO_EUROC
