context,model,n_sequences,mean_seq_rmse,ci_low,ci_high,formatted_rmse_ci,rmse_50ms,rmse_100ms,rmse_200ms,mean_mae,skill_vs_persistence
WITHIN_EUROC,Persistence,6,0.9169911034,0.7430420201,1.069425462,"0.917 [0.743, 1.069]",0.7514938847,0.911398473,1.078228258,0.6233054672,0
WITHIN_EUROC,Best frozen Ridge,6,0.7282562381,0.5826420992,0.8505713845,"0.728 [0.583, 0.851]",0.6428683595,0.7532032069,0.8165876144,0.4849245309,0.2058197343
WITHIN_EUROC,TCN,6,0.7351135509,0.5937439621,0.854083778,"0.735 [0.594, 0.854]",0.6408954851,0.7347771891,0.8148795116,0.5028592795,0.1983416761
WITHIN_EUROC,GRU,6,0.7315832077,0.5913246167,0.8471903633,"0.732 [0.591, 0.847]",0.6253749502,0.7211307851,0.8120256645,0.5047479568,0.202191597
WITHIN_EUROC,Transformer,6,0.743946612,0.6031801979,0.8553144828,"0.744 [0.603, 0.855]",0.6455960778,0.7305006399,0.8182486187,0.5196558509,0.1887090188
WITHIN_UZH,Persistence,8,2.349272909,1.637558288,3.053113425,"2.349 [1.638, 3.053]",2.038285281,2.513596043,2.654521275,0.7650172541,0
WITHIN_UZH,Best frozen Ridge,8,1.943140653,1.377703104,2.526564833,"1.943 [1.378, 2.527]",1.833155396,2.094722431,2.148913811,0.7894036354,0.1728757244
WITHIN_UZH,TCN,8,1.920120799,1.362207926,2.505897429,"1.920 [1.362, 2.506]",1.823386941,2.026899076,2.110540078,0.7920273458,0.1826744388
WITHIN_UZH,GRU,8,1.945816705,1.350956804,2.57242754,"1.946 [1.351, 2.572]",1.837600112,2.01092763,2.124683709,0.7494724796,0.1717366262
WITHIN_UZH,Transformer,8,1.895225547,1.344822284,2.479216381,"1.895 [1.345, 2.479]",1.784377304,2.015393344,2.108006366,0.736074061,0.1932714415
EUROC_TO_UZH,Persistence,8,2.349272909,1.637558288,3.053113425,"2.349 [1.638, 3.053]",2.038285281,2.513596043,2.654521275,0.7650172541,0
EUROC_TO_UZH,Best frozen Ridge,8,2.065149757,1.483872022,2.698028464,"2.065 [1.484, 2.698]",1.844444743,2.205469264,2.369796135,0.8725399421,0.120940888
EUROC_TO_UZH,TCN,8,2.049908945,1.470597349,2.690126001,"2.050 [1.471, 2.690]",1.945113063,2.128054488,2.291192998,0.9030326799,0.1274283473
EUROC_TO_UZH,GRU,8,2.080038328,1.470451745,2.757981534,"2.080 [1.470, 2.758]",1.960339551,2.09315409,2.268338506,0.8789272757,0.1146033649
EUROC_TO_UZH,Transformer,8,2.197584952,1.5899241,2.905565107,"2.198 [1.590, 2.906]",2.054323694,2.172996027,2.390249124,1.045966585,0.06456804405
UZH_TO_EUROC,Persistence,6,0.9169911034,0.7430420201,1.069425462,"0.917 [0.743, 1.069]",0.7514938847,0.911398473,1.078228258,0.6233054672,0
UZH_TO_EUROC,Best frozen Ridge,6,0.8153206077,0.6622252219,0.932407026,"0.815 [0.662, 0.932]",0.7176834541,0.8158647328,0.8909850288,0.5699065357,0.1108740262
UZH_TO_EUROC,TCN,6,0.8253822249,0.6937538618,0.931626675,"0.825 [0.694, 0.932]",0.695086759,0.8117346474,0.8827437941,0.5955467083,0.09990160004
UZH_TO_EUROC,GRU,6,0.8047074577,0.6653984415,0.9172245226,"0.805 [0.665, 0.917]",0.693368381,0.7981244517,0.8967913903,0.5651452006,0.1224479117
UZH_TO_EUROC,Transformer,6,0.8168786727,0.675963962,0.935009942,"0.817 [0.676, 0.935]",0.7068470595,0.811279629,0.9024612026,0.5796768595,0.1091749204
