context,sequence_id,model,delta
WITHIN_EUROC,V1_01_easy,TCN,0.0088955726
WITHIN_EUROC,V1_02_medium,TCN,0.0214144349
WITHIN_EUROC,V1_03_difficult,TCN,0.0139821757
WITHIN_EUROC,V2_01_easy,TCN,-0.0208506185
WITHIN_EUROC,V2_02_medium,TCN,0.009263754
WITHIN_EUROC,V2_03_difficult,TCN,0.0084385585
WITHIN_EUROC,V1_01_easy,GRU,0.009404427
WITHIN_EUROC,V1_02_medium,GRU,0.020222834
WITHIN_EUROC,V1_03_difficult,GRU,0.0097358283
WITHIN_EUROC,V2_01_easy,GRU,-0.0287487575
WITHIN_EUROC,V2_02_medium,GRU,0.0115136146
WITHIN_EUROC,V2_03_difficult,GRU,-0.0021661285
WITHIN_EUROC,V1_01_easy,Transformer,0.0177190389
WITHIN_EUROC,V1_02_medium,Transformer,0.0351686902
WITHIN_EUROC,V1_03_difficult,Transformer,0.0297393554
WITHIN_EUROC,V2_01_easy,Transformer,-0.0348354373
WITHIN_EUROC,V2_02_medium,Transformer,0.0372764565
WITHIN_EUROC,V2_03_difficult,Transformer,0.0090741397
WITHIN_UZH,indoor_forward_6_snapdragon,TCN,-0.004011644
WITHIN_UZH,indoor_forward_9_snapdragon,TCN,0.0010285525
WITHIN_UZH,indoor_forward_10_snapdragon,TCN,-0.0355198745
WITHIN_UZH,indoor_45_2_snapdragon,TCN,-0.073736572
WITHIN_UZH,indoor_45_4_snapdragon,TCN,-0.036813649
WITHIN_UZH,indoor_45_13_snapdragon,TCN,-0.073412122
WITHIN_UZH,indoor_45_14_snapdragon,TCN,-0.003140163
WITHIN_UZH,outdoor_forward_1_snapdragon,TCN,0.041446637
WITHIN_UZH,indoor_forward_6_snapdragon,GRU,0.129169317
WITHIN_UZH,indoor_forward_9_snapdragon,GRU,-0.0450878318
WITHIN_UZH,indoor_forward_10_snapdragon,GRU,-0.0700099172
WITHIN_UZH,indoor_45_2_snapdragon,GRU,0.026679052
WITHIN_UZH,indoor_45_4_snapdragon,GRU,0.063746659
WITHIN_UZH,indoor_45_13_snapdragon,GRU,-0.059412877
WITHIN_UZH,indoor_45_14_snapdragon,GRU,-0.022677902
WITHIN_UZH,outdoor_forward_1_snapdragon,GRU,-0.00099808
WITHIN_UZH,indoor_forward_6_snapdragon,Transformer,-0.036857773
WITHIN_UZH,indoor_forward_9_snapdragon,Transformer,-0.0167700194
WITHIN_UZH,indoor_forward_10_snapdragon,Transformer,-0.0400445894
WITHIN_UZH,indoor_45_2_snapdragon,Transformer,-0.082722887
WITHIN_UZH,indoor_45_4_snapdragon,Transformer,-0.039467994
WITHIN_UZH,indoor_45_13_snapdragon,Transformer,-0.098648372
WITHIN_UZH,indoor_45_14_snapdragon,Transformer,-0.085501846
WITHIN_UZH,outdoor_forward_1_snapdragon,Transformer,0.016692635
EUROC_TO_UZH,indoor_forward_6_snapdragon,TCN,0.0247183
EUROC_TO_UZH,indoor_forward_9_snapdragon,TCN,-0.0049423015
EUROC_TO_UZH,indoor_forward_10_snapdragon,TCN,-0.008322491
EUROC_TO_UZH,indoor_45_2_snapdragon,TCN,-0.00418381
EUROC_TO_UZH,indoor_45_4_snapdragon,TCN,-0.067902665
EUROC_TO_UZH,indoor_45_13_snapdragon,TCN,-0.084991562
EUROC_TO_UZH,indoor_45_14_snapdragon,TCN,0.039246482
EUROC_TO_UZH,outdoor_forward_1_snapdragon,TCN,-0.015548451
EUROC_TO_UZH,indoor_forward_6_snapdragon,GRU,0.190400901
EUROC_TO_UZH,indoor_forward_9_snapdragon,GRU,-0.0247820414
EUROC_TO_UZH,indoor_forward_10_snapdragon,GRU,0.003617475
EUROC_TO_UZH,indoor_45_2_snapdragon,GRU,0.028836205
EUROC_TO_UZH,indoor_45_4_snapdragon,GRU,-0.033734643
EUROC_TO_UZH,indoor_45_13_snapdragon,GRU,-0.120563107
EUROC_TO_UZH,indoor_45_14_snapdragon,GRU,0.114155457
EUROC_TO_UZH,outdoor_forward_1_snapdragon,GRU,-0.038821677
