context,model,rmse_all,rmse_high_qf,difficulty_ratio
WITHIN_EUROC,Persistence,0.9169911034,1.869119265,2.038317775
WITHIN_EUROC,Best frozen Ridge,0.7282562381,1.872202716,2.570802168
WITHIN_EUROC,TCN,0.7351135509,1.871546581,2.545928556
WITHIN_EUROC,GRU,0.7315832077,1.871557237,2.558228807
WITHIN_EUROC,Transformer,0.743946612,1.866460426,2.508863399
WITHIN_UZH,Persistence,2.349272909,7.966991779,3.391258525
WITHIN_UZH,Best frozen Ridge,1.943140653,7.088472957,3.647946404
WITHIN_UZH,TCN,1.920120799,6.926338054,3.607240783
WITHIN_UZH,GRU,1.945816705,7.34232017,3.773387365
WITHIN_UZH,Transformer,1.895225547,7.052950843,3.721430863
EUROC_TO_UZH,Persistence,2.349272909,7.966991779,3.391258525
EUROC_TO_UZH,Best frozen Ridge,2.065149757,7.700130351,3.728606279
EUROC_TO_UZH,TCN,2.049908945,7.669961065,3.741610614
EUROC_TO_UZH,GRU,2.080038328,8.052090317,3.871125935
EUROC_TO_UZH,Transformer,2.197584952,8.239927933,3.749537839
UZH_TO_EUROC,Persistence,0.9169911034,1.869119265,2.038317775
UZH_TO_EUROC,Best frozen Ridge,0.8153206077,1.989734687,2.440432227
UZH_TO_EUROC,TCN,0.8253822249,1.983749865,2.403431773
UZH_TO_EUROC,GRU,0.8047074577,1.959078448,2.434522544
UZH_TO_EUROC,Transformer,0.8168786727,1.872627023,2.292417572
