context,model,n_sequences,mean_paired_delta,median_paired_delta,ci_low,ci_high,wins,losses,ties,sign_flip_p_exploratory
WITHIN_EUROC,TCN,6,0.006857312852,0.009079663298,-0.005129755796,0.01567319181,1,5,0,0.28125
WITHIN_EUROC,GRU,6,0.003326969642,0.009570127648,-0.009797523318,0.01376885872,2,4,0,0.65625
WITHIN_EUROC,TRANSFORMER,6,0.01569037389,0.02372919714,-0.00529862959,0.03205811459,1,5,0,0.1875
WITHIN_UZH,TCN,8,-0.02301985417,-0.019765759,-0.04687873612,0.002736867575,6,2,0,0.171875
WITHIN_UZH,GRU,8,0.002676052268,-0.01183799139,-0.03859730217,0.04935560004,5,3,0,0.921875
WITHIN_UZH,TRANSFORMER,8,-0.04791510577,-0.03975629148,-0.07264050957,-0.02231550348,7,1,0,0.015625
EUROC_TO_UZH,TCN,8,-0.01524081247,-0.006632396359,-0.04400357954,0.01096331871,6,2,0,0.359375
EUROC_TO_UZH,GRU,8,0.01488857104,-0.01058228343,-0.0450543076,0.08177639399,4,4,0,0.7109375
EUROC_TO_UZH,TRANSFORMER,8,0.1324351951,0.09632851232,0.02321011596,0.2539979616,1,7,0,0.0703125
UZH_TO_EUROC,TCN,6,0.01006161718,-0.003689689035,-0.009888648352,0.03659764121,3,3,0,0.65625
UZH_TO_EUROC,GRU,6,-0.01061314998,-0.01974102807,-0.03273605514,0.01225896546,4,2,0,0.4375
UZH_TO_EUROC,TRANSFORMER,6,0.001558064921,0.004412645299,-0.01952781952,0.01948118866,2,4,0,0.90625
