architecture,config_id,channels,kernel_size,dilations,hidden_size,n_layers,d_model,n_heads,ff_multiplier,pooling,dropout,activation,lr,weight_decay
TCN,TCN01,"16,16",3,"1,2,4,8,16",,,,,,,0,relu,0.001,0
TCN,TCN02,"16,16",3,"1,2,4,8,16",,,,,,,0.1,relu,0.001,0.0001
TCN,TCN03,"16,16",5,"1,2,4,8,16",,,,,,,0,relu,0.0003,0
TCN,TCN04,"16,16",5,"1,2,4,8,16",,,,,,,0.1,gelu,0.0003,0.0001
TCN,TCN05,"32,32",3,"1,2,4,8,16",,,,,,,0,relu,0.001,0.0001
TCN,TCN06,"32,32",3,"1,2,4,8,16",,,,,,,0.1,relu,0.0003,0
TCN,TCN07,"32,32",5,"1,2,4,8,16",,,,,,,0,relu,0.001,0
TCN,TCN08,"32,32",5,"1,2,4,8,16",,,,,,,0.1,gelu,0.0003,0.0001
TCN,TCN09,"16,16",3,"1,2,4,8",,,,,,,0,relu,0.001,0.0001
TCN,TCN10,"32,32",3,"1,2,4,8",,,,,,,0.1,relu,0.001,0
TCN,TCN11,"16,16",5,"1,2,4,8",,,,,,,0,relu,0.0003,0.0001
TCN,TCN12,"32,32",5,"1,2,4",,,,,,,0,gelu,0.001,0.0001
GRU,GRU01,,,,16,1,,,,,0,,0.001,0
GRU,GRU02,,,,16,1,,,,,0.1,,0.001,0.0001
GRU,GRU03,,,,16,2,,,,,0.1,,0.0003,0.0001
GRU,GRU04,,,,32,1,,,,,0,,0.001,0
GRU,GRU05,,,,32,1,,,,,0.1,,0.001,0.0001
GRU,GRU06,,,,32,2,,,,,0.1,,0.0003,0
GRU,GRU07,,,,64,1,,,,,0,,0.001,0.0001
GRU,GRU08,,,,64,1,,,,,0.1,,0.0003,0
GRU,GRU09,,,,64,2,,,,,0.1,,0.0003,0.0001
GRU,GRU10,,,,32,1,,,,,0,,0.0003,0.0001
GRU,GRU11,,,,16,2,,,,,0,,0.001,0
GRU,GRU12,,,,32,2,,,,,0,,0.001,0.0001
TRANSFORMER,TR01,,,,,1,16,2,2,last,0,,0.001,0
TRANSFORMER,TR02,,,,,1,16,2,4,last,0.1,,0.001,0.0001
TRANSFORMER,TR03,,,,,2,16,2,2,last,0.1,,0.0003,0.0001
TRANSFORMER,TR04,,,,,1,32,4,2,last,0,,0.001,0
TRANSFORMER,TR05,,,,,1,32,4,4,last,0.1,,0.001,0.0001
TRANSFORMER,TR06,,,,,2,32,2,2,mean,0.1,,0.0003,0
TRANSFORMER,TR07,,,,,1,16,4,4,last,0,,0.0003,0.0001
TRANSFORMER,TR08,,,,,2,32,4,2,last,0.1,,0.0003,0.0001
TRANSFORMER,TR09,,,,,1,16,2,2,mean,0.1,,0.001,0
TRANSFORMER,TR10,,,,,1,32,4,2,last,0.1,,0.0003,0.0001
TRANSFORMER,TR11,,,,,2,16,2,4,last,0,,0.001,0.0001
TRANSFORMER,TR12,,,,,1,32,2,4,mean,0,,0.001,0
