evaluation_context,phase,fold_id,dataset,model,selected_lag,selected_alpha,selection_score_rmse,n_tied,train_sequences,held_out_sequence,notes
WITHIN_EUROC,WITHIN_NESTED_SELECTION,EUROC_LORO_01_V1_01_easy,EUROC,B2_RIDGE_QF,25,0.0001,0.8151848718,5,"V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",V1_01_easy,nested source-only; held-out sequence excluded
WITHIN_EUROC,WITHIN_NESTED_SELECTION,EUROC_LORO_01_V1_01_easy,EUROC,B3_RIDGE_QF_QW,25,0.0001,0.8084560623,3,"V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",V1_01_easy,nested source-only; held-out sequence excluded
WITHIN_EUROC,WITHIN_NESTED_SELECTION,EUROC_LORO_02_V1_02_medium,EUROC,B2_RIDGE_QF,25,0.0001,0.765109781,4,"V1_01_easy,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",V1_02_medium,nested source-only; held-out sequence excluded
WITHIN_EUROC,WITHIN_NESTED_SELECTION,EUROC_LORO_02_V1_02_medium,EUROC,B3_RIDGE_QF_QW,25,0.0001,0.7619665224,3,"V1_01_easy,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",V1_02_medium,nested source-only; held-out sequence excluded
WITHIN_EUROC,WITHIN_NESTED_SELECTION,EUROC_LORO_03_V1_03_difficult,EUROC,B2_RIDGE_QF,25,0.0001,0.7544559822,6,"V1_01_easy,V1_02_medium,V2_01_easy,V2_02_medium,V2_03_difficult",V1_03_difficult,nested source-only; held-out sequence excluded
WITHIN_EUROC,WITHIN_NESTED_SELECTION,EUROC_LORO_03_V1_03_difficult,EUROC,B3_RIDGE_QF_QW,25,0.0001,0.7500599048,3,"V1_01_easy,V1_02_medium,V2_01_easy,V2_02_medium,V2_03_difficult",V1_03_difficult,nested source-only; held-out sequence excluded
WITHIN_EUROC,WITHIN_NESTED_SELECTION,EUROC_LORO_04_V2_01_easy,EUROC,B2_RIDGE_QF,25,0.0001,0.7014453688,5,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_02_medium,V2_03_difficult",V2_01_easy,nested source-only; held-out sequence excluded
WITHIN_EUROC,WITHIN_NESTED_SELECTION,EUROC_LORO_04_V2_01_easy,EUROC,B3_RIDGE_QF_QW,25,0.0001,0.6983655232,3,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_02_medium,V2_03_difficult",V2_01_easy,nested source-only; held-out sequence excluded
WITHIN_EUROC,WITHIN_NESTED_SELECTION,EUROC_LORO_05_V2_02_medium,EUROC,B2_RIDGE_QF,25,0.0001,0.733829452,5,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_03_difficult",V2_02_medium,nested source-only; held-out sequence excluded
WITHIN_EUROC,WITHIN_NESTED_SELECTION,EUROC_LORO_05_V2_02_medium,EUROC,B3_RIDGE_QF_QW,25,0.0001,0.7289683412,4,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_03_difficult",V2_02_medium,nested source-only; held-out sequence excluded
