evaluation_context,phase,fold_id,dataset,model,lag,selected_alpha,selection_score_rmse,n_tied,train_sequences,held_out_sequence,candidate_alphas,notes
WITHIN_EUROC,WITHIN_NESTED_SELECTION,EUROC_LORO_01_V1_01_easy,EUROC,B3_RIDGE_QF_QW_FIXED_LAG100,100,0.01,0.8206542574,3,"V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",V1_01_easy,"1e-06,0.0001,0.01,1.0,100.0",lag fixed at 100; alpha selected on source training recordings only; held-out excluded
WITHIN_EUROC,WITHIN_NESTED_SELECTION,EUROC_LORO_02_V1_02_medium,EUROC,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,0.7737150824,4,"V1_01_easy,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",V1_02_medium,"1e-06,0.0001,0.01,1.0,100.0",lag fixed at 100; alpha selected on source training recordings only; held-out excluded
WITHIN_EUROC,WITHIN_NESTED_SELECTION,EUROC_LORO_03_V1_03_difficult,EUROC,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,0.7629405272,4,"V1_01_easy,V1_02_medium,V2_01_easy,V2_02_medium,V2_03_difficult",V1_03_difficult,"1e-06,0.0001,0.01,1.0,100.0",lag fixed at 100; alpha selected on source training recordings only; held-out excluded
WITHIN_EUROC,WITHIN_NESTED_SELECTION,EUROC_LORO_04_V2_01_easy,EUROC,B3_RIDGE_QF_QW_FIXED_LAG100,100,0.0001,0.7052281864,2,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_02_medium,V2_03_difficult",V2_01_easy,"1e-06,0.0001,0.01,1.0,100.0",lag fixed at 100; alpha selected on source training recordings only; held-out excluded
WITHIN_EUROC,WITHIN_NESTED_SELECTION,EUROC_LORO_05_V2_02_medium,EUROC,B3_RIDGE_QF_QW_FIXED_LAG100,100,0.01,0.7401567404,3,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_03_difficult",V2_02_medium,"1e-06,0.0001,0.01,1.0,100.0",lag fixed at 100; alpha selected on source training recordings only; held-out excluded
WITHIN_EUROC,WITHIN_NESTED_SELECTION,EUROC_LORO_06_V2_03_difficult,EUROC,B3_RIDGE_QF_QW_FIXED_LAG100,100,0.0001,0.7214385576,2,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium",V2_03_difficult,"1e-06,0.0001,0.01,1.0,100.0",lag fixed at 100; alpha selected on source training recordings only; held-out excluded
WITHIN_UZH,WITHIN_NESTED_SELECTION,UZH_FPV_LORO_01_indoor_forward_6_snapdragon,UZH_FPV,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,1.798129387,1,"indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",indoor_forward_6_snapdragon,"1e-06,0.0001,0.01,1.0,100.0",lag fixed at 100; alpha selected on source training recordings only; held-out excluded
WITHIN_UZH,WITHIN_NESTED_SELECTION,UZH_FPV_LORO_02_indoor_forward_9_snapdragon,UZH_FPV,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,2.171888139,1,"indoor_forward_6_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",indoor_forward_9_snapdragon,"1e-06,0.0001,0.01,1.0,100.0",lag fixed at 100; alpha selected on source training recordings only; held-out excluded
WITHIN_UZH,WITHIN_NESTED_SELECTION,UZH_FPV_LORO_03_indoor_forward_10_snapdragon,UZH_FPV,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,2.157186389,1,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",indoor_forward_10_snapdragon,"1e-06,0.0001,0.01,1.0,100.0",lag fixed at 100; alpha selected on source training recordings only; held-out excluded
WITHIN_UZH,WITHIN_NESTED_SELECTION,UZH_FPV_LORO_04_indoor_45_2_snapdragon,UZH_FPV,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,1.96790715,1,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",indoor_45_2_snapdragon,"1e-06,0.0001,0.01,1.0,100.0",lag fixed at 100; alpha selected on source training recordings only; held-out excluded
