selection_level,source_dataset,held_out_sequence,architecture,config_id,mean_seed_val_rmse,selected_epochs,n_params,seed_scores
SOURCE_FREEZE,EUROC,,TCN,TCN12,0.7442967233,23,16212,"0.7436980926,0.7445292651,0.7446628121"
SOURCE_FREEZE,EUROC,,GRU,GRU07,0.7300144951,49,14356,"0.7321940818,0.7294541236,0.7283952801"
SOURCE_FREEZE,EUROC,,TRANSFORMER,TR12,0.7423329298,66,13460,"0.7465817206,0.7369791745,0.7434378944"
SOURCE_FREEZE,UZH_FPV,,TCN,TCN07,1.917872324,28,26516,"1.908943261,1.90713449,1.937539222"
SOURCE_FREEZE,UZH_FPV,,GRU,GRU07,1.932265437,27,14356,"1.918400961,1.937484335,1.940911015"
SOURCE_FREEZE,UZH_FPV,,TRANSFORMER,TR05,1.907869478,33,13460,"1.917059149,1.897076326,1.90947296"
LORO_FOLD,EUROC,V1_01_easy,TCN,TCN09,0.8080249527,58,3524,"0.8082675688,0.8068261108,0.8089811783"
LORO_FOLD,EUROC,V1_01_easy,GRU,GRU07,0.7909397666,54,14356,"0.7915481303,0.7901168674,0.7911543022"
LORO_FOLD,EUROC,V1_01_easy,TRANSFORMER,TR12,0.8004033388,66,13460,"0.8075936929,0.7957667805,0.797849543"
LORO_FOLD,EUROC,V1_02_medium,TCN,TCN01,0.7621505008,54,4308,"0.7662344401,0.7618840995,0.7583329627"
LORO_FOLD,EUROC,V1_02_medium,GRU,GRU07,0.7470667971,49,14356,"0.7491884542,0.7445650552,0.7474468819"
LORO_FOLD,EUROC,V1_02_medium,TRANSFORMER,TR12,0.7720947572,53,13460,"0.7597462645,0.7608415974,0.7956964095"
LORO_FOLD,EUROC,V1_03_difficult,TCN,TCN01,0.7561145024,68,4308,"0.7569864423,0.7617252766,0.7496317883"
LORO_FOLD,EUROC,V1_03_difficult,GRU,GRU07,0.7414528408,53,14356,"0.7428229416,0.7386528945,0.7428826864"
LORO_FOLD,EUROC,V1_03_difficult,TRANSFORMER,TR12,0.7516265672,69,13460,"0.7499319524,0.7581789861,0.746768763"
LORO_FOLD,EUROC,V2_01_easy,TCN,TCN10,0.7071638827,44,13172,"0.7064299838,0.7079573483,0.7071043161"
LORO_FOLD,EUROC,V2_01_easy,GRU,GRU07,0.70413115,38,14356,"0.7036949454,0.7082950306,0.700403474"
LORO_FOLD,EUROC,V2_01_easy,TRANSFORMER,TR12,0.7197105877,58,13460,"0.7229749279,0.7167897264,0.7193671088"
LORO_FOLD,EUROC,V2_02_medium,TCN,TCN07,0.7226116382,35,26516,"0.7272710442,0.723882301,0.7166815695"
LORO_FOLD,EUROC,V2_02_medium,GRU,GRU07,0.7166136807,34,14356,"0.7141804369,0.7146530714,0.7210075338"
LORO_FOLD,EUROC,V2_02_medium,TRANSFORMER,TR01,0.7373588265,44,2612,"0.7483602836,0.7429966283,0.7207195676"
LORO_FOLD,EUROC,V2_03_difficult,TCN,TCN10,0.7119326431,40,13172,"0.7116565344,0.7119348579,0.7122065372"
LORO_FOLD,EUROC,V2_03_difficult,GRU,GRU07,0.696825092,56,14356,"0.6949640743,0.6982715427,0.697239659"
LORO_FOLD,EUROC,V2_03_difficult,TRANSFORMER,TR12,0.7097398345,60,13460,"0.7187457246,0.705472115,0.7050016639"
LORO_FOLD,UZH_FPV,indoor_forward_6_snapdragon,TCN,TCN05,1.724316984,18,16276,"1.724501456,1.729662546,1.71878695"
LORO_FOLD,UZH_FPV,indoor_forward_6_snapdragon,GRU,GRU07,1.723137692,22,14356,"1.721187258,1.725401022,1.722824797"
LORO_FOLD,UZH_FPV,indoor_forward_6_snapdragon,TRANSFORMER,TR04,1.69167585,38,9300,"1.676833465,1.7134243,1.684769783"
LORO_FOLD,UZH_FPV,indoor_forward_9_snapdragon,TCN,TCN07,2.077214049,23,26516,"2.053496272,2.079756468,2.098389406"
LORO_FOLD,UZH_FPV,indoor_forward_9_snapdragon,GRU,GRU07,2.113070515,27,14356,"2.094535902,2.11645178,2.128223864"
LORO_FOLD,UZH_FPV,indoor_forward_9_snapdragon,TRANSFORMER,TR05,2.061879495,34,13460,"2.073352752,2.061102207,2.051183525"
LORO_FOLD,UZH_FPV,indoor_forward_10_snapdragon,TCN,TCN07,2.06818296,21,26516,"2.042993684,2.077325863,2.084229332"
LORO_FOLD,UZH_FPV,indoor_forward_10_snapdragon,GRU,GRU07,2.09393538,28,14356,"2.077670871,2.100771456,2.103363813"
LORO_FOLD,UZH_FPV,indoor_forward_10_snapdragon,TRANSFORMER,TR05,2.045801564,35,13460,"2.054280465,2.043839863,2.039284364"
LORO_FOLD,UZH_FPV,indoor_45_2_snapdragon,TCN,TCN05,1.911144043,16,16276,"1.904080237,1.918251502,1.91110039"
LORO_FOLD,UZH_FPV,indoor_45_2_snapdragon,GRU,GRU07,1.898672503,23,14356,"1.891772168,1.899552784,1.904692556"
LORO_FOLD,UZH_FPV,indoor_45_2_snapdragon,TRANSFORMER,TR04,1.874344926,29,9300,"1.849107963,1.891782573,1.882144244"
LORO_FOLD,UZH_FPV,indoor_45_4_snapdragon,TCN,TCN05,1.843877637,23,16276,"1.837974583,1.842556398,1.851101928"
LORO_FOLD,UZH_FPV,indoor_45_4_snapdragon,GRU,GRU07,1.843042007,31,14356,"1.830553183,1.849828986,1.848743853"
LORO_FOLD,UZH_FPV,indoor_45_4_snapdragon,TRANSFORMER,TR05,1.827890587,26,13460,"1.814995148,1.826370411,1.842306201"
LORO_FOLD,UZH_FPV,indoor_45_13_snapdragon,TCN,TCN07,1.932523443,22,26516,"1.913895797,1.917324973,1.966349557"
LORO_FOLD,UZH_FPV,indoor_45_13_snapdragon,GRU,GRU07,1.940710098,16,14356,"1.93865896,1.942113205,1.941358129"
LORO_FOLD,UZH_FPV,indoor_45_13_snapdragon,TRANSFORMER,TR05,1.914025081,36,13460,"1.917897487,1.912676207,1.911501548"
LORO_FOLD,UZH_FPV,indoor_45_14_snapdragon,TCN,TCN07,1.920536136,18,26516,"1.920636434,1.923738918,1.917233056"
LORO_FOLD,UZH_FPV,indoor_45_14_snapdragon,GRU,GRU07,1.924866005,23,14356,"1.92376831,1.923139355,1.927690352"
LORO_FOLD,UZH_FPV,indoor_45_14_snapdragon,TRANSFORMER,TR05,1.892515994,29,13460,"1.905856969,1.895197861,1.87649315"
LORO_FOLD,UZH_FPV,outdoor_forward_1_snapdragon,TCN,TCN05,1.970368143,28,16276,"1.960968125,1.978929409,1.971206895"
LORO_FOLD,UZH_FPV,outdoor_forward_1_snapdragon,GRU,GRU12,1.989114465,38,10452,"1.973574155,2.006131011,1.987638229"
LORO_FOLD,UZH_FPV,outdoor_forward_1_snapdragon,TRANSFORMER,TR05,1.949832446,33,13460,"1.96211448,1.950947739,1.936435118"
