context,model,mean_paired_delta,median_paired_delta,ci_low,ci_high,wins,losses,ties,relative_percent_change_from_ridge,delta_definition
WITHIN_EUROC,TCN,0.006857312867,0.0090796633,-0.005129755767,0.01567319182,1,5,0,-0.941607158,Delta = RMSE_advanced - RMSE_Ridge; negative = advanced lower error
WITHIN_EUROC,GRU,0.00332696965,0.00957012765,-0.009797523333,0.01376885875,2,4,0,-0.4568405289,Delta = RMSE_advanced - RMSE_Ridge; negative = advanced lower error
WITHIN_EUROC,Transformer,0.0156903739,0.02372919715,-0.0052986296,0.03205811462,1,5,0,-2.154512805,Delta = RMSE_advanced - RMSE_Ridge; negative = advanced lower error
WITHIN_UZH,TCN,-0.02301985438,-0.01976575925,-0.0468787363,0.002736867219,6,2,0,1.184672573,Delta = RMSE_advanced - RMSE_Ridge; negative = advanced lower error
WITHIN_UZH,GRU,0.0026760525,-0.011837991,-0.03859730201,0.04935560038,5,3,0,-0.1377178999,Delta = RMSE_advanced - RMSE_Ridge; negative = advanced lower error
WITHIN_UZH,Transformer,-0.04791510572,-0.0397562917,-0.07264050955,-0.0223155033,7,1,0,2.465858848,Delta = RMSE_advanced - RMSE_Ridge; negative = advanced lower error
EUROC_TO_UZH,TCN,-0.01524081231,-0.00663239625,-0.04400357925,0.01096331881,6,2,0,0.7380003441,Delta = RMSE_advanced - RMSE_Ridge; negative = advanced lower error
EUROC_TO_UZH,GRU,0.0148885712,-0.0105822832,-0.0450543073,0.08177639397,4,4,0,-0.7209439,Delta = RMSE_advanced - RMSE_Ridge; negative = advanced lower error
EUROC_TO_UZH,Transformer,0.1324351951,0.09632851225,0.02321011608,0.2539979616,1,7,0,-6.412861567,Delta = RMSE_advanced - RMSE_Ridge; negative = advanced lower error
UZH_TO_EUROC,TCN,0.01006161717,-0.00368968905,-0.009888648367,0.03659764118,3,3,0,-1.234068791,Delta = RMSE_advanced - RMSE_Ridge; negative = advanced lower error
UZH_TO_EUROC,GRU,-0.01061315,-0.0197410281,-0.03273605517,0.01225896545,4,2,0,1.30171492,Delta = RMSE_advanced - RMSE_Ridge; negative = advanced lower error
UZH_TO_EUROC,Transformer,0.001558064917,0.0044126453,-0.0195278195,0.01948118863,2,4,0,-0.1910984344,Delta = RMSE_advanced - RMSE_Ridge; negative = advanced lower error
