object_name,model,transfer_direction,fit_dataset,fit_sequences,validation_dataset,validation_sequences,target_dataset_access_during_fit,status
FREEZE|EUROC|GRU|seed20260914,GRU,NONE_YET_SOURCE_FIT,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",,,NO,PASS
FREEZE|EUROC|TCN|seed20260912,TCN,NONE_YET_SOURCE_FIT,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",,,NO,PASS
FREEZE|EUROC|TCN|seed20260913,TCN,NONE_YET_SOURCE_FIT,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",,,NO,PASS
FREEZE|EUROC|TCN|seed20260914,TCN,NONE_YET_SOURCE_FIT,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",,,NO,PASS
FREEZE|EUROC|GRU|seed20260912,GRU,NONE_YET_SOURCE_FIT,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",,,NO,PASS
FREEZE|EUROC|GRU|seed20260913,GRU,NONE_YET_SOURCE_FIT,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",,,NO,PASS
FREEZE|UZH_FPV|TCN|seed20260912,TCN,NONE_YET_SOURCE_FIT,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",,,NO,PASS
FREEZE|EUROC|TRANSFORMER|seed20260912,TRANSFORMER,NONE_YET_SOURCE_FIT,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",,,NO,PASS
FREEZE|UZH_FPV|TCN|seed20260914,TCN,NONE_YET_SOURCE_FIT,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",,,NO,PASS
FREEZE|UZH_FPV|TCN|seed20260913,TCN,NONE_YET_SOURCE_FIT,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",,,NO,PASS
FREEZE|EUROC|TRANSFORMER|seed20260913,TRANSFORMER,NONE_YET_SOURCE_FIT,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",,,NO,PASS
FREEZE|EUROC|TRANSFORMER|seed20260914,TRANSFORMER,NONE_YET_SOURCE_FIT,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",,,NO,PASS
FREEZE|UZH_FPV|GRU|seed20260912,GRU,NONE_YET_SOURCE_FIT,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",,,NO,PASS
FREEZE|UZH_FPV|GRU|seed20260913,GRU,NONE_YET_SOURCE_FIT,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",,,NO,PASS
FREEZE|UZH_FPV|GRU|seed20260914,GRU,NONE_YET_SOURCE_FIT,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",,,NO,PASS
FREEZE|UZH_FPV|TRANSFORMER|seed20260912,TRANSFORMER,NONE_YET_SOURCE_FIT,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",,,NO,PASS
